step,max_abs_phase_increment_over_pi,mean_abs_phase_increment_over_pi,max_rat_err_q_le_256,median_rat_err_q_le_256,smallest_global_q_tol_1e10,best_denominators,dtheta_edge_0_over_pi,dtheta_edge_1_over_pi,dtheta_edge_2_over_pi,dtheta_edge_3_over_pi,dtheta_edge_4_over_pi,dtheta_edge_5_over_pi,dtheta_edge_6_over_pi,dtheta_edge_7_over_pi,dtheta_edge_8_over_pi,dtheta_edge_9_over_pi
1886,0.004775828460264785,0.004775828460038909,8.860535557375648e-06,8.860535122063706e-06,,209,0.004775828459903333,0.0047758284599106835,0.004775828460140532,0.004775828460264785,0.004775828460082575,0.004775828459657935,0.0047758284601039196,0.004775828460117632,0.0047758284599627035,0.004775828460244995
1887,0.004775828460263655,0.004775828460038925,8.860535557375648e-06,8.860535122840862e-06,,209,0.004775828459905029,0.004775828459910401,0.004775828460140249,0.004775828460263655,0.004775828460082292,0.004775828459657935,0.004775828460102648,0.004775828460117066,0.004775828459963692,0.0047758284602462675
1888,0.0047758284602620995,0.004775828460038909,8.860535557375648e-06,8.860535123406382e-06,,209,0.004775828459906584,0.004775828459910259,0.004775828460139401,0.0047758284602620995,0.004775828460082575,0.004775828459657935,0.004775828460101234,0.004775828460116501,0.004775828459964965,0.00477582846024754
1889,0.004775828460260827,0.004775828460038895,8.860535557375648e-06,8.860535124183971e-06,,209,0.004775828459908139,0.004775828459910118,0.004775828460138835,0.004775828460260827,0.004775828460082433,0.004775828459657935,0.00477582846009982,0.004775828460115794,0.004775828459966237,0.0047758284602488115
1890,0.004775828460259555,0.004775828460038881,8.860535557375648e-06,8.860535124961561e-06,,209,0.004775828459909835,0.004775828459909977,0.004775828460137987,0.004775828460259555,0.004775828460082292,0.004775828459657935,0.004775828460098407,0.00477582846011537,0.00477582845996751,0.0047758284602499425
1891,0.0047758284602584244,0.004775828460038923,8.860535557234268e-06,8.860535125526647e-06,,209,0.00477582845991139,0.004775828459909835,0.004775828460137421,0.0047758284602584244,0.004775828460082575,0.0047758284596580765,0.004775828460096994,0.004775828460114521,0.004775828459968782,0.004775828460251215
1892,0.004775828460256728,0.004775828460038895,8.860535557234268e-06,8.860535126021477e-06,,209,0.004775828459912946,0.004775828459909694,0.0047758284601367145,0.004775828460256728,0.004775828460082716,0.0047758284596580765,0.004775828460095863,0.004775828460113956,0.004775828459969912,0.004775828460252346
1893,0.004775828460255314,0.004775828460038938,8.860535556951508e-06,8.860535126799067e-06,,209,0.004775828459914641,0.004775828459909694,0.0047758284601360085,0.004775828460255314,0.004775828460082716,0.004775828459658359,0.0047758284600943075,0.004775828460113391,0.004775828459971326,0.0047758284602536175
1894,0.004775828460254749,0.004775828460038838,8.860535557092888e-06,8.860535127788727e-06,,209,0.0047758284599161965,0.00477582845990927,0.004775828460135443,0.004775828460254324,0.004775828460082292,0.004775828459658218,0.004775828460092752,0.004775828460112543,0.004775828459972598,0.004775828460254749
1895,0.004775828460256162,0.004775828460038924,8.860535556810128e-06,8.860535128353813e-06,,209,0.004775828459917752,0.00477582845990927,0.004775828460134736,0.00477582846025277,0.004775828460082575,0.004775828459658501,0.004775828460091339,0.004775828460112119,0.004775828459974012,0.004775828460256162
