周波数セル,符号付き倍数k,成分種別,回転方向,離散周期,全関係強度,全体強度比,周波数成分の閉塞絶対値,周波数成分の閉塞相対値,周波数成分が単独零閉塞,位相基準関係ID,位相基準辺,全関係の絶対位相セル署名,全関係の相対位相セル署名,最大絶対位相セル誤差度,最大相対位相セル誤差度
94,-50,倍音,逆方向,72,0.0021059972929368897,1.4624981200950626e-05,0.00039649511481101895,0.18826952728799196,False,10,"(4,5)","[7, 68, 93, 8, 33, 52, 135, 85, 39, 35]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.174575836473403,1.2222807889549934
95,-49,倍音,逆方向,144,0.002153338101512319,1.4953736816057773e-05,0.0004052395896936359,0.18819134320292322,False,10,"(4,5)","[7, 68, 93, 8, 34, 53, 136, 86, 39, 35]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",0.9430154873211654,1.2303816368587788
96,-48,倍音,逆方向,3,0.002204415783344229,1.530844293989048e-05,0.0004146755453646683,0.18811131207542936,False,10,"(4,5)","[8, 69, 94, 9, 34, 53, 136, 86, 40, 36]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.1600644772719646,1.2386720316074518
97,-47,倍音,逆方向,144,0.002259509540481088,1.5691038475563114e-05,0.0004248539712897737,0.18802928851511513,False,10,"(4,5)","[8, 69, 94, 9, 35, 54, 137, 87, 40, 36]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",0.9324755699980459,1.2471668830736424
98,-46,倍音,逆方向,72,0.002318930442652271,1.6103683629529662e-05,0.00043583165078125313,0.18794511588832813,False,10,"(4,5)","[9, 70, 95, 10, 35, 54, 137, 87, 41, 37]","[116, 33, 58, 117, 143, 17, 101, 51, 4, 0]",1.1448529638285276,1.244117751116352
99,-45,倍音,逆方向,16,0.002383025526981334,1.6548788381814823e-05,0.0004476718989160762,0.1878586250325059,False,10,"(4,5)","[9, 70, 95, 10, 36, 55, 138, 88, 41, 37]","[116, 33, 58, 117, 143, 17, 101, 51, 4, 0]",0.9213482463547126,1.2351645394788016
100,-44,倍音,逆方向,36,0.002452182551753869,1.702904549829076e-05,0.0004604454172225532,0.18776963276784994,False,10,"(4,5)","[10, 71, 96, 11, 36, 55, 138, 88, 42, 38]","[116, 33, 58, 117, 143, 17, 101, 51, 4, 0]",1.1288271607682214,1.225954733160531
101,-43,倍音,逆方向,144,0.00252683552426,1.7547468918472225e-05,0.0004742312864115145,0.18767794019770884,False,10,"(4,5)","[10, 71, 96, 11, 37, 56, 139, 89, 42, 38]","[116, 33, 58, 117, 143, 17, 101, 51, 4, 0]",0.9095371046421752,1.2164679796728244
102,-42,倍音,逆方向,24,0.0026074711498583576,1.810743854068304e-05,0.0004891181233982639,0.18758333085481452,False,10,"(4,5)","[11, 72, 97, 12, 37, 56, 139, 89, 43, 39]","[116, 33, 58, 117, 143, 17, 101, 51, 4, 0]",1.1118538772139586,1.206682126665296
103,-41,倍音,逆方向,144,0.0026946363785183983,1.8712752628599993e-05,0.0005052054334921195,0.1874855685611646,False,10,"(4,5)","[11, 72, 97, 12, 38, 57, 140, 90, 43, 39]","[116, 33, 58, 117, 143, 17, 101, 51, 4, 0]",0.8969279784755114,1.196573046834139
104,-40,倍音,逆方向,18,0.0027889472617969755,1.9367689318034557e-05,0.0005226051947443099,0.18738439478686472,False,10,"(4,5)","[12, 73, 98, 13, 38, 57, 140, 90, 44, 40]","[116, 33, 58, 117, 143, 17, 101, 51, 4, 0]",1.1135756365419036,1.1861143674863568
105,-39,倍音,逆方向,48,0.002891099391750025,2.007707910937518e-05,0.0005414437230303777,0.18727952576636733,False,10,"(4,5)","[12, 73, 98, 13, 39, 58, 141, 91, 44, 40]","[116, 33, 58, 117, 143, 17, 101, 51, 4, 0]",0.883384307160668,1.175277077806448
106,-38,倍音,逆方向,72,0.003001880258614144,2.084639068482045e-05,0.0005618638777991762,0.18717064952436435,False,10,"(4,5)","[13, 74, 99, 14, 39, 58, 141, 91, 45, 41]","[116, 33, 58, 117, 143, 17, 101, 51, 4, 0]",1.131990997586942,1.16402930697343
107,-37,倍音,逆方向,144,0.0031221839162405224,2.16818327516703e-05,0.0005840276737885349,0.1870574218099788,False,10,"(4,5)","[13, 74, 99, 14, 40, 59, 142, 92, 45, 41]","[116, 33, 58, 117, 143, 17, 101, 51, 4, 0]",0.868740915056283,1.152336135859103
108,-36,倍音,逆方向,4,0.00325302845245695,2.259047536428438e-05,0.0006081193850836661,0.18693946086587873,False,10,"(4,5)","[14, 75, 100, 15, 40, 59, 142, 92, 46, 42]","[116, 33, 58, 117, 143, 17, 101, 51, 4, 0]",1.1854198610425932,1.1401587224852283
109,-35,倍音,逆方向,144,0.00339557696486109,2.358039558931313e-05,0.0006343492718567141,0.18681634326691363,False,10,"(4,5)","[14, 75, 100, 15, 41, 60, 143, 93, 46, 42]","[116, 33, 58, 117, 143, 17, 101, 51, 4, 0]",0.8527953975308443,1.1366842790433676
110,-34,倍音,逆方向,72,0.003551162849014807,2.4660853118158387e-05,0.0006629580660013055,0.1866875990171019,False,10,"(4,5)","[15, 76, 101, 16, 41, 60, 143, 93, 47, 43]","[116, 33, 58, 117, 143, 17, 101, 51, 4, 0]",1.2434497387396481,1.1472137959375772
111,-33,倍音,逆方向,48,0.0037213202423376597,2.584250168290042e-05,0.000694222340068119,0.18655270034809537,False,10,"(4,5)","[15, 76, 101, 16, 42, 61, 0, 94, 47, 43]","[116, 33, 58, 117, 143, 17, 101, 51, 4, 0]",0.8352982609023195,1.1582561089392114
112,-32,倍音,逆方向,9,0.00390782102134874,2.713764598158848e-05,0.0007284610280303593,0.1864110521056922,False,10,"(4,5)","[16, 76, 102, 17, 42, 61, 0, 94, 48, 44]","[116, 33, 58, 117, 143, 17, 101, 51, 4, 0]",1.1930439638392336,1.1698641434212105
113,-31,倍音,逆方向,144,0.004112720511558603,2.856055910804586e-05,0.0007660435219415813,0.18626199368244278,False,10,"(4,5)","[16, 77, 102, 17, 43, 62, 1, 95, 48, 44]","[116, 33, 58, 117, 143, 17, 101, 51, 4, 0]",0.8159314709729988,1.1820948273508642
114,-30,倍音,逆方向,24,0.004338413592511745,3.0127872170220456e-05,0.0008073995181305933,0.1861047825233153,False,10,"(4,5)","[17, 77, 103, 18, 43, 62, 1, 95, 49, 45]","[116, 33, 58, 117, 143, 17, 101, 51, 4, 0]",1.1871807413640432,1.1950006250452923
115,-29,倍音,逆方向,144,0.004587702909639764,3.185904798360948e-05,0.0008530308052019702,0.1859385452814668,False,10,"(4,5)","[17, 78, 103, 18, 44, 63, 2, 96, 49, 45]","[116, 33, 58, 117, 143, 17, 101, 51, 4, 0]",0.7943040719035668,1.2086560095365608
116,-28,倍音,逆方向,36,0.004863884939912392,3.3776978749391616e-05,0.0009035264028278607,0.1857622896079723,False,10,"(4,5)","[18, 78, 104, 19, 44, 63, 2, 96, 50, 46]","[116, 33, 58, 117, 143, 17, 101, 51, 4, 0]",1.206432967129075,1.223169793516485
117,-27,倍音,逆方向,16,0.005170861236832031,3.5908758589111336e-05,0.000959582415330818,0.1855749693098927,False,10,"(4,5)","[18, 79, 104, 19, 45, 64, 3, 97, 50, 46]","[116, 33, 58, 117, 143, 17, 101, 51, 4, 0]",0.7698688199358102,1.2386103338500065
118,-26,倍音,逆方向,72,0.0055132746841074125,3.828662975074593e-05,0.0010220251236041985,0.18537533175161616,False,10,"(4,5)","[19, 79, 105, 20, 45, 64, 3, 97, 50, 47]","[116, 33, 58, 117, 143, 18, 101, 51, 4, 0]",1.236087622553247,1.2449797485529188
119,-25,倍音,逆方向,144,0.005896676318062389,4.094914109765549e-05,0.0010918385000566841,0.18516168111724596,False,10,"(4,5)","[19, 80, 105, 20, 46, 65, 4, 98, 51, 47]","[116, 33, 58, 117, 143, 18, 101, 51, 4, 0]",0.7420062768957615,1.227374837976389
120,-24,倍音,逆方向,6,0.006327756492467856,4.3942753419915676e-05,0.001170206437035601,0.18493228025265157,False,10,"(4,5)","[19, 80, 106, 21, 46, 65, 4, 98, 51, 48]","[116, 33, 58, 117, 143, 18, 101, 51, 4, 0]",1.2476635433789711,1.20830287045774
121,-23,倍音,逆方向,144,0.006814657519763877,4.7324010553915824e-05,0.0012585699551360028,0.18468572360179464,False,10,"(4,5)","[20, 81, 106, 21, 47, 66, 5, 99, 52, 48]","[116, 33, 58, 117, 143, 18, 101, 51, 4, 0]",0.7096414767189708,1.187939250513904
122,-22,倍音,逆方向,72,0.0073673307436719244,5.116201905327726e-05,0.001358679148383901,0.1844194587776477,False,10,"(4,5)","[20, 81, 107, 22, 47, 66, 5, 99, 52, 49]","[116, 33, 58, 117, 143, 18, 101, 51, 4, 0]",1.219526231422174,1.1662854361333594
123,-21,倍音,逆方向,48,0.007998002070024586,5.554168104183741e-05,0.0014726638139542843,0.1841289613406861,False,10,"(4,5)","[21, 82, 107, 22, 48, 67, 6, 100, 53, 49]","[116, 33, 58, 117, 143, 18, 101, 51, 4, 0]",0.6717765773693062,1.155880659211723
124,-20,倍音,逆方向,36,0.008721955349307284,6.056913437018949e-05,0.001603198473700213,0.18381181850782374,False,10,"(4,5)","[21, 82, 108, 23, 48, 67, 6, 100, 53, 50]","[116, 33, 58, 117, 143, 18, 101, 51, 4, 0]",1.1909659048855175,1.2101489891517054
125,-19,倍音,逆方向,144,0.009558539361495717,6.637874556594249e-05,0.0017536897326094981,0.18346838008261143,False,10,"(4,5)","[22, 83, 108, 23, 49, 68, 7, 101, 54, 50]","[116, 32, 58, 117, 143, 18, 101, 51, 4, 0]",0.7221707925373698,1.2322052239709367
126,-18,倍音,逆方向,8,0.010532136173866051,7.313983454073648e-05,0.0019283263716414131,0.1830897682871089,False,10,"(4,5)","[22, 83, 108, 24, 49, 68, 7, 101, 54, 51]","[116, 32, 58, 117, 143, 18, 101, 51, 4, 0]",1.193863442676684,1.17102779241948
127,-17,倍音,逆方向,144,0.01167393890438914,8.106902016936904e-05,0.002132347055902873,0.18265874726320167,False,10,"(4,5)","[23, 84, 109, 24, 50, 69, 8, 102, 55, 51]","[116, 32, 58, 117, 143, 18, 101, 51, 4, 0]",0.8999929594768763,1.0978704352508757
128,-16,倍音,逆方向,9,0.013025465122968836,9.045461890950582e-05,0.002372992886281934,0.1821810479610012,False,10,"(4,5)","[23, 84, 109, 25, 50, 69, 8, 102, 55, 52]","[116, 32, 58, 117, 143, 18, 101, 51, 4, 0]",1.1017405205476627,1.0868071672896995
129,-15,倍音,逆方向,48,0.014641778225456174,0.00010167901545455678,0.002660022524325753,0.18167346092573933,False,10,"(4,5)","[24, 85, 110, 25, 51, 70, 9, 103, 56, 52]","[116, 32, 58, 117, 143, 18, 101, 51, 4, 0]",1.120205456466468,1.1001953062855485
130,-14,倍音,逆方向,72,0.016594685474204993,0.0001152408713486458,0.0030049910187188627,0.18108152898648558,False,10,"(4,5)","[24, 85, 110, 26, 51, 70, 9, 103, 56, 53]","[116, 32, 58, 117, 143, 18, 101, 51, 4, 0]",1.1267713305440168,1.1144148661138222
131,-13,倍音,逆方向,144,0.0189847997375842,0.00013183888706655696,0.003423516101542298,0.1803293239256438,False,10,"(4,5)","[25, 85, 111, 26, 52, 71, 10, 104, 57, 53]","[116, 32, 58, 117, 143, 18, 101, 51, 4, 0]",1.081509236893154,1.1401125678728892
132,-12,倍音,逆方向,12,0.021959586905683916,0.00015249713128947167,0.0039421719265645095,0.1795194027782069,False,10,"(4,5)","[25, 86, 111, 27, 52, 71, 10, 104, 57, 54]","[116, 32, 58, 117, 143, 18, 101, 51, 4, 0]",1.186323859050382,1.1815493997143254
133,-11,倍音,逆方向,144,0.02571820310888502,0.00017859863270059046,0.004597096252647359,0.1787487342402694,False,10,"(4,5)","[26, 86, 112, 27, 53, 72, 11, 105, 58, 54]","[116, 32, 58, 117, 143, 18, 101, 51, 3, 0]",1.0269736273235495,1.1796221979909316
134,-10,倍音,逆方向,72,0.03054625278034719,0.00021212675541907775,0.005425832599230119,0.17762678251392539,False,10,"(4,5)","[26, 87, 112, 28, 53, 72, 11, 106, 58, 55]","[116, 32, 58, 117, 143, 18, 101, 51, 3, 0]",1.166377306837299,1.2103299219123782
135,-9,倍音,逆方向,16,0.036948533157320926,0.0002565870358147287,0.006497762252855339,0.17585981627982117,False,10,"(4,5)","[27, 87, 113, 28, 54, 73, 12, 106, 58, 55]","[116, 32, 58, 117, 142, 18, 101, 51, 3, 0]",1.2419101034891626,1.220426755690409
136,-8,倍音,逆方向,18,0.04570753031975692,0.000317413404998312,0.00796686657762233,0.1743009635805827,False,10,"(4,5)","[27, 87, 113, 29, 54, 73, 12, 107, 59, 56]","[116, 32, 57, 117, 142, 18, 101, 51, 3, 0]",1.2262607600889275,1.1901244672162148
137,-7,倍音,逆方向,144,0.057827016238785584,0.0004015765016582333,0.010015346363404514,0.17319493577272016,False,10,"(4,5)","[28, 88, 113, 29, 55, 74, 13, 107, 59, 56]","[116, 32, 57, 117, 143, 18, 101, 51, 3, 0]",1.1598096148391446,1.2146762139651162
138,-6,倍音,逆方向,24,0.07555980806023328,0.0005247208893071756,0.012819683880332696,0.1696627374981333,False,10,"(4,5)","[28, 88, 114, 29, 55, 75, 13, 108, 60, 56]","[116, 32, 57, 117, 142, 18, 101, 51, 3, 0]",1.2454992252774795,1.1774448996255382
139,-5,倍音,逆方向,144,0.10462720685421105,0.0007265778253764658,0.01709687485495741,0.16340754349660144,False,10,"(4,5)","[28, 88, 114, 30, 55, 75, 14, 108, 60, 57]","[116, 31, 57, 117, 142, 18, 101, 51, 3, 0]",1.1933393744464917,1.078300546735039
140,-4,倍音,逆方向,36,0.15360923163099818,0.0010667307752152654,0.024437354355686104,0.15908779762918018,False,10,"(4,5)","[29, 89, 114, 31, 56, 75, 14, 108, 60, 57]","[115, 31, 57, 117, 142, 18, 101, 51, 3, 0]",1.236219537005728,1.1680740008931467
141,-3,倍音,逆方向,48,0.23390984408915994,0.0016243739172858331,0.03640426687424805,0.15563375289315207,False,10,"(4,5)","[31, 89, 114, 30, 57, 76, 14, 110, 61, 58]","[117, 31, 56, 116, 143, 19, 101, 53, 3, 0]",1.1356193119106726,1.2117735533013418
142,-2,倍音,逆方向,72,0.4419001879946583,0.003068751305518461,0.048534961904033794,0.10983240836417224,False,10,"(4,5)","[31, 89, 114, 29, 57, 78, 14, 113, 61, 59]","[117, 31, 56, 114, 142, 20, 100, 54, 2, 0]",1.1679594542664367,1.235230634998791
143,-1,基底波,逆方向,144,1.195687464284294,0.008303385168640933,0.09811060529001434,0.08205372074277008,False,7,"(2,5)","[30, 90, 116, 32, 57, 75, 14, 108, 60, 57]","[15, 76, 102, 18, 42, 61, 0, 93, 45, 43]",1.2466763750698726,1.2131688835449317
