period_steps,deviation_deg,protocol,decay_abs_monotonic_by_leak,normalized_f_error_monotonic_by_leak,decay_abs_values,normalized_f_error_values
96,5.0,Protocol_F,True,True,4.7369518222172830e-17;2.0000010001173129e-06;2.0000100000652427e-05;1.0000250008348041e-04;4.0004000533412837e-04;2.0010006671670379e-03,1.5530052155583579e-16;1.3080318455794567e-07;1.3077552244938221e-06;6.5326323785674683e-06;2.6038570198428052e-05;1.2776666270611215e-04
96,5.0,Protocol_B,True,True,4.7369518222172830e-17;2.0000010001173129e-06;2.0000100000652427e-05;1.0000250008348041e-04;4.0004000533412837e-04;2.0010006671670379e-03,1.5530052155583579e-16;1.3080318455794567e-07;1.3077552244938221e-06;6.5326323785674683e-06;2.6038570198428052e-05;1.2776666270611215e-04
96,10.0,Protocol_F,True,True,4.7947195273662739e-17;2.0000010001184683e-06;2.0000100000651851e-05;1.0000250008348157e-04;4.0004000533412724e-04;2.0010006671670388e-03,1.5530052155583579e-16;1.3080318455794567e-07;1.3077552244938221e-06;6.5326323785674683e-06;2.6038570198428052e-05;1.2776666270611215e-04
96,10.0,Protocol_B,True,True,4.7947195273662739e-17;2.0000010001184683e-06;2.0000100000651851e-05;1.0000250008348157e-04;4.0004000533412724e-04;2.0010006671670388e-03,1.5530052155583579e-16;1.3080318455794567e-07;1.3077552244938221e-06;6.5326323785674683e-06;2.6038570198428052e-05;1.2776666270611215e-04
96,20.0,Protocol_F,True,True,4.9102549376642565e-17;2.0000010001184683e-06;2.0000100000654738e-05;1.0000250008348215e-04;4.0004000533412637e-04;2.0010006671670375e-03,1.5530052155583579e-16;1.3080318455794567e-07;1.3077552244938221e-06;6.5326323785674683e-06;2.6038570198428052e-05;1.2776666270611215e-04
96,20.0,Protocol_B,True,True,4.9102549376642565e-17;2.0000010001184683e-06;2.0000100000654738e-05;1.0000250008348215e-04;4.0004000533412637e-04;2.0010006671670375e-03,1.5530052155583579e-16;1.3080318455794567e-07;1.3077552244938221e-06;6.5326323785674683e-06;2.6038570198428052e-05;1.2776666270611215e-04
96,35.0,Protocol_F,True,True,5.6179093257393994e-17;2.0000010001163020e-06;2.0000100000660515e-05;1.0000250008348777e-04;4.0004000533412203e-04;2.0010006671670336e-03,1.6967691269414744e-16;1.3080318455407651e-07;1.3077552244879907e-06;6.5326323785706633e-06;2.6038570198427246e-05;1.2776666270610269e-04
96,35.0,Protocol_B,True,True,5.6179093257393994e-17;2.0000010001163020e-06;2.0000100000660515e-05;1.0000250008348777e-04;4.0004000533412203e-04;2.0010006671670336e-03,1.6967691269414744e-16;1.3080318455407651e-07;1.3077552244879907e-06;6.5326323785706633e-06;2.6038570198427246e-05;1.2776666270610269e-04
96,60.0,Protocol_F,True,True,6.4826196621883629e-17;2.0000010001146232e-06;2.0000100000652410e-05;1.0000250008349528e-04;4.0004000533413000e-04;2.0010006671670362e-03,2.0623909262614994e-16;1.3080318454820260e-07;1.3077552244804989e-06;6.5326323785640988e-06;2.6038570198440954e-05;1.2776666270610451e-04
96,60.0,Protocol_B,True,True,6.4826196621883629e-17;2.0000010001146232e-06;2.0000100000652410e-05;1.0000250008349528e-04;4.0004000533413000e-04;2.0010006671670362e-03,2.0623909262614994e-16;1.3080318454820260e-07;1.3077552244804989e-06;6.5326323785640988e-06;2.6038570198440954e-05;1.2776666270610451e-04
144,1.0,Protocol_F,True,True,6.4168167702721895e-17;2.0000009999608736e-06;2.0000100000425016e-05;1.0000250008324864e-04;4.0004000533396038e-04;2.0010006671669117e-03,2.1276171453149501e-16;8.7235677805803414e-08;8.7207810307597776e-07;4.3542029707589120e-06;1.7324302402470156e-05;8.4194639868797881e-05
144,1.0,Protocol_B,True,True,6.4168167702721895e-17;2.0000009999608736e-06;2.0000100000425016e-05;1.0000250008324864e-04;4.0004000533396038e-04;2.0010006671669117e-03,2.1276171453149501e-16;8.7235677805803414e-08;8.7207810307597776e-07;4.3542029707589120e-06;1.7324302402470156e-05;8.4194639868797881e-05
144,2.0,Protocol_F,True,True,6.4797267386081902e-17;2.0000009999615025e-06;2.0000100000420615e-05;1.0000250008324864e-04;4.0004000533396162e-04;2.0010006671669109e-03,2.1276171453149501e-16;8.7235677805803414e-08;8.7207810307597776e-07;4.3542029707589120e-06;1.7324302402470156e-05;8.4194639868797881e-05
144,2.0,Protocol_B,True,True,6.4797267386081902e-17;2.0000009999615025e-06;2.0000100000420615e-05;1.0000250008324864e-04;4.0004000533396162e-04;2.0010006671669109e-03,2.1276171453149501e-16;8.7235677805803414e-08;8.7207810307597776e-07;4.3542029707589120e-06;1.7324302402470156e-05;8.4194639868797881e-05
144,5.0,Protocol_F,True,True,6.1022669285921793e-17;2.0000009999627608e-06;2.0000100000419354e-05;1.0000250008324361e-04;4.0004000533395658e-04;2.0010006671669018e-03,1.6120194137495755e-16;8.7235677798922251e-08;8.7207810307405986e-07;4.3542029707645736e-06;1.7324302402463038e-05;8.4194639868795713e-05
