t,H,Q2_re,Q2_im,generator_norm,antisym_residual
849,np.float64(1480.2466133011608),np.float64(-74.79871400392872),np.float64(353.8616786401381),np.float64(659.3356993342603),np.float64(2.842170943040401e-14)
850,np.float64(1480.2466133011585),np.float64(-74.7987140039191),np.float64(353.8616786401384),np.float64(659.3356995196548),np.float64(2.842170943040401e-14)
851,np.float64(1480.2466133011603),np.float64(-74.7987140039408),np.float64(353.86167864013476),np.float64(659.3356995824879),np.float64(2.842170943040401e-14)
852,np.float64(1480.246613301158),np.float64(-74.79871400392017),np.float64(353.8616786401384),np.float64(659.3356995987455),np.float64(2.842170943040401e-14)
853,np.float64(1480.2466133011546),np.float64(-74.79871400391349),np.float64(353.8616786401389),np.float64(659.335699617424),np.float64(2.842170943040401e-14)
854,np.float64(1480.2466133011494),np.float64(-74.79871400389236),np.float64(353.8616786401415),np.float64(659.3356997217396),np.float64(2.842170943040401e-14)
855,np.float64(1480.2466133011485),np.float64(-74.79871400389251),np.float64(353.86167864014067),np.float64(659.3356999192545),np.float64(2.842170943040401e-14)
856,np.float64(1480.2466133011515),np.float64(-74.79871400391204),np.float64(353.86167864013765),np.float64(659.3357001901609),np.float64(2.842170943040401e-14)
857,np.float64(1480.2466133011512),np.float64(-74.79871400392193),np.float64(353.86167864013595),np.float64(659.3357004712382),np.float64(2.842170943040401e-14)
858,np.float64(1480.2466133011512),np.float64(-74.79871400390684),np.float64(353.8616786401383),np.float64(659.3357006911051),np.float64(2.842170943040401e-14)
859,np.float64(1480.2466133011546),np.float64(-74.79871400390758),np.float64(353.8616786401386),np.float64(659.3357008275767),np.float64(2.842170943040401e-14)
860,np.float64(1480.2466133011553),np.float64(-74.79871400389374),np.float64(353.86167864014175),np.float64(659.3357008714356),np.float64(2.842170943040401e-14)
861,np.float64(1480.2466133011558),np.float64(-74.79871400389484),np.float64(353.86167864014254),np.float64(659.3357008952186),np.float64(2.842170943040401e-14)
862,np.float64(1480.2466133011599),np.float64(-74.7987140039152),np.float64(353.86167864014004),np.float64(659.3357009319192),np.float64(2.842170943040401e-14)
863,np.float64(1480.2466133011594),np.float64(-74.79871400391517),np.float64(353.86167864014),np.float64(659.3357010544188),np.float64(2.842170943040401e-14)
864,np.float64(1480.2466133011567),np.float64(-74.79871400393193),np.float64(353.8616786401359),np.float64(659.3357012398494),np.float64(2.842170943040401e-14)
865,np.float64(1480.2466133011542),np.float64(-74.79871400392423),np.float64(353.861678640139),np.float64(659.3357014840952),np.float64(2.842170943040401e-14)
866,np.float64(1480.2466133011517),np.float64(-74.79871400392028),np.float64(353.86167864013987),np.float64(659.3357017099531),np.float64(2.842170943040401e-14)
867,np.float64(1480.2466133011521),np.float64(-74.79871400392085),np.float64(353.8616786401391),np.float64(659.3357018889989),np.float64(2.842170943040401e-14)
868,np.float64(1480.246613301155),np.float64(-74.79871400393037),np.float64(353.86167864013805),np.float64(659.3357019891376),np.float64(2.842170943040401e-14)
869,np.float64(1480.2466133011553),np.float64(-74.79871400388544),np.float64(353.86167864014703),np.float64(659.3357020338582),np.float64(2.842170943040401e-14)
870,np.float64(1480.2466133011555),np.float64(-74.79871400389136),np.float64(353.8616786401472),np.float64(659.335702067141),np.float64(2.842170943040401e-14)
871,np.float64(1480.2466133011535),np.float64(-74.79871400390076),np.float64(353.86167864014527),np.float64(659.3357021261658),np.float64(2.842170943040401e-14)
872,np.float64(1480.2466133011521),np.float64(-74.79871400388612),np.float64(353.861678640147),np.float64(659.3357022531779),np.float64(2.842170943040401e-14)
873,np.float64(1480.246613301153),np.float64(-74.79871400388615),np.float64(353.86167864014703),np.float64(659.3357024243535),np.float64(2.842170943040401e-14)
874,np.float64(1480.246613301148),np.float64(-74.79871400388608),np.float64(353.8616786401468),np.float64(659.3357026355848),np.float64(2.842170943040401e-14)
875,np.float64(1480.2466133011505),np.float64(-74.79871400389202),np.float64(353.8616786401484),np.float64(659.3357028170207),np.float64(2.842170943040401e-14)
876,np.float64(1480.2466133011471),np.float64(-74.79871400388257),np.float64(353.8616786401486),np.float64(659.3357029663886),np.float64(2.842170943040401e-14)
877,np.float64(1480.2466133011485),np.float64(-74.79871400387208),np.float64(353.8616786401513),np.float64(659.3357030464966),np.float64(2.842170943040401e-14)
878,np.float64(1480.246613301149),np.float64(-74.79871400388696),np.float64(353.86167864014817),np.float64(659.3357031031854),np.float64(2.842170943040401e-14)
879,np.float64(1480.2466133011444),np.float64(-74.7987140038567),np.float64(353.8616786401526),np.float64(659.3357031468348),np.float64(2.842170943040401e-14)
880,np.float64(1480.2466133011421),np.float64(-74.79871400386213),np.float64(353.8616786401525),np.float64(659.3357032265418),np.float64(2.842170943040401e-14)
881,np.float64(1480.2466133011412),np.float64(-74.79871400386128),np.float64(353.8616786401527),np.float64(659.3357033461847),np.float64(2.842170943040401e-14)
882,np.float64(1480.2466133011474),np.float64(-74.79871400383203),np.float64(353.86167864015954),np.float64(659.3357035038551),np.float64(2.842170943040401e-14)
883,np.float64(1480.246613301147),np.float64(-74.79871400379274),np.float64(353.86167864016875),np.float64(659.3357036788773),np.float64(2.842170943040401e-14)
884,np.float64(1480.2466133011453),np.float64(-74.79871400377266),np.float64(353.8616786401742),np.float64(659.3357038317286),np.float64(2.842170943040401e-14)
885,np.float64(1480.2466133011465),np.float64(-74.79871400377354),np.float64(353.86167864017466),np.float64(659.3357039590909),np.float64(3.552713678800501e-15)
886,np.float64(1480.2466133011483),np.float64(-74.79871400375936),np.float64(353.8616786401784),np.float64(659.3357040367368),np.float64(2.842170943040401e-14)
887,np.float64(1480.2466133011471),np.float64(-74.7987140037389),np.float64(353.8616786401821),np.float64(659.3357041066582),np.float64(2.842170943040401e-14)
888,np.float64(1480.2466133011474),np.float64(-74.79871400372893),np.float64(353.86167864018444),np.float64(659.3357041625579),np.float64(2.842170943040401e-14)
889,np.float64(1480.2466133011455),np.float64(-74.79871400372778),np.float64(353.861678640186),np.float64(659.3357042541393),np.float64(2.842170943040401e-14)
890,np.float64(1480.246613301144),np.float64(-74.79871400371385),np.float64(353.86167864018853),np.float64(659.3357043610895),np.float64(2.842170943040401e-14)
891,np.float64(1480.246613301145),np.float64(-74.7987140036888),np.float64(353.86167864019274),np.float64(659.3357045047923),np.float64(2.842170943040401e-14)
892,np.float64(1480.2466133011485),np.float64(-74.79871400366486),np.float64(353.8616786401974),np.float64(659.3357046471891),np.float64(3.552713678800501e-15)
893,np.float64(1480.2466133011487),np.float64(-74.79871400365849),np.float64(353.86167864020155),np.float64(659.3357047857595),np.float64(2.842170943040401e-14)
894,np.float64(1480.2466133011528),np.float64(-74.79871400364675),np.float64(353.8616786402057),np.float64(659.3357048984309),np.float64(2.842170943040401e-14)
895,np.float64(1480.2466133011526),np.float64(-74.79871400363113),np.float64(353.8616786402082),np.float64(659.3357049870442),np.float64(2.842170943040401e-14)
896,np.float64(1480.2466133011553),np.float64(-74.79871400363051),np.float64(353.86167864020916),np.float64(659.3357050654337),np.float64(2.842170943040401e-14)
897,np.float64(1480.246613301155),np.float64(-74.79871400363186),np.float64(353.86167864020575),np.float64(659.3357051348049),np.float64(2.842170943040401e-14)
898,np.float64(1480.2466133011553),np.float64(-74.7987140036366),np.float64(353.86167864020535),np.float64(659.3357052255059),np.float64(2.842170943040401e-14)
899,np.float64(1480.2466133011517),np.float64(-74.79871400365951),np.float64(353.86167864019865),np.float64(659.3357053211386),np.float64(2.842170943040401e-14)
900,np.float64(1480.246613301152),np.float64(-74.79871400370956),np.float64(353.86167864018944),np.float64(659.3357054482136),np.float64(2.842170943040401e-14)
901,np.float64(1480.2466133011524),np.float64(-74.79871400373479),np.float64(353.8616786401835),np.float64(659.3357055688737),np.float64(1.7763568394002505e-15)
902,np.float64(1480.2466133011467),np.float64(-74.7987140037161),np.float64(353.8616786401854),np.float64(659.3357057016119),np.float64(2.842170943040401e-14)
903,np.float64(1480.246613301144),np.float64(-74.79871400372642),np.float64(353.86167864018233),np.float64(659.3357058091145),np.float64(2.842170943040401e-14)
904,np.float64(1480.2466133011467),np.float64(-74.79871400371029),np.float64(353.8616786401837),np.float64(659.3357059132865),np.float64(2.842170943040401e-14)
905,np.float64(1480.2466133011424),np.float64(-74.79871400371036),np.float64(353.8616786401827),np.float64(659.3357059949954),np.float64(2.842170943040401e-14)
906,np.float64(1480.2466133011421),np.float64(-74.79871400370786),np.float64(353.8616786401836),np.float64(659.3357060749709),np.float64(2.842170943040401e-14)
907,np.float64(1480.2466133011428),np.float64(-74.79871400371243),np.float64(353.8616786401823),np.float64(659.3357061541592),np.float64(2.842170943040401e-14)
908,np.float64(1480.2466133011417),np.float64(-74.79871400368958),np.float64(353.86167864018955),np.float64(659.3357062425335),np.float64(2.842170943040401e-14)
909,np.float64(1480.2466133011399),np.float64(-74.7987140036983),np.float64(353.8616786401866),np.float64(659.3357063510766),np.float64(2.842170943040401e-14)
910,np.float64(1480.24661330114),np.float64(-74.79871400369674),np.float64(353.8616786401877),np.float64(659.3357064643058),np.float64(2.842170943040401e-14)
911,np.float64(1480.2466133011399),np.float64(-74.79871400367665),np.float64(353.86167864019194),np.float64(659.3357065942384),np.float64(2.842170943040401e-14)
912,np.float64(1480.2466133011408),np.float64(-74.79871400367645),np.float64(353.86167864019234),np.float64(659.3357067072245),np.float64(2.842170943040401e-14)
913,np.float64(1480.246613301143),np.float64(-74.79871400367696),np.float64(353.8616786401911),np.float64(659.3357068222778),np.float64(2.842170943040401e-14)
914,np.float64(1480.2466133011385),np.float64(-74.79871400367608),np.float64(353.8616786401908),np.float64(659.3357069050685),np.float64(2.842170943040401e-14)
