run_id,L,ma,mb,den,series,chi,omega_generator_mean,omega_generator_std,generator_cycles_per_step_mean,principal_phase_mean,principal_phase_std,sampled_cycles_per_step,sampled_principal_period,off_plane_step_rms,off_plane_generator_rms,phase_prediction_error_rms,polar_orientation_flip_fraction
L40_ma1_mb5_den40,40,1,5,40,main,0.15588530927590608,38.778873033065786,0.0060977057960052115,0.9694718258266446,-0.18615690874462656,0.0010710382378842907,-0.029627792217414194,33.75209305714769,0.008729618985585446,1.163388545830254,0.005659006757379754,0.0
L40_ma3_mb5_den40,40,3,5,40,main,0.09227460434099743,38.92157054188442,0.001845411490546456,0.9730392635471106,-0.1675697738003067,0.0003331480508421699,-0.026669557813109587,37.49593476605914,0.00501446501637604,0.6637532602313743,0.001830290089088011,0.0
L40_ma2_mb4_den40,40,2,4,40,main,0.12281870737487402,38.86348951250983,0.00247902227952737,0.9715872378127457,-0.17503746564048445,0.0004574697457805352,-0.027858077882960887,35.89623103938696,0.00643047592338167,0.9150072062007991,0.0034862404732090126,0.0
L40_ma2_mb6_den40,40,2,6,40,main,0.10027502537902638,38.908932097813704,0.001981500505054395,0.9727233024453426,-0.1690975885920441,0.0003372732834511182,-0.02691271708934351,37.157154986627674,0.005217041900435517,0.7419505196845051,0.002287237578087193,0.0
L40_ma4_mb6_den40,40,4,6,40,main,0.0757934053048271,38.947946443094736,0.0018455841280158622,0.9736986610773684,-0.16396511085209375,0.00031566757123712227,-0.026095857886721294,38.320257733655254,0.003961323501026963,0.5579230434234879,0.0012913530528672113,0.0
L40_ma1_mb2_den40,40,1,2,40,main,0.24433814318513494,38.43486108942338,0.019717962092187784,0.9608715272355844,-0.23177016307500697,0.0035278412553993877,-0.03688736711460204,27.10955208305299,0.020228016673292767,1.8185035767320992,0.014093468754417506,0.0
L40_ma2_mb3_den40,40,2,3,40,main,0.14320967477003987,38.813078155450924,0.0030311802497226484,0.9703269538862731,-0.18173695398405154,0.0005554033292868841,-0.028924334569026124,34.572964768249456,0.0077698617407825354,1.0618297743092635,0.004705271661967884,0.0
L40_ma3_mb6_den40,40,3,6,40,main,0.08436359222413264,38.9349503795426,0.0009913081909002403,0.973373759488565,-0.16573696079681738,0.00016718867328973432,-0.02637785656384116,37.910586009130206,0.004444011904013074,0.6132637365450855,0.0015607039218254826,0.0
L12_ma5_mb10_den12,12,5,10,12,gcd,0.2125997730538168,10.77691355320584,0.02920585445797353,0.8980761294338201,-0.6028221179541682,0.011449343749339386,-0.09594211987753146,10.422950850747133,0.11108527572709374,0.9642912315728627,0.03850114190107643,0.0
L16_ma3_mb9_den16,16,3,9,16,gcd,0.15855690230716663,14.897845304597213,0.008893485480885217,0.9311153315373258,-0.4266704188417347,0.003642364110317531,-0.06790670622975144,14.72608606014052,0.02907999312041565,0.47871146109020585,0.006157946756388639,0.0
L16_ma4_mb8_den16,16,4,8,16,gcd,0.42622863281674067,13.45611462172679,0.1841453686193371,0.8410071638579244,-0.6847362477892175,0.055948313285502774,-0.10897915854985085,9.176066445242052,0.45544076542897016,3.1098509082287564,0.3191595788199285,0.0
L16_ma5_mb10_den16,16,5,10,16,gcd,0.3738280952184461,13.908765222650763,0.1395189045822455,0.8692978264156727,-0.6483162125436523,0.042206635579264,-0.10318272991293811,9.691544319904738,0.3307526624206101,2.4153293976873926,0.17631858272099318,0.0
L20_ma3_mb9_den20,20,3,9,20,gcd,0.12573624107565107,18.9256613284513,0.0040561478730286775,0.9462830664225651,-0.33408203515733836,0.0013923917037373464,-0.05317080729349077,18.80731271353898,0.014083121344432518,0.44349025829908123,0.0034346493750687804,0.0
L20_ma4_mb8_den20,20,4,8,20,gcd,0.11449712180104626,18.9353094351023,0.004161309485824013,0.946765471755115,-0.33176144296374244,0.0014194129729783642,-0.05280147357497951,18.9388653818529,0.015846880338969915,0.39486927221111806,0.0027265303564560795,0.0
L20_ma5_mb10_den20,20,5,10,20,gcd,0.44295522989028274,17.067334242484826,0.23913624924567548,0.8533667121242413,-0.6422096555687575,0.05136757146947762,-0.10221084118511131,9.783697975725753,0.4573926810511672,3.520143584765838,0.28470201807399814,0.0
L24_ma3_mb9_den24,24,3,9,24,gcd,0.0850587899720027,22.9602089657788,0.001517900738352225,0.9566753735741167,-0.2706498331064369,0.00042858932433647277,-0.04307525878588594,23.215182640473433,0.006909838551192433,0.36278915836414355,0.001567201519253251,0.0
L24_ma4_mb8_den24,24,4,8,24,gcd,0.08796453758081943,22.95706827401004,0.0017473716425139094,0.9565445114170851,-0.2713719062370753,0.0004917160398789746,-0.04319018029390088,23.153411103986883,0.007769904919378482,0.3739335130387606,0.0016680279738897925,0.0
L24_ma5_mb10_den24,24,5,10,24,gcd,0.09993123136513468,22.944084491739183,0.0028818158171760957,0.9560035204891326,-0.2743027912328795,0.0008065496703937207,-0.043656645128616986,22.90602031039941,0.009519131530078846,0.4227570457295987,0.0021365030095236203,0.0
L32_ma3_mb9_den32,32,3,9,32,gcd,0.07322022876434704,30.960469751016973,0.0008109075070288235,0.9675146797192804,-0.20297389824973006,0.0001716448388252973,-0.032304299225075946,30.955632036238644,0.004791149086882483,0.4162793590680089,0.0011375061639971205,0.0
L32_ma4_mb8_den32,32,4,8,32,gcd,0.07219735592790108,30.961306530770557,0.0011214368890410862,0.9675408290865799,-0.20285983351135378,0.00024072729738235785,-0.03228614525813087,30.97303787754477,0.0049614766613901105,0.4068767509903545,0.001087436038203874,0.0
L32_ma5_mb10_den32,32,5,10,32,gcd,0.06556063056315888,30.96883501810568,0.0003561737447118578,0.9677760943158025,-0.20151907563481142,7.838467895728676e-05,-0.03207275701458977,31.179109408807737,0.003901291670823303,0.38060061534024164,0.0009497636442062288,0.0
L40_ma3_mb9_den40,40,3,9,40,gcd,0.06936051226851013,38.95582060370837,0.001668553947073047,0.9738955150927092,-0.16297934077499568,0.0002781374929759659,-0.025938967706199054,38.55203535185457,0.0039745739818910514,0.5006405023920484,0.0010401433897512915,0.0
L40_ma4_mb8_den40,40,4,8,40,gcd,0.06648974529664686,38.95965017916785,0.0004196283595150051,0.9739912544791963,-0.16244510282343366,7.579371491908844e-05,-0.025853941095420673,38.678822555881936,0.003626589333767743,0.4843120441867302,0.0009727556970901423,0.0
