stage,model,delta_f,T,R,channel,N_A,N_B,hair_enabled,norm,p_chi,p_target,p_abs_error,d_q,L,chi_peak,chi_peak_abs_error,chi_peak_contrast,chi_center_cell_mass,chi_effective_cell_count,N_eff,N_eff_2,P_m_A,P_m_B,name_hair_total,name_readout_l1_error,name_readout_ok,expected_origin_A,expected_origin_B,readout_enabled,control_family,compressed_q_A,compressed_q_B,compressed_q_channel,acceleration_base_ok,collision_index
stage1_odd_harmonic_bottom,fermionic_scattering_complete_reflection,3.141592653589793,3.749399456654644e-33,1.0,plus_out,15,15,False,1.0,0.9999999999999992,1.0,7.771561172376096e-16,7.77156117236833e-16,0.0013046264648437513,-3.141592653589793,3.141592653589793,16.000000000000018,0.4520643858700185,70.06040429659706,8.000000000000004,9.273618495495707,0.0,0.0,0.0,nan,False,3.749399456654644e-33,1.0,True,scattering_matrix,-1.0,1.0,1.0,True,
stage1_odd_harmonic_bottom,fermionic_scattering_complete_reflection,3.141592653589793,3.749399456654644e-33,1.0,minus_out,7,7,False,0.9999999999999998,-0.9999999999999969,-1.0,3.1086244689504383e-15,3.1086244689473393e-15,0.0006561279296874948,-3.141592653589793,3.141592653589793,7.99999999999997,0.4540387800349043,131.8994434393024,4.0,4.690415759823431,0.0,0.0,0.0,nan,False,1.0,3.749399456654644e-33,True,scattering_matrix,-1.0,1.0,-1.0,True,
stage1_odd_harmonic_bottom,fermionic_scattering_complete_reflection,3.141592653589793,3.749399456654644e-33,1.0,plus_out,7,7,False,0.9999999999999998,0.999999999999997,1.0,2.9976021664879227e-15,2.997602166484934e-15,0.0006561279296874948,-3.141592653589793,3.141592653589793,7.99999999999997,0.4540387800349043,131.8994434393024,4.000000000000001,4.690415759823431,0.0,0.0,0.0,nan,False,3.749399456654644e-33,1.0,True,scattering_matrix,-1.0,1.0,1.0,True,
stage1_odd_harmonic_bottom,fermionic_scattering_complete_reflection,3.141592653589793,3.749399456654644e-33,1.0,minus_out,3,3,False,1.000000000000001,-0.9999999999999968,-1.0,3.219646771412954e-15,3.219646771409745e-15,0.0003356933593750001,-3.141592653589793,3.141592653589793,4.000000000000001,0.4622065917518935,234.61617627469866,2.0,2.4494897427831783,0.0,0.0,0.0,nan,False,1.0,3.749399456654644e-33,True,scattering_matrix,-1.0,1.0,-1.0,True,
stage1_odd_harmonic_bottom,fermionic_scattering_complete_reflection,3.141592653589793,3.749399456654644e-33,1.0,plus_out,3,3,False,1.000000000000001,0.9999999999999989,1.0,1.1102230246251565e-15,1.1102230246240474e-15,0.0003356933593750001,-3.141592653589793,3.141592653589793,4.000000000000001,0.4622065917518935,234.61617627469866,2.0000000000000004,2.4494897427831783,0.0,0.0,0.0,nan,False,3.749399456654644e-33,1.0,True,scattering_matrix,-1.0,1.0,1.0,True,
stage1_odd_harmonic_bottom,fermionic_scattering_complete_reflection,3.141592653589793,3.749399456654644e-33,1.0,minus_out,1,1,False,0.9999999999999996,-0.9999999999999991,-1.0,8.881784197001252e-16,8.881784196992378e-16,0.00018310546875000065,-3.141592653589793,3.141592653589793,2.0000000000000036,0.5000000000000009,376.70849377789364,1.0000000000000002,1.4142135623730951,0.0,0.0,0.0,nan,False,1.0,3.749399456654644e-33,True,scattering_matrix,-1.0,1.0,-1.0,True,
stage1_odd_harmonic_bottom,fermionic_scattering_complete_reflection,3.141592653589793,3.749399456654644e-33,1.0,plus_out,1,1,False,0.9999999999999996,1.0000000000000002,1.0,2.220446049250313e-16,2.220446049248092e-16,0.00018310546875000065,-3.141592653589793,3.141592653589793,2.0000000000000036,0.5000000000000009,376.70849377789364,1.0000000000000002,1.4142135623730951,0.0,0.0,0.0,nan,False,3.749399456654644e-33,1.0,True,scattering_matrix,-1.0,1.0,1.0,True,
stage2_observation_stop_control,fermionic_scattering_complete_reflection,3.141592653589793,3.749399456654644e-33,1.0,minus_out,63,63,True,1.0,-1.0000000000000029,-1.0,2.886579864025407e-15,2.886579864022512e-15,0.0052089691162109375,-3.141592653589793,3.141592653589793,64.00000000000014,0.4515200651342749,18.229245755630583,31.99999999999996,36.959437225152634,1.0,3.640776751941969e-33,1.0,1.086227047126752e-34,True,1.0,3.749399456654644e-33,True,scattering_matrix,-1.0,1.0,-1.0,True,
stage2_observation_stop_control,fermionic_scattering_complete_reflection,3.141592653589793,3.749399456654644e-33,1.0,plus_out,63,63,True,0.9999999999999999,0.9999999999999866,1.0,1.3433698597964394e-14,1.3433698597951141e-14,0.005208969116210969,-3.141592653589793,3.141592653589793,64.00000000000033,0.4515200651342763,18.229245755630696,31.999999999999968,36.95943722515264,1.0000139600250074e-32,1.0,1.0,6.25074014359543e-33,True,3.749399456654644e-33,1.0,True,scattering_matrix,-1.0,1.0,1.0,True,
stage2_observation_stop_control,fermionic_scattering_complete_reflection,3.141592653589793,3.749399456654644e-33,1.0,minus_out,15,15,True,0.9999999999999998,-1.0000000000000029,-1.0,2.886579864025407e-15,2.886579864022512e-15,0.0013046264648437556,0.0,0.0,16.000000000000046,0.45206438587001935,70.06040429659735,8.000000000000004,9.273618495495707,1.0,3.961133873259628e-33,1.0,2.1173441660498425e-34,True,1.0,3.749399456654644e-33,True,scattering_matrix,-1.0,1.0,-1.0,True,
