step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8,takagi_r9,takagi_r10,takagi_r11,takagi_r12,takagi_r13,takagi_r14
2003,0.34068953275449587,0.3149622887229241,0.29930014217344236,0.2787308101519768,0.26097537371711327,0.24911730752440867,0.24383173680217057,0.22658321967497605,0.2079776872888734,0.19058466154274462,0.13490921855117533,0.1264219407816176,0.07392140176014599,2.3535970802624744e-09
2004,0.34068953275449537,0.3149622887229226,0.2993001421734415,0.2787308101519774,0.26097537371711327,0.24911730752440897,0.24383173680216966,0.2265832196749777,0.20797768728887367,0.19058466154274817,0.13490921855117624,0.1264219407816175,0.07392140176015059,2.1128949068043638e-09
2005,0.34068953275449515,0.31496228872292126,0.2993001421734407,0.27873081015197826,0.2609753737171134,0.24911730752440936,0.24383173680216885,0.22658321967497946,0.20797768728887392,0.1905846615427519,0.13490921855117727,0.12642194078161767,0.07392140176015545,2.5652544380139405e-09
2006,0.3406895327544953,0.31496228872292037,0.29930014217344025,0.2787308101519795,0.2609753737171139,0.2491173075244102,0.2438317368021684,0.22658321967498155,0.2079776872888747,0.19058466154275572,0.13490921855117854,0.126421940781618,0.07392140176016018,2.6474555758348185e-09
2007,0.3406895327544948,0.314962288722919,0.29930014217343937,0.27873081015198004,0.2609753737171138,0.24911730752441044,0.2438317368021675,0.2265832196749832,0.20797768728887497,0.19058466154275922,0.13490921855117943,0.12642194078161806,0.07392140176016508,1.4462593792252309e-09
2008,0.3406895327544944,0.3149622887229174,0.2993001421734385,0.27873081015198065,0.2609753737171139,0.2491173075244108,0.24383173680216655,0.22658321967498496,0.20797768728887522,0.19058466154276266,0.1349092185511803,0.12642194078161834,0.07392140176016974,1.957530772501675e-09
2009,0.34068953275449343,0.31496228872291554,0.2993001421734372,0.2787308101519809,0.2609753737171136,0.2491173075244109,0.24383173680216538,0.22658321967498643,0.20797768728887525,0.19058466154276582,0.134909218551181,0.12642194078161842,0.07392140176017452,3.533532507926217e-09
2010,0.3406895327544929,0.3149622887229137,0.2993001421734364,0.27873081015198137,0.26097537371711355,0.24911730752441102,0.24383173680216438,0.22658321967498807,0.20797768728887528,0.19058466154276926,0.1349092185511816,0.1264219407816189,0.07392140176017885,1.7711282899527211e-09
2011,0.34068953275449265,0.3149622887229124,0.2993001421734359,0.2787308101519819,0.2609753737171137,0.24911730752441158,0.2438317368021636,0.22658321967498987,0.20797768728887553,0.19058466154277282,0.13490921855118243,0.12642194078161947,0.07392140176018368,2.8061619346969407e-09
2012,0.34068953275449204,0.31496228872291065,0.29930014217343526,0.27873081015198237,0.2609753737171137,0.2491173075244119,0.24383173680216277,0.22658321967499168,0.20797768728887578,0.1905846615427761,0.1349092185511832,0.12642194078161995,0.0739214017601888,1.8174955209040039e-09
