th_p,fa,fb,nb0,offset,pred_offset,offset_err,M,pred_M,M_err,delta,signflip
0.3,0.4,0.2,1.0,0.19559789040631367,0.19559789040631173,1.942890293094024e-15,0.07985250437671572,0.07985250437671507,6.522560269672795e-16,-2.3465299252961963e-15,False
0.3,0.4,0.4,1.0,0.169392742018513,0.16939274201851048,2.525757381022231e-15,0.11292849467900505,0.11292849467900735,2.3037127760972e-15,-1.008614484018146e-14,False
0.3,0.4,0.6,1.0,0.13830859469208595,0.13830859469208617,2.220446049250313e-16,0.13830859469208842,0.1383085946920866,1.8318679906315083e-15,6.105786076002593e-16,True
0.3,0.4,0.8,1.0,0.0977989452031558,0.09779894520315585,5.551115123125783e-17,0.15970500875342966,0.15970500875343013,4.718447854656915e-16,3.549363919423226e-15,True
0.3,0.4,1.0,1.0,1.6057863547065833e-15,0.0,1.6057863547065833e-15,0.17855562795993485,0.17855562795993432,5.273559366969494e-16,-2.2557573555362144e-16,True
0.3,0.6,0.0,1.0,0.17855562795993493,0.17855562795993377,1.1657341758564144e-15,2.2580377210261893e-17,0.0,2.2580377210261893e-17,-3.141592653589793,False
0.3,0.6,0.2,1.0,0.15970500875343008,0.15970500875342963,4.440892098500626e-16,0.09779894520315549,0.09779894520315617,6.800116025829084e-16,6.983082789625624e-15,False
0.3,0.6,0.4,1.0,0.1383085946920888,0.13830859469208617,2.6367796834847468e-15,0.13830859469208623,0.1383085946920866,3.608224830031759e-16,-9.121425621483999e-15,False
0.3,0.6,0.6,1.0,0.11292849467900798,0.11292849467900701,9.71445146547012e-16,0.16939274201850932,0.169392742018511,1.6930901125533637e-15,4.518616755155818e-15,True
0.3,0.6,0.8,1.0,0.07985250437671461,0.07985250437671479,1.8041124150158794e-16,0.19559789040631104,0.19559789040631234,1.304512053934559e-15,-3.1815065122029632e-15,True
0.3,0.6,1.0,1.0,2.5898461697000167e-15,0.0,2.5898461697000167e-15,0.21868508960203198,0.21868508960203417,2.192690473634684e-15,5.53406636081639e-15,True
0.3,0.8,0.0,1.0,0.12625789534948792,0.12625789534949144,3.524958103184872e-15,1.3302656545304795e-17,0.0,1.3302656545304795e-17,-3.141592653589793,False
0.3,0.8,0.2,1.0,0.11292849467900694,0.112928494679007,5.551115123125783e-17,0.11292849467900548,0.11292849467900735,1.8735013540549517e-15,-5.756811752847216e-15,False
0.3,0.8,0.4,1.0,0.09779894520315609,0.09779894520315585,2.3592239273284576e-16,0.1597050087534278,0.15970500875343013,2.3314683517128287e-15,-5.767607002116128e-15,True
0.3,0.8,0.6,1.0,0.07985250437671412,0.07985250437671479,6.661338147750939e-16,0.19559789040631312,0.19559789040631234,7.771561172376096e-16,3.1251482823160252e-15,True
0.3,0.8,0.8,1.0,0.05646424733950493,0.05646424733950349,1.4432899320127035e-15,0.22585698935801302,0.2258569893580147,1.6930901125533637e-15,3.5402668634756545e-15,True
0.3,0.8,1.0,1.0,9.918566271770986e-16,0.0,9.918566271770986e-16,0.25251579069898344,0.2525157906989837,2.7755575615628914e-16,-2.747659965676952e-15,True
0.3,1.0,0.0,1.0,3.552713678800501e-15,0.0,3.552713678800501e-15,5.09792006936981e-32,0.0,5.09792006936981e-32,-3.141592653589793,False
0.3,1.0,0.2,1.0,-9.634920428462494e-16,0.0,9.634920428462494e-16,0.12625789534949097,0.12625789534949186,8.881784197001252e-16,-7.199071693795682e-16,True
0.3,1.0,0.4,1.0,2.769512956724264e-15,0.0,2.769512956724264e-15,0.17855562795993515,0.17855562795993432,8.326672684688674e-16,-8.621790519212673e-15,True
0.3,1.0,0.6,1.0,-4.829924282798584e-16,0.0,4.829924282798584e-16,0.21868508960203417,0.21868508960203417,0.0,-3.5303693089025647e-15,True
0.3,1.0,0.8,1.0,1.0184216768145532e-15,0.0,1.0184216768145532e-15,0.2525157906989836,0.2525157906989837,1.1102230246251565e-16,4.160578726594429e-15,True
0.3,1.0,1.0,1.0,-1.7130124068996752e-16,0.0,1.7130124068996752e-16,0.2823212366975172,0.28232123669751835,1.1657341758564144e-15,1.3409132000760276e-15,True
0.05,0.0,0.0,1.44,0.058800966349269,0.05880096634926252,6.480926906249351e-15,7.958877096752686e-18,0.0,7.958877096752686e-18,-3.141592653589793,False
0.05,0.0,0.2,1.44,0.052477149812774494,0.052477149812773675,8.187894806610529e-16,6.400331009440951e-16,0.0,6.400331009440951e-16,1.7551093797371078,False
0.05,0.0,0.4,1.44,0.04529929556934302,0.04529929556934385,8.326672684688674e-16,1.2966944750006985e-15,0.0,1.2966944750006985e-15,0.3175151146792293,False
0.05,0.0,0.6,1.44,0.03678503434523089,0.03678503434523124,3.5388358909926865e-16,2.668521782825178e-15,0.0,2.668521782825178e-15,2.800065863094028,False
0.05,0.0,0.8,1.44,0.025689033086968762,0.02568903308696967,9.08995101411847e-16,2.2928814680183033e-15,0.0,2.2928814680183033e-15,-2.959365534567864,False
0.05,0.0,1.0,1.44,-0.0010990836388329592,-0.0010990836388343314,1.3721662694976544e-15,5.955944928183737e-16,0.0,5.955944928183737e-16,1.5866862214604605,False
0.05,0.2,0.0,1.44,0.05247714981277163,0.052477149812773675,2.0469737016526324e-15,1.6829152424713476e-18,0.0,1.6829152424713476e-18,-3.141592653589793,False
0.05,0.2,0.2,1.44,0.046820956351642594,0.04682095635164314,5.48172618408671e-16,0.01198000999762086,0.011980009997619407,1.4536982728685643e-15,2.554627876630383e-14,False
0.05,0.2,0.4,1.44,0.04040088834328483,0.040400888343285375,5.48172618408671e-16,0.016942292616000006,0.01694229261599864,1.366962099069724e-15,1.0025111648363278e-14,False
0.05,0.2,0.6,1.44,0.032785501593161896,0.03278550159316284,9.43689570931383e-16,0.020749985991058664,0.02074998599105992,1.2559397966072083e-15,1.6689892936071984e-14,False
0.05,0.2,0.8,1.44,0.022860936356405428,0.022860936356404408,1.0200174038743626e-15,0.023960019995237277,0.023960019995238814,1.536964999715451e-15,6.358123301148168e-14,True
