protocol,kind,step,C_memory
ramp_duration_8,ramp,71,3.8e-06
ramp_duration_8,ramp,72,3.8e-06
ramp_duration_8,ramp,73,3.8e-06
ramp_duration_8,ramp,74,3.8e-06
ramp_duration_8,ramp,75,3.8e-06
ramp_duration_8,ramp,76,3.8e-06
ramp_duration_8,ramp,77,3.8e-06
ramp_duration_8,ramp,78,3.8e-06
ramp_duration_8,ramp,79,3.8e-06
ramp_duration_8,ramp,80,3.8e-06
ramp_duration_8,ramp,81,3.8e-06
ramp_duration_8,ramp,82,3.8e-06
ramp_duration_8,ramp,83,3.8e-06
ramp_duration_8,ramp,84,3.8e-06
ramp_duration_8,ramp,85,3.8e-06
ramp_duration_8,ramp,86,3.8e-06
ramp_duration_8,ramp,87,3.8e-06
ramp_duration_8,ramp,88,3.8e-06
ramp_duration_8,ramp,89,3.8e-06
ramp_duration_8,ramp,90,3.8e-06
ramp_duration_8,ramp,91,3.8e-06
ramp_duration_8,ramp,92,3.8e-06
ramp_duration_8,ramp,93,3.8e-06
ramp_duration_8,ramp,94,3.8e-06
ramp_duration_8,ramp,95,3.8e-06
ramp_duration_24,ramp,0,0.0
ramp_duration_24,ramp,1,0.0
ramp_duration_24,ramp,2,0.0
ramp_duration_24,ramp,3,0.0
ramp_duration_24,ramp,4,0.0
ramp_duration_24,ramp,5,1.5833333333333333e-07
ramp_duration_24,ramp,6,3.1666666666666667e-07
ramp_duration_24,ramp,7,4.7499999999999995e-07
ramp_duration_24,ramp,8,6.333333333333333e-07
ramp_duration_24,ramp,9,7.916666666666667e-07
ramp_duration_24,ramp,10,9.499999999999999e-07
ramp_duration_24,ramp,11,1.1083333333333332e-06
ramp_duration_24,ramp,12,1.2666666666666667e-06
ramp_duration_24,ramp,13,1.425e-06
ramp_duration_24,ramp,14,1.5833333333333333e-06
ramp_duration_24,ramp,15,1.7416666666666666e-06
ramp_duration_24,ramp,16,1.8999999999999998e-06
ramp_duration_24,ramp,17,2.0583333333333332e-06
ramp_duration_24,ramp,18,2.2166666666666665e-06
ramp_duration_24,ramp,19,2.375e-06
ramp_duration_24,ramp,20,2.5333333333333334e-06
ramp_duration_24,ramp,21,2.6916666666666666e-06
ramp_duration_24,ramp,22,2.85e-06
ramp_duration_24,ramp,23,3.0083333333333335e-06
ramp_duration_24,ramp,24,3.1666666666666667e-06
ramp_duration_24,ramp,25,3.325e-06
ramp_duration_24,ramp,26,3.483333333333333e-06
ramp_duration_24,ramp,27,3.6416666666666664e-06
ramp_duration_24,ramp,28,3.7999999999999996e-06
ramp_duration_24,ramp,29,3.8e-06
ramp_duration_24,ramp,30,3.8e-06
ramp_duration_24,ramp,31,3.8e-06
ramp_duration_24,ramp,32,3.8e-06
ramp_duration_24,ramp,33,3.8e-06
ramp_duration_24,ramp,34,3.8e-06
ramp_duration_24,ramp,35,3.8e-06
ramp_duration_24,ramp,36,3.8e-06
ramp_duration_24,ramp,37,3.8e-06
ramp_duration_24,ramp,38,3.8e-06
ramp_duration_24,ramp,39,3.8e-06
ramp_duration_24,ramp,40,3.8e-06
ramp_duration_24,ramp,41,3.8e-06
ramp_duration_24,ramp,42,3.8e-06
ramp_duration_24,ramp,43,3.8e-06
ramp_duration_24,ramp,44,3.8e-06
ramp_duration_24,ramp,45,3.8e-06
ramp_duration_24,ramp,46,3.8e-06
ramp_duration_24,ramp,47,3.8e-06
ramp_duration_24,ramp,48,3.8e-06
ramp_duration_24,ramp,49,3.8e-06
ramp_duration_24,ramp,50,3.8e-06
ramp_duration_24,ramp,51,3.8e-06
ramp_duration_24,ramp,52,3.8e-06
ramp_duration_24,ramp,53,3.8e-06
ramp_duration_24,ramp,54,3.8e-06
ramp_duration_24,ramp,55,3.8e-06
ramp_duration_24,ramp,56,3.8e-06
ramp_duration_24,ramp,57,3.8e-06
ramp_duration_24,ramp,58,3.8e-06
ramp_duration_24,ramp,59,3.8e-06
ramp_duration_24,ramp,60,3.8e-06
ramp_duration_24,ramp,61,3.8e-06
ramp_duration_24,ramp,62,3.8e-06
ramp_duration_24,ramp,63,3.8e-06
ramp_duration_24,ramp,64,3.8e-06
ramp_duration_24,ramp,65,3.8e-06
ramp_duration_24,ramp,66,3.8e-06
ramp_duration_24,ramp,67,3.8e-06
