t,H,Q2_re,Q2_im,gen_norm,cA_re,cA_im,cB_re,cB_im,a_A,a_B,eta_perp,valid_A,valid_B,n_A,n_B,r_A,r_B,eps_abs,eps_u1,phi_star,dense_sparse_drift
90,108.81778016906296,-22.694534443300988,6.561455524124812,10.798068695311136,-0.5734341133422426,-0.13890073141668294,-0.3378518587050328,-0.36020925236079593,0.5900170298666755,0.4938568455704234,0.85645201798129,1,1,3,2,0.36854850592951927,0.6865153708726677,1.7015593955526735,0.9959206260688284,-2.663933806852212,1.1039198224535121e-13
91,108.81778016906296,-22.694534443301,6.561455524124886,10.851251042017083,-0.5388928715372293,0.20526300546118778,-0.49470784138690477,-0.08386342491167224,0.5766614504235569,0.501765804302771,0.8564453446571215,1,1,3,2,0.2330314298622138,0.037024992572790794,1.7339278075578353,0.9921020603358782,3.0066948270404934,1.0568218333828875e-13
92,108.81778016906314,-22.694534443301052,6.561455524124939,10.829946018614093,-0.30924588298762723,0.4682979143210346,-0.4719443566246776,0.20908596698219925,0.5611915472476651,0.5161864172358298,0.8594295307258396,1,1,2,2,0.19092564968917847,0.5479430820578441,1.6586551330058814,0.998084713022027,2.416251698442266,9.620267165453583e-14
93,108.81778016906296,-22.694534443301073,6.5614555241248755,10.805558360924103,0.025389644067819676,0.5613925664755388,-0.28493940944391927,0.4217841461048363,0.5619664115584514,0.5090111324515755,0.8642155186398877,1,1,2,1,0.4378944691531701,0.46323281571259667,1.4956533653789172,1.010824622101891,1.8154825911152146,1.0169113157700622e-13
94,108.81778016906279,-22.69453444330105,6.561455524124877,10.87373980061173,0.3626325819771037,0.4609817642198684,-0.012994663259771666,0.505379499216202,0.5865207382988629,0.5055465354458024,0.8598852986549625,1,1,1,1,0.01205076527494331,0.10519267443720803,1.2833397127890158,1.0090042091273665,1.2030180852787187,1.0217067720214742e-13
95,108.81778016906256,-22.694534443300988,6.561455524124948,10.796855416348084,0.553567488196398,0.21019954030134275,0.27334504329673925,0.4143788893659091,0.5921324266842385,0.4964145209872699,0.857280360892547,1,1,0,1,0.49380026472989247,0.7140288761712323,1.0901285624980435,1.0002359010495414,0.6232207543918304,1.0204104045575394e-13
96,108.8177801690627,-22.694534443301023,6.561455524124965,10.824143143678482,0.5678326942825831,-0.12562343232054712,0.4726494071192757,0.1603989683837331,0.5815627356048637,0.49912452465168317,0.8561906911109435,1,1,0,0,0.08682655517564619,0.19626628147062553,0.9927789328520219,0.9927319621264492,0.01355956183466444,9.706650523397621e-14
97,108.81778016906266,-22.694534443300945,6.561455524125003,10.848867234878288,0.37432728744692817,-0.4209659395584312,0.4960726107612739,-0.13510744939355526,0.563323388823585,0.5141420601634712,0.85969973609516,1,1,5,0,0.3341228276930499,0.39680444744712595,1.0781420287296672,0.9991288562886528,-0.5805637280268869,9.240240142413498e-14
98,108.81778016906281,-22.69453444330098,6.561455524125092,10.791045215796164,0.05615972880374369,-0.5545052245821696,0.3440453186274562,-0.37941885097554795,0.5573418692582071,0.5121775529492413,0.8646204080430504,1,1,5,3,0.2917642640101983,0.6056427207563253,1.2748109360981679,1.0110020306764596,-1.1773881205361332,9.394026818307721e-14
99,108.81778016906259,-22.694534443300952,6.561455524125014,10.870170120742419,-0.29112539367428525,-0.4976181836493541,0.08651492632359903,-0.4936428172667816,0.5765222038573101,0.5011667023215558,0.8644324857698705,1,1,4,3,0.12515331848796585,0.04259643948454084,1.487834024457915,1.0170575554024406,-1.7939055746267545,9.525850388621928e-14
