t,H,Q2_re,Q2_im,gen_norm,cA_re,cA_im,cB_re,cB_im,a_A,a_B,eta_perp,valid_A,valid_B,n_A,n_B,r_A,r_B,eps_abs,eps_u1,phi_star,dense_sparse_drift
356,14.99999999999989,-3.464101615137835,-1.7208456881689926e-13,4.934855058961476,-0.9687335424801382,0.1723321070632318,-0.2064983716974015,-0.02118430315391376,0.9839425956075745,0.20758215774433772,0.325877298770408,1,1,2,-1,0.9614506705464754,nan,1.9575133172094887,0.3845222482449159,-2.9934587544997155,0.013629940077395108
357,14.999999999999925,-3.4641016151378436,-1.7008616737257398e-13,4.962663971410167,-0.3293609486338804,0.9380436819815388,-0.17039229100667902,0.1206702497256203,0.9941853870332694,0.20879377865096543,0.3448595523032854,1,1,1,-1,0.07586815894767573,nan,1.7588964150658415,0.4026392548331736,2.2081818254319954,0.014781408410368376
358,14.999999999999918,-3.4641016151378397,-1.6173173911226968e-13,4.945821694730398,0.6631177188492885,0.6945592052744216,0.03179738095908062,0.16036810575985605,0.9602799584930012,0.16349006936465982,0.4031093071022677,1,1,1,-1,1.024043392122341,nan,1.0895826974373783,0.44090478203035993,1.1038522413689351,0.0155599533652366
359,14.999999999999929,-3.464101615137841,-1.6420198534206065e-13,4.927992500594608,0.9446451465126267,-0.29342583512379594,0.215314985713234,-0.0018501232398398793,0.989167919793176,0.2153229342840487,0.31514971761973865,1,1,0,-1,0.03937197903216294,nan,0.37940912632585994,0.37869041021810235,0.02422752234842736,0.014619894414468381
360,14.999999999999936,-3.4641016151378388,-1.6786572132332367e-13,4.954534133477537,0.19806390447518799,-0.970910163061901,0.1570327851345802,-0.13523246561824515,0.9909065823743648,0.20723685812208475,0.35663870788306806,1,1,2,-1,0.9866351528671284,nan,1.061660001726129,0.4129618687254854,-1.0734185498696418,0.015249773247419938
361,14.999999999999911,-3.4641016151378317,-1.6044110484614293e-13,4.954488934946805,-0.7599018167524755,-0.5845900927734691,-0.06646604013578933,-0.14764255327574263,0.9587472803990663,0.16191373638179332,0.4001564474415925,1,1,2,-1,0.12966100748198706,nan,1.7447903514935712,0.4373729845772875,-2.186301174968602,0.016213747840850407
362,14.99999999999989,-3.4641016151378423,-1.7752466163756253e-13,4.927927352549829,-0.902595325832287,0.4156424153331122,-0.21901615416445794,0.025650364425911454,0.9936986160995877,0.22051307666479028,0.3070891904057643,1,1,1,-1,0.8774480966286546,nan,1.9620011235880437,0.3742370386766763,3.035294117439359,0.015074107652490518
363,14.9999999999999,-3.464101615137846,-1.7119639039719914e-13,4.946361874767362,-0.06216159355688948,0.985109601082963,-0.1395879057509506,0.15004397980996936,0.9870688881022268,0.20493408527902515,0.3675583225791676,1,1,1,-1,0.1987817440399735,nan,1.6235553820194655,0.4222885352086804,1.927398776696485,0.014835621500583724
364,14.999999999999876,-3.4641016151378388,-1.7180701306074297e-13,4.962589564696271,0.8405724780346993,0.46274677662573266,0.0999187259035524,0.13066876928525872,0.9595294003348207,0.16449340124367728,0.39254359259769483,1,1,0,-1,0.7650370104778332,nan,0.8637789139021074,0.43059706297434397,0.8079194887155452,0.015688063957883656
365,14.999999999999867,-3.4641016151378334,-1.7530421558831222e-13,4.934926148776341,0.8438544592986389,-0.5308206347185705,0.21673578874789146,-0.047539806367345616,0.9969257217672861,0.2218883397423473,0.3034302609425707,1,1,0,-1,0.29970188204752546,nan,0.43673457598864257,0.3717550027373834,-0.23812274671771283,0.014857129644115983
366,14.999999999999844,-3.4641016151378263,-1.7252865802674933e-13,4.939745411055367,-0.06826739304728488,-0.9805561537206147,0.11844130681385903,-0.16254179985133485,0.9829297063131414,0.20111732858877698,0.3769217982766866,1,1,2,-1,0.7158892292008883,nan,1.2646589481676365,0.4296071765654085,-1.348280792822148,0.013859630842896833
367,14.999999999999817,-3.4641016151378237,-1.8041124150158794e-13,4.9664877238725,-0.9003114758344908,-0.3397727793472767,-0.12900089119504488,-0.1108598400834949,0.9622922087934891,0.1700915461522232,0.38127169200591426,1,1,2,-1,0.42452968477691844,nan,1.8514057254202794,0.4213684596310696,-2.4709111900681324,0.014530595821433026
368,14.99999999999981,-3.464101615137828,-1.8041124150158794e-13,4.945915975579076,-0.7720449453368787,0.6335299823471093,-0.21005423428531708,0.06553084644380089,0.9987059808336749,0.2200387992532951,0.30461441864862293,1,1,1,-1,0.621828446586568,nan,1.9333030749463966,0.37180330957709484,2.774408522722356,0.014339728758120061
369,14.999999999999801,-3.4641016151378246,-1.8096635301390052e-13,4.9353689346626455,0.1886622252690611,0.9602386128270941,-0.09481044212760491,0.1708458096062691,0.9785967651732637,0.19539014969146595,0.38476382113391183,1,1,1,-1,0.4558025804228767,nan,1.4749917793612195,0.434795139537578,1.667914849315582,0.012958013219516404
370,14.99999999999983,-3.4641016151378334,-1.8907098109366416e-13,4.965062190880782,0.9405742648996153,0.2214336113990083,0.1526780391135691,0.0904202644458817,0.966288151665257,0.1774440978168271,0.36844404751079657,1,1,0,-1,0.4930129748818217,nan,0.659613288864358,0.4115473899508994,0.5455374582985598,0.013412284390225727
371,14.999999999999888,-3.4641016151378397,-1.843178387694877e-13,4.957152449863534,0.6903738828841703,-0.7224238448847893,0.2016727041333183,-0.07963220692701542,0.9992558780546092,0.2168252014238934,0.3098843872556653,1,1,0,-1,0.5462803421884446,nan,0.6011509831912785,0.3747679503053054,-0.4924211431131709,0.013810910209169398
372,14.999999999999872,-3.4641016151378325,-1.6076029396572267e-13,4.933635647117243,-0.2997729824840174,-0.9268948527104899,0.06980962170502897,-0.1746707031526847,0.9741652370150373,0.18810432696366278,0.3912997510450394,1,1,2,-1,0.4725992560598069,nan,1.4282865485653509,0.43824546579194257,-1.5929241127200822,0.012499562362469185
373,14.999999999999886,-3.4641016151378317,-1.6497914145929826e-13,4.95917250562927,-0.9649064513554559,-0.10839214953963015,-0.17173646367440973,-0.07083732240550214,0.9709754466252998,0.185772277805309,0.3556809480623806,1,1,2,-1,0.6735327729124032,nan,1.9159143410114297,0.4025726068644308,-2.7117330174275054,0.012676302344221292
374,14.999999999999892,-3.464101615137836,-1.6342482922482304e-13,4.965392583116327,-0.6004122270087486,0.7982437156760058,-0.1933115015747709,0.09124048115895037,0.9988432669632614,0.2137619284232097,0.3180131037045604,1,1,1,-1,0.3830868758923889,nan,1.8749316299312733,0.38046530653771693,2.526642004811401,0.013505898200123483
375,14.999999999999876,-3.464101615137826,-1.5787371410169726e-13,4.934365122827409,0.4049888394776425,0.8811304173948097,-0.043718081019998134,0.17471279368446088,0.9697457257239133,0.18009950273418335,0.3966903425971102,1,1,1,-1,0.6926278936767223,nan,1.3220552588152001,0.4404773484814042,1.430708053209497,0.012678941251678679
376,14.999999999999869,-3.464101615137834,-1.5720758028692217e-13,4.950158903124798,0.9760432176281979,-0.002116465860174166,0.18752356968217615,0.05183107835373216,0.9760455123126908,0.19455474774380782,0.3434770571756022,1,1,0,-1,0.2596309771132934,nan,0.4987315605405357,0.39477030968645677,0.31874223574656696,0.012566376437990546
377,14.999999999999897,-3.464101615137835,-1.571520691356909e-13,4.968450116998762,0.5011970093433935,-0.8625548025178447,0.185051015647789,-0.10219494098733664,0.997596726899883,0.21139461761285094,0.32798006544849895,1,1,0,-1,0.7826195409086116,nan,0.7950729415368994,0.38832103672072005,-0.7381712676455351,0.013689933016212475
378,14.99999999999989,-3.4641016151378343,-1.638689184346731e-13,4.937196224306495,-0.5084644484089044,-0.8207429310251513,0.015743034978937018,-0.17158791128302195,0.9654817730664457,0.17230860236453155,0.4008523108238385,1,1,2,-1,0.23075117900605502,nan,1.5713913918857323,0.4417494105574068,-1.8338231013186546,0.013564179332143371
379,14.999999999999918,-3.4641016151378357,-1.5898393712632242e-13,4.9397381696553335,-0.9746066512523174,0.1147991832495846,-0.20090434108363253,-0.03196214457215096,0.9813444742495002,0.20343090461358038,0.3316518691725263,1,1,2,-1,0.9026481643777249,nan,1.9520478280296345,0.38782926913357224,-2.935614453651732,0.013156459511793664
380,14.999999999999943,-3.464101615137839,-1.6642243139131097e-13,4.965762117429554,-0.3896579465851904,0.9160934238082359,-0.17586951700286202,0.11411998799335002,0.9955202039545371,0.2096508017404711,0.3391601450255738,1,1,1,-1,0.14036546508725634,nan,1.786626818852256,0.397753627206639,2.2747216525486422,0.014384772597068095
381,14.999999999999943,-3.4641016151378383,-1.5393242236427795e-13,4.9423006025346385,0.6124042640121975,0.7415539212886251,0.015235897532201573,0.16517191219436228,0.961738634327881,0.16587312365646784,0.40314162397941355,1,1,1,-1,0.9520985383770229,nan,1.1414186062227,0.441765026150351,1.1742080692047443,0.014926019894929997
382,14.99999999999993,-3.4641016151378343,-1.5831780331154732e-13,4.930729274584701,0.9587424424573472,-0.23320341821015733,0.21159872439659244,0.010002188623616237,0.9866969672771784,0.21183499225464966,0.32031374833917137,1,1,0,-1,0.023194204200081003,nan,0.39050385754989947,0.3815685451861013,0.08628419756681549,0.014168324690193078
383,14.999999999999924,-3.46410161513783,-1.5354384430565915e-13,4.958734631049169,0.26409192905703244,-0.9568272953789287,0.16423271526318825,-0.12789514191272056,0.9926041608693872,0.20815751748998737,0.3509651346004393,1,1,0,-1,1.0396938976147991,nan,1.0075112665399817,0.4080493440851599,-1.0037036681246396,0.015119607224639498
384,14.999999999999911,-3.464101615137827,-1.6608936448392342e-13,4.950028412061801,-0.7136277561425042,-0.6410228266517449,-0.049200351103409604,-0.15470594325488396,0.9592574412667219,0.16234100968973353,0.4022702901771532,1,1,2,-1,0.05354556219523143,nan,1.7121502006219476,0.43965955765517917,-2.112455030292072,0.01604283052746786
385,14.999999999999886,-3.464101615137827,-1.7708057242771247e-13,4.927002672305018,-0.9256193241611235,0.35579917926078786,-0.2180555769595598,0.01373935979501148,0.9916472100616959,0.21848799658274887,0.310692216516095,1,1,1,-1,0.9420191145278487,nan,1.9638624500094817,0.3763569191212489,3.1000965425266327,0.014954153525189052
386,14.999999999999895,-3.4641016151378285,-1.816324868286756e-13,4.9502795099591275,-0.1291219441168426,0.9805323047673861,-0.1488294385661174,0.14289826365783997,0.9889975111924979,0.20632526636437734,0.3624479000141408,1,1,1,-1,0.13086719645155886,nan,1.6594125862942937,0.41804652206640064,1.996438049690131,0.015161562372801614
387,14.999999999999869,-3.464101615137828,-1.8962609260597674e-13,4.958910966501719,0.8032849127606956,0.5236149944191187,0.08375245627624633,0.13973212254494194,0.9588739820484713,0.16290960684753747,0.39696442670861015,1,1,0,-1,0.8394685533464212,nan,0.9195856395388405,0.4344925781971399,0.8797537114032197,0.016089815932196497
388,14.999999999999854,-3.464101615137828,-1.9262369477246466e-13,4.930740680405594,0.8747227687232069,-0.4753931079027698,0.21870859943820556,-0.03693312870440614,0.9955594051407717,0.221805111447229,0.3047338175250237,1,1,0,-1,0.2360232085342755,nan,0.4085480726062818,0.3728542131766834,-0.17334933416821593,0.015037238812814806
389,14.999999999999849,-3.4641016151378268,-1.9695356456850277e-13,4.942783213785321,-0.0049970216857948,-0.984968489897091,0.12939267943789712,-0.15686562235060864,0.9849811654625098,0.2033452457461501,0.37262407516233664,1,1,2,-1,0.780324926165699,nan,1.2183001490572856,0.4264380444013753,-1.2831829121084153,0.014377406221094853
390,14.999999999999838,-3.464101615137826,-2.254862963013693e-13,4.965214281401998,-0.8734881791931228,-0.4000831028886819,-0.11528829171306326,-0.12109424897518012,0.9607539166754162,0.16719810806638716,0.38727687457650783,1,1,2,-1,0.3558872383143221,nan,1.8293805430252277,0.4262879547991474,-2.4047723158061736,0.015141736383958014
391,14.999999999999886,-3.464101615137831,-2.336464355323642e-13,4.940227320558819,-0.808874357127672,0.5846235230814024,-0.21388823023801132,0.05701077225407902,0.99802925275706,0.2213558293502907,0.3035763716598703,1,1,1,-1,0.6831573487698246,nan,1.9433232814015704,0.37159665640770706,2.8375286288489745,0.01462148899785879
392,14.999999999999902,-3.464101615137834,-2.304822999121825e-13,4.937225955240208,0.13052180737286098,0.972012190996893,-0.10681365094740138,0.16739242434165702,0.9807362752781497,0.1985683251570871,0.381184797456295,1,1,1,-1,0.395280945969255,nan,1.5117110484822585,0.432645101507816,1.728816016635706,0.013374497300940551
393,14.999999999999883,-3.4641016151378254,-2.3081536681957004e-13,4.9663959251715815,0.9229552273087323,0.27908751989691727,0.1416514225688827,0.10068114585070784,0.9642282900738423,0.17378670445577726,0.3749494583902858,1,1,0,-1,0.5554425224789035,nan,0.7060720583714993,0.416509897244588,0.6058214519412866,0.013944925916620629
394,14.999999999999895,-3.4641016151378325,-2.260691633892975e-13,4.951782794002763,0.7317369093760877,-0.6803145112123049,0.20602618844092152,-0.07297772293945112,0.9991329935045214,0.21856929877940634,0.3069742426869636,1,1,0,-1,0.4871980584293718,nan,0.556326986396228,0.3731042046714849,-0.4311549691811288,0.014071645833292094
395,14.999999999999897,-3.464101615137834,-2.2659651932599445e-13,4.934161719475981,-0.24592493973400004,-0.9448662896525052,0.08238997442950076,-0.17340066454218922,0.9763459332146898,0.19197890079424515,0.38833342745971294,1,1,2,-1,0.530772667617045,nan,1.390866024694375,0.4368862635041325,-1.5345877625060953,0.012666039996011222
396,14.999999999999863,-3.4641016151378343,-2.3436808049837055e-13,4.962560405206887,-0.9547236235459404,-0.16356679509942348,-0.16284399527881457,-0.08060612024645553,0.9686337253140567,0.18170171551075853,0.36202015381926606,1,1,2,-1,0.6157217570493376,nan,1.90315522866936,0.40700337650692114,-2.6556555394782717,0.012986261767298675
397,14.999999999999861,-3.464101615137843,-2.460254222569347e-13,4.96186224364759,-0.6458113843620475,0.7624056909148174,-0.1975576539793952,0.08562165577149485,0.9991670439475695,0.21531394423700198,0.3138353809912545,1,1,1,-1,0.4409915013596106,nan,1.8918090424846885,0.3775083906814372,2.586860471942318,0.013620909860098528
398,14.999999999999876,-3.464101615137843,-2.5357493882438575e-13,4.933728186656934,0.35354562225106995,0.9053332768248005,-0.05687952894053808,0.1752222766233505,0.9719170999314845,0.18422303612080512,0.3942655852592594,1,1,1,-1,0.6341018162161522,nan,1.3610959045268525,0.43965216170448856,1.489110645466505,0.01251106712576551
