N,q,kind,k,eps,T,residual,mu,global_closure,local_closure,rank,amp_min,amp_max,amp_spread,round,axes,vertex_null,embed_err
12,11,member,5,0.6,8.069727767687918e-17,1.2305592619838278e-16,-0.7333333333333334,1.3846391072382519e-16,2.5392002560084772e-17,11,0.16818724006917637,0.32659863237109044,0.15841139230191406,False,0.580471 0.366515 0.352580 0.347599 0.260128 0.215859 0.214316 0.177607 0.174632 0.135094 0.133549,1.665558938857221e-16,3.5821094699185227e-16
12,11,member,6,0.6,1.8071955866771635e-16,1.5169027187901255e-16,-0.7333333333333335,1.6464586179455083e-16,2.9461189946381115e-17,11,0.16818724006917635,0.32659863237109044,0.1584113923019141,False,0.580471 0.366515 0.352580 0.347599 0.260128 0.215859 0.214316 0.177607 0.174632 0.135094 0.133549,9.02594817613699e-17,2.5760643618255585e-16
12,11,member,7,0.6,1.9736244101964245e-16,2.2286609332600553e-16,-0.7333333333333335,2.2001708564395007e-16,3.7856724964907164e-17,11,0.16818724006917637,0.32659863237109044,0.15841139230191406,False,0.577822 0.389342 0.354006 0.328141 0.258003 0.215636 0.214884 0.177100 0.175660 0.134820 0.133994,9.319057809828556e-17,2.5589376332604516e-16
12,11,member,8,0.6,1.8952201313520799e-16,2.257868329009541e-16,-0.7333333333333334,2.463386084733731e-16,4.6888215366288244e-17,11,0.16818724006917626,0.32659863237109044,0.15841139230191417,False,0.577824 0.366525 0.358180 0.358128 0.260128 0.205708 0.202999 0.173379 0.171208 0.142751 0.140413,7.652021392409177e-17,3.3312455628993544e-16
12,11,member,9,0.6,1.7567876183194558e-16,2.566583459642518e-16,-0.7333333333333334,1.8421472439476047e-16,3.397007931978303e-17,11,0.16818724006917626,0.32659863237109044,0.15841139230191417,False,0.577822 0.367408 0.358189 0.357110 0.260114 0.205247 0.204240 0.174243 0.169496 0.142364 0.141035,1.0898574021256391e-16,3.0126308872686096e-16
12,11,control_k1,1,0.6,0.21999999999999997,0.20986662431172806,-0.6673333333333333,0.3,0.05000000000000001,11,0.16818724006917637,0.32659863237109044,0.15841139230191406,False,,0.009166666666666684,2.465505300536223e-16
13,6,equimodular,0,0.0,0.0,1.4991669286903367e-16,-0.7999999999999997,9.311224347332214e-17,1.910573871023131e-17,12,0.2581988897471611,0.2581988897471611,0.0,False,0.435667 0.435667 0.407077 0.407077 0.364716 0.364716 0.216211 0.216211 0.205946 0.205946 0.196862 0.196862,8.516387049815964e-17,2.2247786310271853e-16
13,6,member,2,0.6,6.254634441385502e-17,1.0177871707704129e-16,-0.8000000000000002,9.191894093787807e-17,1.3578426856467713e-17,12,0.21602468994692867,0.32659863237109044,0.11057394242416177,False,0.443511 0.443511 0.410459 0.410459 0.367261 0.367261 0.340473 0.340473 0.239207 0.239207 0.129999 0.129999,8.881935977242604e-17,2.0469737016526324e-16
13,6,member,3,0.6,5.828774135717225e-17,9.051249858960479e-17,-0.8000000000000002,4.803849625781926e-17,1.2676825401368973e-17,12,0.16329931618554522,0.32659863237109044,0.16329931618554522,False,0.430811 0.430811 0.419080 0.419080 0.382547 0.382547 0.368559 0.368559 0.317778 0.317778 0.223829 0.223829,9.099925351224233e-17,2.6376925378252274e-16
13,6,member,4,0.6,8.892890325501651e-17,2.55026282689408e-16,-0.8,2.8149255242092424e-16,4.6932290839604537e-17,12,0.21602468994692853,0.32659863237109044,0.11057394242416191,False,0.443511 0.443511 0.410459 0.410459 0.367261 0.367261 0.340473 0.340473 0.239207 0.239207 0.129999 0.129999,1.2984805451606791e-16,3.572014261108911e-16
