モード,波数k,有限位数住所m/n,回帰位数n,全体に占める強度比,窓間コヒーレンス平均,同一空間方向への集中度,単独零閉鎖誤差,B/F住所予測,粒子・反粒子の共役枝,住所から読むモデル電荷量,正負共役対のグラム行列式detΓ,状態と二次量の被覆比,内部スピン構造,相関寿命（ステップ）,総合判定
k=+68,68,17/36,36,5.06778e-06,0.61997,0.2688,0.047068,B型,正方向の共役枝,0.9924039,2.4874e-06,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-67,-67,-67/144,144,5.05288e-06,0.62005,0.26911,0.047042,F型,負方向の共役枝,0.988148,3.8995e-06,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+69,69,23/48,48,5.0468e-06,0.61998,0.26884,0.047065,F型,正方向の共役枝,0.9957224,1.3956e-06,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-68,-68,-17/36,36,5.03528e-06,0.62004,0.26908,0.047045,B型,負方向の共役枝,0.9924039,2.4874e-06,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+70,70,35/72,72,5.03074e-06,0.61998,0.26887,0.047062,B型,正方向の共役枝,0.9980973,6.191e-07,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-69,-69,-23/48,48,5.02254e-06,0.62003,0.26904,0.047048,F型,負方向の共役枝,0.9957224,1.3956e-06,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+71,71,71/144,144,5.01952e-06,0.61999,0.26891,0.047059,F型,正方向の共役枝,0.9995241,1.546e-07,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-70,-70,-35/72,72,5.01461e-06,0.62002,0.26901,0.047051,B型,負方向の共役枝,0.9980973,6.191e-07,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+72,72,1/2,2,5.01311e-06,0.62,0.26894,0.047057,B型,正方向の共役枝,1,0,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-71,-71,-71/144,144,5.01147e-06,0.62001,0.26898,0.047054,F型,負方向の共役枝,0.9995241,1.546e-07,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
