step,time,seed,epsilon,baseline_norm,perturbed_norm,total_difference,transverse_difference,normalized_transverse_amplification,local_transverse_growth_rate,renormalization_factor,active_subspace_dimension,projection_closure_error,norm_error,conservation_error
6800,6800,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.8240962430e-08,1.6618185062e-08,1.6618185062e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,8.8817841970e-16
6850,6850,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.1499392152e-08,1.6990617437e-08,1.6990617437e+00,nan,nan,4,0.0000000000e+00,6.6613381478e-16,9.9920072216e-16
6900,6900,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.6351349755e-08,1.8011806117e-08,1.8011806117e+00,nan,nan,4,0.0000000000e+00,4.4408920985e-16,8.8817841970e-16
6950,6950,0,1e-08,1.0000000000e+00,1.0000000000e+00,3.0421547696e-08,2.3467247776e-08,2.3467247776e+00,nan,nan,4,0.0000000000e+00,6.6613381478e-16,9.9920072216e-16
7000,7000,0,1e-08,1.0000000000e+00,1.0000000000e+00,3.5035900601e-08,2.4747292432e-08,2.4747292432e+00,nan,nan,4,0.0000000000e+00,8.8817841970e-16,7.7715611724e-16
7050,7050,0,1e-08,1.0000000000e+00,1.0000000000e+00,4.1762425548e-08,2.4606125349e-08,2.4606125349e+00,nan,nan,4,0.0000000000e+00,6.6613381478e-16,6.6613381478e-16
7100,7100,0,1e-08,1.0000000000e+00,1.0000000000e+00,5.1132272299e-08,3.5270046621e-08,3.5270046621e+00,nan,nan,4,0.0000000000e+00,8.8817841970e-16,8.8817841970e-16
7150,7150,0,1e-08,1.0000000000e+00,1.0000000000e+00,6.2601782418e-08,4.5569981511e-08,4.5569981511e+00,nan,nan,4,0.0000000000e+00,6.6613381478e-16,8.8817841970e-16
7167,7167,0,1e-08,1.0000000000e+00,1.0000000000e+00,6.7039385107e-08,4.8005041069e-08,4.8005041069e+00,3.1374418693e-03,4.8005041069e+00,4,0.0000000000e+00,6.6613381478e-16,7.7715611724e-16
7200,7200,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.0090902437e-08,8.4818109965e-09,8.4818109965e-01,nan,nan,4,0.0000000000e+00,1.1102230246e-16,8.8817841970e-16
7250,7250,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.3764039278e-08,1.0653122826e-08,1.0653122826e+00,nan,nan,4,0.0000000000e+00,1.1102230246e-16,1.2212453271e-15
7300,7300,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.8286793773e-08,1.7362525029e-08,1.7362525029e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,1.3322676296e-15
7350,7350,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.2272558057e-08,1.9145347559e-08,1.9145347559e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,1.3322676296e-15
7400,7400,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.8585281418e-08,2.4798364873e-08,2.4798364873e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,1.3322676296e-15
7450,7450,0,1e-08,1.0000000000e+00,1.0000000000e+00,3.7377728027e-08,3.4742603779e-08,3.4742603779e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,1.2212453271e-15
7500,7500,0,1e-08,1.0000000000e+00,1.0000000000e+00,4.5051532302e-08,4.0116921306e-08,4.0116921306e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,1.3322676296e-15
7550,7550,0,1e-08,1.0000000000e+00,1.0000000000e+00,5.2258223009e-08,4.6597137166e-08,4.6597137166e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,1.2212453271e-15
7600,7600,0,1e-08,1.0000000000e+00,1.0000000000e+00,6.1441391600e-08,5.6897336825e-08,5.6897336825e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,9.9920072216e-16
7650,7650,0,1e-08,1.0000000000e+00,1.0000000000e+00,6.7381464892e-08,6.1813259241e-08,6.1813259241e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,1.1102230246e-15
7667,7667,0,1e-08,1.0000000000e+00,1.0000000000e+00,6.8205683513e-08,6.2416781303e-08,6.2416781303e+00,3.6624981547e-03,6.2416781303e+00,4,0.0000000000e+00,2.2204460493e-16,9.9920072216e-16
7700,7700,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.1507100924e-08,1.1095203361e-08,1.1095203361e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,1.1102230246e-15
7750,7750,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.4258625973e-08,1.3533930712e-08,1.3533930712e+00,nan,nan,4,0.0000000000e+00,1.1102230246e-16,1.1102230246e-15
7800,7800,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.7429147744e-08,1.5185265513e-08,1.5185265513e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,1.1102230246e-15
7850,7850,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.2403033088e-08,1.7343548033e-08,1.7343548033e+00,nan,nan,4,0.0000000000e+00,1.1102230246e-16,1.1102230246e-15
7900,7900,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.7231394204e-08,2.1224349543e-08,2.1224349543e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,1.2212453271e-15
7950,7950,0,1e-08,1.0000000000e+00,1.0000000000e+00,3.2278359639e-08,2.3097686070e-08,2.3097686070e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,1.2212453271e-15
8000,8000,0,1e-08,1.0000000000e+00,1.0000000000e+00,3.8431857089e-08,2.5071819320e-08,2.5071819320e+00,nan,nan,4,0.0000000000e+00,3.3306690739e-16,1.4432899320e-15
8050,8050,0,1e-08,1.0000000000e+00,1.0000000000e+00,4.2429339183e-08,2.9157349512e-08,2.9157349512e+00,nan,nan,4,0.0000000000e+00,3.3306690739e-16,1.5543122345e-15
8100,8100,0,1e-08,1.0000000000e+00,1.0000000000e+00,4.5315294999e-08,3.1780556148e-08,3.1780556148e+00,nan,nan,4,0.0000000000e+00,3.3306690739e-16,1.4432899320e-15
8150,8150,0,1e-08,1.0000000000e+00,1.0000000000e+00,5.0454579252e-08,3.6147125529e-08,3.6147125529e+00,nan,nan,4,0.0000000000e+00,1.1102230246e-16,1.4432899320e-15
8167,8167,0,1e-08,1.0000000000e+00,1.0000000000e+00,5.2977612758e-08,3.9051663255e-08,3.9051663255e+00,2.7246007507e-03,3.9051663255e+00,4,0.0000000000e+00,1.1102230246e-16,1.4432899320e-15
8200,8200,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.3868304044e-08,1.2914927854e-08,1.2914927854e+00,nan,nan,4,0.0000000000e+00,1.1102230246e-16,1.4432899320e-15
8250,8250,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.8020715960e-08,1.5738156387e-08,1.5738156387e+00,nan,nan,4,0.0000000000e+00,1.1102230246e-16,1.5543122345e-15
8300,8300,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.2195072877e-08,2.0069980739e-08,2.0069980739e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,1.6653345369e-15
8350,8350,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.4498632674e-08,2.1367388627e-08,2.1367388627e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,1.6653345369e-15
