case,step,C_memory,delta_C_memory_forward,R2_memory,R3_memory,reaction_memory_abs_sum,c_effect_increment_abs,blind_signal_ratio,Q_raw,Q_closed
C_decay_0_86,42,2.085551907027217e-06,4.690620524267228e-10,3.795155860947887e-06,2.3719724130924296e-06,6.167128274040317e-06,4.690620524267228e-13,7.605842323746944e-08,8.252680181067537e-09,0.0
C_decay_0_86,43,2.0860209690796437e-06,4.066955895267425e-10,3.799329858548641e-06,2.3745811615929013e-06,6.173911020141543e-06,4.0669558952674255e-13,6.587325087775863e-08,8.259931989221187e-09,0.0
C_decay_0_86,44,2.0864276646691705e-06,3.5306369001222295e-10,3.8030907889077852e-06,2.3769317430673668e-06,6.1800225319751516e-06,3.5306369001222297e-13,5.712983863497062e-08,8.266450196644322e-09,0.0
C_decay_0_86,45,2.0867807283591827e-06,3.0694319178362073e-10,3.8064799630247356e-06,2.3790499768904604e-06,6.185529939915196e-06,3.069431917836207e-13,4.962278006334069e-08,8.27231066827438e-09,0.0
C_decay_0_86,46,2.0870876715509663e-06,2.672822077597406e-10,3.8095345603748978e-06,2.3809591002343118e-06,6.1904936606092095e-06,2.672822077597406e-13,4.3176234790528356e-08,8.277581332160175e-09,0.0
C_decay_0_97,1,5.758956449693786e-07,2.7505674285513113e-07,7.287272560379894e-07,4.5545453502374334e-07,1.1841817910617328e-06,2.750567428551311e-10,0.0002322757746583118,1.7600774360311113e-09,0.0
C_decay_0_97,2,8.509523878245098e-07,2.6680594392593056e-07,1.0393962296461173e-06,6.496226435288235e-07,1.6890188731749407e-06,2.668059439259306e-10,0.0001579650459585457,2.539971260999451e-09,0.0
C_decay_0_97,3,1.1177583317504403e-06,2.5880291195094784e-07,1.3189994910970998e-06,8.243746819356871e-07,2.143374173032787e-06,2.5880291195094783e-10,0.00012074555866498675,3.2611325047832276e-09,0.0
C_decay_0_97,4,1.3765612437013882e-06,2.5104018961333465e-07,1.5706439304047303e-06,9.81652456502956e-07,2.5522963869076864e-06,2.5104018961333464e-10,9.835855698463381e-05,3.928857630609074e-09,0.0
C_decay_0_97,5,1.6276014333147228e-06,2.435105457470114e-07,1.797125716689039e-06,1.1232035729306492e-06,2.920329289619688e-06,2.4351054574701137e-10,8.338461919776298e-05,4.547930722934412e-09,0.0
C_decay_0_97,6,1.8711119790617342e-06,2.3620696830900485e-07,2.0009613734554813e-06,1.2506008584096756e-06,3.251562231865157e-06,2.3620696830900486e-10,7.264414809416461e-05,5.122674210926891e-09,0.0
C_decay_0_97,7,2.107318947370739e-06,2.291226575869396e-07,2.184415746027218e-06,1.3652598412670108e-06,3.549675587294229e-06,2.291226575869396e-10,6.454749228551062e-05,5.656994534664967e-09,0.0
C_decay_0_97,8,2.3364416049576787e-06,2.222510196321706e-07,2.349527171947072e-06,1.4684544824669198e-06,3.817981654413992e-06,2.2225101963217062e-10,5.821165205841805e-05,6.15442325937167e-09,0.0
C_decay_0_97,9,2.5586926245898493e-06,2.1558565990963404e-07,2.4981301340809083e-06,1.5613313338005677e-06,4.059461467881476e-06,2.1558565990963404e-10,5.310696052058906e-05,6.618154092471325e-09,0.0
C_decay_0_97,10,2.7742782844994833e-06,2.0912037715589636e-07,2.6318756481781127e-06,1.6449222801113207e-06,4.276797928289433e-06,2.0912037715589635e-10,4.889648299084756e-05,7.051076212788917e-09,0.0
C_decay_0_97,11,2.9833986616553797e-06,2.028491574374526e-07,2.752249611466739e-06,1.7201560071667112e-06,4.472405618633451e-06,2.028491574374526e-10,4.5355715633733915e-05,7.45580428028883e-09,0.0
C_decay_0_97,12,3.1862478190928323e-06,1.9676616840159362e-07,2.8605893162007582e-06,1.7878683226254738e-06,4.648457638826232e-06,1.9676616840159362e-10,4.23293452774754e-05,7.834705457919065e-09,0.0
C_decay_0_97,13,3.383013987494426e-06,1.9086575371270105e-07,2.9580983116830677e-06,1.8488114448019168e-06,4.806909756484985e-06,1.9086575371270105e-10,3.970653983158405e-05,8.189923743979408e-09,0.0
C_decay_0_97,14,3.573879741207127e-06,1.851424276670647e-07,3.0458597799336055e-06,1.9036623624585033e-06,4.949522142392109e-06,1.851424276670647e-10,3.740612171048601e-05,8.523401883599237e-09,0.0
C_decay_0_97,15,3.7590221688741917e-06,1.7959086997972252e-07,3.1248485736533466e-06,1.953030358533341e-06,5.077878932186688e-06,1.7959086997972252e-10,3.536730047685191e-05,8.836901101060879e-09,0.0
C_decay_0_97,16,3.938613038853914e-06,1.7420592073713068e-07,3.195942050268297e-06,1.997463781417685e-06,5.193405831685981e-06,1.742059207371307e-10,3.354367565004576e-05,9.132018870539894e-09,0.0
C_decay_0_97,17,4.112818959591045e-06,1.6898257550971266e-07,3.259929822457871e-06,2.0374561390361702e-06,5.297385961494041e-06,1.6898257550971266e-10,3.189923798983563e-05,9.410204921085087e-09,0.0
C_decay_0_97,18,4.2818015351007575e-06,1.639159806186773e-07,3.3175225335303323e-06,2.073451583456458e-06,5.39097411698679e-06,1.639159806186773e-10,3.0405633019491447e-05,9.672775652087548e-09,0.0
C_decay_0_97,19,4.445717515719435e-06,1.5900142855168375e-07,3.3693597551705676e-06,2.1058498469816053e-06,5.4752096021521724e-06,1.5900142855168376e-10,2.9040245050926294e-05,9.920927117871608e-09,0.0
C_decay_0_97,20,4.6047189442711186e-06,1.542343535222455e-07,3.416017095332039e-06,2.135010684582524e-06,5.5510277799145635e-06,1.5423435352224551e-10,2.7784828258348107e-05,1.0155746724185683e-08,0.0
C_decay_0_97,21,4.758953297793364e-06,1.4961032716787695e-07,3.458012595266532e-06,2.161257872041583e-06,5.6192704673081144e-06,1.4961032716787695e-10,2.6624510786281318e-05,1.0378223765101479e-08,0.0
C_decay_0_97,22,4.908563624961241e-06,1.4512505438233218e-07,3.495812486785281e-06,2.1848828042408e-06,5.6806952910260815e-06,1.4512505438233218e-10,2.5547058405260603e-05,1.058925891598732e-08,0.0
C_decay_0_97,23,5.053688679343573e-06,1.4077436927736864e-07,3.529836373734846e-06,2.206147733584279e-06,5.7359841073191254e-06,1.4077436927736866e-10,2.4542322057297948e-05,1.0789672786662695e-08,0.0
C_decay_0_97,24,5.194463048620942e-06,1.3655423126972344e-07,3.5604618952722334e-06,2.2252886845451455e-06,5.785750579817379e-06,1.3655423126972344e-10,2.3601817842972696e-05,1.0980213628438322e-08,0.0
C_decay_0_97,25,5.331017279890665e-06,1.3246072128910265e-07,3.5880289227646055e-06,2.2425180767278788e-06,5.830546999492485e-06,1.3246072128910265e-10,2.2718403830829696e-05,1.1161564279383148e-08,0.0
C_decay_0_97,26,5.463478001179768e-06,1.2849003810326537e-07,3.612843336955946e-06,2.2580270855974662e-06,5.870870422553412e-06,1.2849003810326538e-10,2.1886028621865125e-05,1.133434842373318e-08,0.0
C_decay_0_97,27,5.591968039283033e-06,1.2463849475625444e-07,3.6351804273782737e-06,2.2719877671114206e-06,5.907168194489694e-06,1.2463849475625444e-10,2.1099533761797967e-05,1.1499136233772732e-08,0.0
C_decay_0_97,28,5.716606534039288e-06,1.2090251511618062e-07,3.655287951786833e-06,2.2845549698667706e-06,5.939842921653604e-06,1.2090251511618062e-10,2.0354497031467347e-05,1.1656449455692894e-08,0.0
C_decay_0_97,29,5.837509049155468e-06,1.1727863052895207e-07,3.6733888896203636e-06,2.2958680560127284e-06,5.969256945633092e-06,1.1727863052895207e-10,1.964710710178914e-05,1.1806765994788558e-08,0.0
C_decay_0_97,30,5.9547876796844204e-06,1.1376347657454895e-07,3.6896839200870717e-06,2.3060524500544197e-06,5.995736370141491e-06,1.1376347657454896e-10,1.8974062492321405e-05,1.195052404982591e-08,0.0
C_decay_0_97,31,6.068551156258969e-06,1.1035378992256098e-07,3.7043536524165535e-06,2.3152210327603463e-06,6.0195746851769e-06,1.1035378992256098e-10,1.833248953523333e-05,1.2088125841435872e-08,0.0
C_decay_0_97,32,6.17890494618153e-06,1.0704640528376756e-07,3.7175606330636524e-06,2.323475395664783e-06,6.041036028728436e-06,1.0704640528376756e-10,1.7719875328454137e-05,1.2219940974909967e-08,0.0
C_decay_0_97,33,6.285951351465298e-06,1.0383825245479996e-07,3.729451152171297e-06,2.33090697010706e-06,6.060358122278357e-06,1.0383825245479997e-10,1.7134012604483276e-05,1.2346309473743656e-08,0.0
C_decay_0_97,34,6.389789603920098e-06,1.0072635345280426e-07,3.7401568693685363e-06,2.3375980433553346e-06,6.077754912723871e-06,1.0072635345280426e-10,1.6572954141657163e-05,1.2467544516643966e-08,0.0
C_decay_0_97,35,6.490515957372902e-06,9.770781973742479e-08,3.7497962769720577e-06,2.3436226731075366e-06,6.093418950079594e-06,9.770781973742479e-11,1.6034974870084797e-05,1.2583934907452496e-08,0.0
C_decay_0_97,36,6.588223777110327e-06,9.47798495171928e-08,3.7584760168525555e-06,2.3490475105328465e-06,6.1075235273854016e-06,9.47798495171928e-11,1.551854022210661e-05,1.2695747304495727e-08,0.0
C_decay_0_97,37,6.68300362662752e-06,9.193972513778253e-08,3.7662920656009184e-06,2.3539325410005737e-06,6.120224606601492e-06,9.193972513778253e-11,1.5022279580820134e-05,1.2803228233229009e-08,0.0
C_decay_0_97,38,6.774943351765302e-06,8.918481054958006e-08,3.7733308011656574e-06,2.3583317507285357e-06,6.1316625518941935e-06,8.918481054958006e-11,1.4544963913910931e-05,1.2906605903659493e-08,0.0
C_decay_0_97,39,6.864128162314882e-06,8.651254885200517e-08,3.779669962815622e-06,2.362293726759764e-06,6.141963689575386e-06,8.651254885200517e-11,1.408548686128525e-05,1.3006091851890271e-08,0.0
C_decay_0_97,40,6.9506407111668875e-06,8.392045991229424e-08,3.7853795150966042e-06,2.3658621969353774e-06,6.151241712031982e-06,8.392045991229425e-11,1.3642848686655206e-05,1.3101882423198867e-08,0.0
C_decay_0_97,41,7.034561171079182e-06,8.140613805637492e-08,3.790522425383402e-06,2.3690765158646266e-06,6.159598941248029e-06,8.140613805637492e-11,1.3216142614616528e-05,1.3194160112327212e-08,0.0
C_decay_0_97,42,7.115967309135557e-06,7.896724982963965e-08,3.7951553636687038e-06,2.37197210229294e-06,6.167127465961644e-06,7.896724982963966e-11,1.280454316300178e-05,1.3283094775097201e-08,0.0
C_decay_0_97,43,7.194934558965196e-06,7.660153182542512e-08,3.7993293323658974e-06,2.374580832728686e-06,6.173910165094583e-06,7.660153182542511e-11,1.2407296150583298e-05,1.3368844724059783e-08,0.0
C_decay_0_97,44,7.271536090790621e-06,7.430678857913922e-08,3.803090233125134e-06,2.3769313957032086e-06,6.1800216288283425e-06,7.430678857913922e-11,1.2023710116565868e-05,1.345155771961896e-08,0.0
C_decay_0_97,45,7.345842879369761e-06,7.208089052602233e-08,3.806479376961971e-06,2.3790496106012326e-06,6.185528987563204e-06,7.208089052602233e-11,1.1653148933737142e-05,1.3531371866932965e-08,0.0
C_decay_0_97,46,7.417923769895783e-06,6.992177202053944e-08,3.8095339433679076e-06,2.3809587146049426e-06,6.19049265797285e-06,6.992177202053944e-11,1.1295025433958944e-05,1.3608416427868635e-08,0.0
R_decay_0_78,1,5.612790126948601e-07,2.474312511753029e-07,6.827024043319861e-07,4.2668900270749125e-07,1.1093914070394774e-06,2.474312511753029e-10,0.00022303332223890042,1.6706704197343373e-09,0.0
R_decay_0_78,2,8.08710263870163e-07,2.276375472037114e-07,9.16049522093399e-07,5.725309513083744e-07,1.4885804734017734e-06,2.276375472037114e-10,0.00015292256701681937,2.2972907372719364e-09,0.0
R_decay_0_78,3,1.0363478110738744e-06,2.094274976963991e-07,1.098061318459933e-06,6.862883240374581e-07,1.7843496424973912e-06,2.094274976963991e-10,0.00011736909219388335,2.820697453571266e-09,0.0
R_decay_0_78,4,1.2457753087702736e-06,1.9267437548745452e-07,1.2400317716267374e-06,7.750198572667109e-07,2.0150516288934485e-06,1.9267437548745453e-10,9.561758752219183e-05,3.260826937663722e-09,0.0
R_decay_0_78,5,1.438449684257728e-06,1.7726159924365762e-07,1.3507701389169233e-06,8.442313368230769e-07,2.1950014757400003e-06,1.7726159924365762e-10,8.075693852729528e-05,3.633451159997727e-09,0.0
R_decay_0_78,6,1.6157112835013857e-06,1.630819201126679e-07,1.4371476054225697e-06,8.982172533891059e-07,2.3353648588116756e-06,1.630819201126679e-10,6.983145245906044e-05,3.9510761423130614e-09,0.0
R_decay_0_78,7,1.7787932036140536e-06,1.5003667381010526e-07,1.5045236677337302e-06,9.403272923335815e-07,2.4448509600673117e-06,1.5003667381010527e-10,6.136843360217527e-05,4.223644163681365e-09,0.0
R_decay_0_78,8,1.928829877424159e-06,1.3803509282885352e-07,1.557078711522499e-06,9.731741947015616e-07,2.5302529062240608e-06,1.3803509282885351e-10,5.455387186368086e-05,4.45908278364822e-09,0.0
R_decay_0_78,9,2.0668649702530124e-06,1.2699367389718962e-07,1.5980734207134452e-06,9.987958879459032e-07,2.5968693086593484e-06,1.2699367389718963e-10,4.8902604945780264e-05,4.6637342789123605e-09,0.0
R_decay_0_78,10,2.193858644150202e-06,1.1683559621619822e-07,1.6300511155873556e-06,1.0187819472420974e-06,2.648833062829453e-06,1.1683559621619823e-10,4.410832749550317e-05,4.842691706979655e-09,0.0
R_decay_0_78,11,2.3106942403664002e-06,1.0749018637543169e-07,1.6549955756837946e-06,1.0343722348023713e-06,2.689367810486166e-06,1.0749018637543169e-10,3.996857029236188e-05,5.000062050852567e-09,0.0
R_decay_0_78,12,2.418184426741832e-06,9.889242618235631e-08,1.674454141026784e-06,1.04653383814174e-06,2.720987979168524e-06,9.889242618235632e-11,3.634430836867414e-05,5.139172405910356e-09,0.0
R_decay_0_78,13,2.5170768529241882e-06,9.098249994893588e-08,1.6896337305829662e-06,1.056021081614354e-06,2.7456548121973204e-06,9.098249994893588e-11,3.313690400728979e-05,5.262731665121508e-09,0.0
R_decay_0_78,14,2.608059352873124e-06,8.370537806040612e-08,1.7014757362706402e-06,1.06342233516915e-06,2.7648980714397904e-06,8.370537806040611e-11,3.027430881631649e-05,5.372957424312915e-09,0.0
R_decay_0_78,15,2.6917647309335302e-06,7.701043390934906e-08,1.7107144399839145e-06,1.0691965249899464e-06,2.7799109649738607e-06,7.701043390934906e-11,2.7702482158479196e-05,5.471675695907391e-09,0.0
R_decay_0_78,16,2.7687751648428793e-06,7.085109151466502e-08,1.717922578635304e-06,1.0737016116470648e-06,2.791624190282369e-06,7.085109151466501e-11,2.5379881633529808e-05,5.560399355125249e-09,0.0
R_decay_0_78,17,2.8396262563575443e-06,6.518450136190523e-08,1.7235468847046854e-06,1.077216802940428e-06,2.8007636876451134e-06,6.518450136190523e-11,2.3273831223052044e-05,5.640389944002658e-09,0.0
R_decay_0_78,18,2.9048107577194495e-06,5.99712422005227e-08,1.7279358077237627e-06,1.0799598798273516e-06,2.8078956875511143e-06,5.99712422005227e-11,2.135807340223033e-05,5.712706445270566e-09,0.0
R_decay_0_78,19,2.9647819999199722e-06,5.517504671609756e-08,1.7313611369218532e-06,1.0821007105761582e-06,2.8134618474980114e-06,5.517504671609756e-11,1.9611087587757508e-05,5.778243847417984e-09,0.0
R_decay_0_78,20,3.0199570466360698e-06,5.0762549163487094e-08,1.734034866802166e-06,1.0837717917513533e-06,2.8178066585535193e-06,5.0762549163487097e-11,1.8014915611543528e-05,5.837763705189589e-09,0.0
R_decay_0_78,21,3.070719595799557e-06,4.670305320074244e-08,1.736122352223108e-06,1.0850764701394421e-06,2.82119882236255e-06,4.670305320074244e-11,1.6554328901084686e-05,5.891918418162109e-09,0.0
R_decay_0_78,22,3.1174226490002993e-06,4.296831830522526e-08,1.737752569308519e-06,1.086095355817824e-06,2.8238479251263427e-06,4.296831830522526e-11,1.5216229572030795e-05,5.941270574126642e-09,0.0
R_decay_0_78,23,3.1603909673055246e-06,3.9532363283418474e-08,1.7390261189161712e-06,1.086891324322607e-06,2.825917443238778e-06,3.9532363283418475e-11,1.398921379603734e-05,5.986308410544305e-09,0.0
R_decay_0_78,24,3.199923330588943e-06,3.6371285505359024e-08,1.740021469310847e-06,1.0875134183192793e-06,2.827534887630126e-06,3.637128550535903e-11,1.2863249067049817e-05,6.027458218219071e-09,0.0
R_decay_0_78,25,3.236294616094302e-06,3.346309460454852e-08,1.7407998254241058e-06,1.087999890890066e-06,2.828799716314172e-06,3.346309460454852e-11,1.182943225409743e-05,6.065094332408475e-09,0.0
R_decay_0_78,26,3.2697577106988506e-06,3.0787559485193667e-08,1.7414089268572286e-06,1.0883805792857675e-06,2.8297895061429964e-06,3.078755948519367e-11,1.087980551852322e-05,6.099547216841845e-09,0.0
R_decay_0_78,27,3.3005452701840443e-06,2.832606757140929e-08,1.7418860103081617e-06,1.0886787564426008e-06,2.8305647667507625e-06,2.832606757140929e-11,1.0007214074075084e-05,6.1311100369348054e-09,0.0
R_decay_0_78,28,3.3288713377554536e-06,2.6061495318532067e-08,1.7422601202525725e-06,1.0889125751578582e-06,2.8311726954104305e-06,2.6061495318532066e-11,9.205194497947774e-06,6.160044033165884e-09,0.0
R_decay_0_78,29,3.3549328330739856e-06,2.397808908506046e-08,1.7425539112657336e-06,1.0890961945410836e-06,2.831650105806817e-06,2.3978089085060462e-11,8.467885575230145e-06,6.186582938880805e-09,0.0
R_decay_0_78,30,3.378910922159046e-06,2.2061355536077695e-08,1.7427850538263162e-06,1.0892406586414474e-06,2.8320257124677636e-06,2.2061355536077696e-11,7.78995594529893e-06,6.21093663462681e-09,0.0
R_decay_0_78,31,3.4009722776951238e-06,2.02979608153635e-08,1.7429673308376738e-06,1.0893545817735458e-06,2.8323219126112197e-06,2.02979608153635e-11,7.166544425965366e-06,6.233294190306343e-09,0.0
R_decay_0_78,32,3.4212702385104873e-06,1.8675637784457496e-08,1.7431114929100226e-06,1.0894446830687641e-06,2.832556175978787e-06,1.8675637784457495e-11,6.593210028042656e-06,6.253826414489275e-09,0.0
R_decay_0_78,33,3.4399458762949448e-06,1.7183100683190644e-08,1.7432259254770858e-06,1.0895162034231786e-06,2.8327421289002642e-06,1.7183100683190645e-11,6.0658894813914885e-06,6.272688005195209e-09,0.0
R_decay_0_78,34,3.4571289769781354e-06,1.5809966617827383e-08,1.7433171691443897e-06,1.089573230715244e-06,2.8328903998596334e-06,1.5809966617827382e-11,5.580860670999043e-06,6.290019376837767e-09,0.0
R_decay_0_78,35,3.472938943595963e-06,1.4546683330504705e-08,1.7433903255588385e-06,1.0896189534742744e-06,2.833009279033113e-06,1.4546683330504706e-11,5.1347107961006715e-06,6.305948222629077e-09,0.0
R_decay_0_78,36,3.4874856269264675e-06,1.3384462747385362e-08,1.743449373985348e-06,1.0896558587408426e-06,2.8331052327261905e-06,1.3384462747385362e-11,4.724308364114664e-06,6.320590859652657e-09,0.0
R_decay_0_78,37,3.500870089673853e-06,1.2315219843187962e-08,1.7434974182353429e-06,1.089685886397089e-06,2.833183304632432e-06,1.2315219843187962e-11,4.346778347539959e-06,6.334053394306282e-09,0.0
R_decay_0_78,38,3.513185309517041e-06,1.1331516396706375e-08,1.7435368792699974e-06,1.0897105495437483e-06,2.8332474288137457e-06,1.1331516396706376e-11,3.999479989451813e-06,6.346432738330787e-09,0.0
R_decay_0_78,39,3.524516825913747e-06,1.042650924603243e-08,1.7435696454299863e-06,1.0897310283937412e-06,2.8333006738237275e-06,1.0426509246032429e-11,3.679986858564207e-06,6.3578174997374755e-09,0.0
R_decay_0_78,40,3.5349433351597796e-06,9.593902683437416e-09,1.7435971896140885e-06,1.0897482435088054e-06,2.833345433122894e-06,9.593902683437416e-12,3.3860688397824766e-06,6.368288768282673e-09,0.0
R_decay_0_78,41,3.544537237843217e-06,8.827904658786466e-09,1.7436206606780297e-06,1.0897629129237691e-06,2.8333835736017986e-06,8.827904658786467e-12,3.115675809316714e-06,6.377920811445016e-09,0.0
R_decay_0_78,42,3.5533651425020035e-06,8.123186486686933e-09,1.7436409547252146e-06,1.0897755967032592e-06,2.8334165514284736e-06,8.123186486686933e-12,2.866922790647076e-06,6.386781693930476e-09,0.0
R_decay_0_78,43,3.5614883289886904e-06,7.474845777156593e-09,1.7436587707132103e-06,1.0897867316957566e-06,2.833445502408967e-06,7.474845777156593e-12,2.6380764234927245e-06,6.3949338313976576e-09,0.0
R_decay_0_78,44,3.568963174765847e-06,6.878372331862205e-09,1.743674653826589e-06,1.089796658641618e-06,2.833471312468207e-06,6.878372331862205e-12,2.427542605282468e-06,6.402434487234056e-09,0.0
R_decay_0_78,45,3.5758415470977092e-06,6.329616768666003e-09,1.743689029307565e-06,1.089805643317228e-06,2.833494672624793e-06,6.3296167686660026e-12,2.233855185901089e-06,6.409336219722501e-09,0.0
R_decay_0_78,46,3.5821711638663752e-06,5.824761656273869e-09,1.7437022288437657e-06,1.0898138930273535e-06,2.833516121871119e-06,5.824761656273869e-12,2.055665613233735e-06,6.415687285737496e-09,0.0
R_decay_0_96,1,5.612790126948601e-07,2.4743131120701573e-07,7.51739681890991e-07,4.6983730118186955e-07,1.2215769830728604e-06,2.4743131120701573e-10,0.00020255073125608966,1.7828559957677208e-09,0.0
R_decay_0_96,2,8.087103239018758e-07,2.2763776691971614e-07,1.1052118200914087e-06,6.907573875571307e-07,1.7959692076485393e-06,2.2763776691971616e-10,0.0001267492593694087,2.6046795315504164e-09,0.0
R_decay_0_96,3,1.036348090821592e-06,2.0942800112205183e-07,1.4445463330831608e-06,9.028414581769754e-07,2.347387791260136e-06,2.0942800112205184e-10,8.921747054398101e-05,3.3837358820817286e-09,0.0
R_decay_0_96,4,1.2457760919436438e-06,1.9267529974213866e-07,1.7703091128446005e-06,1.1064431955278754e-06,2.876752308372476e-06,1.9267529974213867e-10,6.697667337621598e-05,4.12252840031612e-09,0.0
R_decay_0_96,5,1.4384513916857825e-06,1.7726308630526042e-07,2.0830434002029064e-06,1.3019021251268169e-06,3.384945525329723e-06,1.772630863052604e-10,5.236807652554274e-05,4.823396917015507e-09,0.0
R_decay_0_96,6,1.6157144779910429e-06,1.6308411090727682e-07,2.383270691498631e-06,1.4895441821866448e-06,3.8728148736852756e-06,1.6308411090727682e-10,4.2109968130774603e-05,5.488529351676318e-09,0.0
R_decay_0_96,7,1.7787985888983197e-06,1.500397040709122e-07,2.6714916089589737e-06,1.6696822555993586e-06,4.341173864558332e-06,1.500397040709122e-10,3.4562012200397585e-05,6.11997245345665e-09,0.0
R_decay_0_96,8,1.928838292969232e-06,1.3803909029425535e-07,2.9481867362324196e-06,1.8426167101452623e-06,4.790803446377682e-06,1.3803909029425534e-10,2.8813348708477377e-05,6.7196417393469145e-09,0.0
R_decay_0_96,9,2.0668773832634873e-06,1.2699875651607002e-07,3.213817420479236e-06,2.0086358877995224e-06,5.2224533082787585e-06,1.2699875651607003e-10,2.431783474535781e-05,7.2893306915422465e-09,0.0
R_decay_0_96,10,2.1938761397795573e-06,1.1684187110455292e-07,3.4688265423564853e-06,2.1680165889728036e-06,5.636843131329289e-06,1.1684187110455292e-10,2.0728246002652038e-05,7.830719271108848e-09,0.0
R_decay_0_96,11,2.31071801088411e-06,1.0749774932761246e-07,3.7136392551826623e-06,2.3210245344891634e-06,6.034663789671826e-06,1.0749774932761246e-10,1.7813378354497916e-05,8.345381800555935e-09,0.0
R_decay_0_96,12,2.4182157602117226e-06,9.890136158615377e-08,3.948663694515579e-06,2.467914809072236e-06,6.416578503587815e-06,9.890136158615377e-11,1.5413410983883905e-05,8.834794263799537e-09,0.0
R_decay_0_96,13,2.5171171217978764e-06,9.099288098927865e-08,4.174291659327811e-06,2.6089322870798816e-06,6.783223946407693e-06,9.099288098927864e-11,1.3414400248051266e-05,9.30034106820557e-09,0.0
R_decay_0_96,14,2.608110002787155e-06,8.371726712403167e-08,4.390899265916537e-06,2.7443120411978352e-06,7.135211307114373e-06,8.371726712403166e-11,1.1732976574997702e-05,9.743321309901527e-09,0.0
R_decay_0_96,15,2.6918272699111867e-06,7.702388312412229e-08,4.598847575639144e-06,2.874279734774465e-06,7.473127310413609e-06,7.70238831241223e-11,1.0306780538422183e-05,1.0164954580324799e-08,0.0
R_decay_0_96,16,2.768851153035309e-06,7.086614337364882e-08,4.798483197522306e-06,2.9990519984514397e-06,7.797535195973746e-06,7.086614337364882e-11,9.08827489618008e-06,1.0566386349009053e-08,0.0
R_decay_0_96,17,2.839717296408958e-06,6.520118939504537e-08,4.990138866750226e-06,3.1188367917188903e-06,8.108975658469117e-06,6.520118939504537e-11,8.04061969614478e-06,1.0948692954878076e-08,0.0
R_decay_0_96,18,2.904918485804003e-06,5.998959166645812e-08,5.174133999997602e-06,3.233833749998499e-06,8.407967749996102e-06,5.998959166645812e-11,7.134850352689083e-06,1.1312886235800103e-08,0.0
R_decay_0_96,19,2.9649080774704613e-06,5.5195075294197776e-08,5.350775228534078e-06,3.3442345178337966e-06,8.695009746367874e-06,5.519507529419778e-11,6.3479026365961414e-06,1.1659917823838338e-08,0.0
R_decay_0_96,20,3.020103152764659e-06,5.07842676318419e-08,5.520356909990002e-06,3.45022306874375e-06,8.970579978733751e-06,5.0784267631841904e-11,5.661202258074109e-06,1.1990683131498415e-08,0.0
R_decay_0_96,21,3.070887420396501e-06,4.672646609022255e-08,5.6831616196375565e-06,3.551976012273471e-06,9.235137631911028e-06,4.672646609022255e-11,5.059639385206806e-06,1.2306025052307531e-08,0.0
R_decay_0_96,22,3.1176138864867235e-06,4.2993424523039585e-08,5.839460622007243e-06,3.649662888754526e-06,9.489123510761768e-06,4.2993424523039585e-11,4.530810930459494e-06,1.2606737397248497e-08,0.0
R_decay_0_96,23,3.160607311009763e-06,3.955915670199727e-08,5.989514323626827e-06,3.7434464522667654e-06,9.732960775893591e-06,3.955915670199727e-11,4.0644524942478576e-06,1.2893568086903358e-08,0.0
R_decay_0_96,24,3.2001664677117604e-06,3.639975551432883e-08,6.133572707638358e-06,3.833482942273974e-06,9.967055649912333e-06,3.6399755514328826e-11,3.6520068506539327e-06,1.3167222117624091e-08,0.0
R_decay_0_96,25,3.2365662232260892e-06,3.349322662485363e-08,6.271875751018652e-06,3.9199223443866546e-06,1.0191798095405306e-05,3.349322662485363e-11,3.2862922039196537e-06,1.3428364318631394e-08,0.0
R_decay_0_96,26,3.270059449850943e-06,3.081933544544248e-08,6.40465382509952e-06,4.0029086406872e-06,1.0407562465786719e-05,3.081933544544248e-11,2.9612443400418075e-06,1.3677621915637665e-08,0.0
R_decay_0_96,27,3.3008787852963853e-06,2.835946634724258e-08,6.532128080056317e-06,4.082580050035197e-06,1.0614708130091513e-05,2.835946634724258e-11,2.6717141912594522e-06,1.3915586915387896e-08,0.0
R_decay_0_96,28,3.329238251643628e-06,2.609649313624603e-08,6.6545108140063545e-06,4.159069258753969e-06,1.0813580072760323e-05,2.609649313624603e-11,2.413307430162167e-06,1.4142818324403954e-08,0.0
R_decay_0_96,29,3.355334744779874e-06,2.4014659891129933e-08,6.77200582733337e-06,4.232503642083354e-06,1.1004509469416724e-05,2.4014659891129934e-11,2.182256279379874e-06,1.4359844214196599e-08,0.0
R_decay_0_96,30,3.379349404671004e-06,2.2099471334344716e-08,6.884808762829289e-06,4.3030054767683056e-06,1.1187814239597594e-05,2.2099471334344715e-11,1.9753162557997204e-06,1.4567163644268599e-08,0.0
R_decay_0_96,31,3.4014488760053486e-06,2.0337591973822906e-08,6.993107432221045e-06,4.370692145138153e-06,1.1363799577359197e-05,2.0337591973822907e-11,1.7896823888325833e-06,1.476524845336455e-08,0.0
R_decay_0_96,32,3.4217864679791715e-06,1.871675331360635e-08,7.097082129627382e-06,4.435676331017112e-06,1.1532758460644493e-05,1.871675331360635e-11,1.622920776280646e-06,1.4954544928623665e-08,0.0
R_decay_0_96,33,3.440503221292778e-06,1.7225668487881195e-08,7.196905932468831e-06,4.4980662077930195e-06,1.169497214026185e-05,1.7225668487881195e-11,1.472912314906593e-06,1.5135475361554626e-08,0.0
