N,seed,parent_ok,M,parent_residual,sigma_max,sigma_from_flow,rel_equilibrium_defect,max_Re,a_flow_per_tau,n_unstable,unstable_freq,n_zero_freq,n_distinct_freq,freq_min,freq_max,freqs
9,3,True,36,1.171913828500228e-11,0.4250428456226278,0.4250428456226275,2.7571686524131533e-11,6.59526035666931e-10,1.319052071333862e-09,0,,44,14,7.303200555009556e-07,0.850085691248101,0.000001;0.005497;0.017371;0.031963;0.046651;0.274531;0.281728;0.332720;0.337846;0.351788;0.356982;0.362401;0.371040;0.850086
9,4,True,36,3.0396707267965132e-12,0.4187401702460368,0.4187401702460368,7.259085469858943e-12,1.0617886870949167e-06,2.1235773741898334e-06,1,0.0,46,13,0.006911803217955785,0.8374803404893726,0.006912;0.020789;0.041317;0.059502;0.270752;0.296103;0.314328;0.326715;0.341142;0.354118;0.359014;0.365777;0.837480
10,0,True,45,4.6571130364497224e-12,0.4414879934095264,0.4414879934095261,1.0548674752282014e-11,1.7819292830644567e-10,3.5638585661289134e-10,0,,58,15,4.2735781468921276e-07,0.8829759868222289,0.000000;0.012094;0.023031;0.033387;0.058887;0.297669;0.325740;0.341240;0.358866;0.370503;0.373762;0.378404;0.388182;0.391691;0.882976
10,1,True,45,1.5468697707508425e-11,0.4417262937959948,0.44172629379599515,3.50187388463884e-11,1.0051781198670325e-06,2.010356239734065e-06,1,0.0,60,15,1.521480893727881e-06,0.8834525875914321,0.000002;0.002768;0.027186;0.039785;0.118708;0.235710;0.335423;0.351420;0.360481;0.373291;0.376438;0.385034;0.387167;0.391920;0.883453
10,2,True,45,9.887202859138572e-12,0.4290668661884021,0.4290668661884021,2.3043504729183248e-11,6.838290679486379e-07,1.3676581358972759e-06,0,,60,15,1.3345817944402796e-06,0.8581337323765834,0.000001;0.006381;0.024046;0.045424;0.094392;0.273538;0.301604;0.337960;0.343208;0.361908;0.367134;0.375751;0.379557;0.379717;0.858134
10,3,True,45,1.2128162439397445e-11,0.4344349573360378,0.4344349573360376,2.7917096438369554e-11,1.960248631214578e-07,3.920497262429156e-07,0,,58,15,6.331142541061423e-07,0.8688699146711324,0.000001;0.009026;0.016245;0.035127;0.170779;0.203448;0.327448;0.336122;0.358255;0.367057;0.372849;0.378890;0.381633;0.385709;0.868870
10,4,True,45,2.095146429757379e-12,0.427361113161293,0.42736111316129277,4.90252188400998e-12,1.0601960710966349e-06,2.1203921421932698e-06,1,0.0,60,15,6.766111867288993e-07,0.8547222263213156,0.000001;0.001114;0.013749;0.039250;0.083364;0.269362;0.295857;0.339830;0.348109;0.355473;0.369103;0.376834;0.376897;0.379131;0.854722
11,0,True,55,2.048079656818064e-12,0.44312825531732714,0.44312825531732686,4.621866668963727e-12,1.703284547772906e-09,3.406569095545812e-09,0,,76,17,4.659568518769324e-07,0.8862565106345353,0.000000;0.003454;0.007234;0.023110;0.041934;0.051590;0.319324;0.322828;0.355858;0.359950;0.375164;0.382715;0.387314;0.391717;0.397075;0.398490;0.886257
11,1,True,55,1.0412724404769308e-12,0.43119412111796024,0.43119412111796046,2.414856985239617e-12,6.585416853978787e-07,1.3170833707957575e-06,0,,78,16,0.002017245602628386,0.8623882422354808,0.002017;0.006386;0.019356;0.029968;0.087766;0.261804;0.325253;0.347959;0.361650;0.366235;0.377639;0.379642;0.382798;0.386099;0.387050;0.862388
11,2,True,55,1.3728508141679948e-11,0.4311519737916668,0.4311519737916668,3.184146309688921e-11,1.0089175845044534e-09,2.017835169008907e-09,0,,76,17,9.58481288367568e-07,0.8623039475841168,0.000001;0.001451;0.008192;0.009627;0.035621;0.064805;0.268723;0.335566;0.338495;0.361043;0.368720;0.372641;0.382404;0.383470;0.384663;0.387044;0.862304
11,3,True,55,3.313575723155163e-12,0.436331081025278,0.4363310810252779,7.594176449819996e-12,2.496109641243803e-07,4.992219282487606e-07,0,,78,16,0.0013542357430312384,0.8726621620530441,0.001354;0.003046;0.016373;0.046390;0.062416;0.288410;0.314229;0.349812;0.369913;0.371668;0.380583;0.381355;0.388670;0.390074;0.391928;0.872662
11,4,True,55,1.0999478049645224e-11,0.4426187144548629,0.44261871445486256,2.4850910703825186e-11,8.519513771259743e-07,1.7039027542519486e-06,0,,76,17,1.1512024127157913e-06,0.8852374289110333,0.000001;0.000009;0.004426;0.018086;0.043576;0.076239;0.279022;0.316398;0.356560;0.372441;0.378579;0.388514;0.392740;0.394754;0.395890;0.398048;0.885237
12,0,True,66,8.146813264348911e-12,0.44122747241085447,0.44122747241085464,1.8463976977279683e-11,1.1556190613179126e-06,2.3112381226358253e-06,1,0.0,96,18,8.502757746403273e-07,0.8824549448199914,0.000001;0.005387;0.013901;0.020406;0.035003;0.088246;0.291863;0.347936;0.361733;0.369229;0.378632;0.380370;0.386203;0.397234;0.398963;0.399744;0.400525;0.882455
12,1,True,66,6.105431496031595e-12,0.448770445114132,0.4487704451141325,1.3604793584346859e-11,5.659005245746645e-07,1.131801049149329e-06,0,,96,18,1.1296408470521863e-06,0.8975408902287147,0.000001;0.006923;0.013017;0.021884;0.028397;0.113127;0.275842;0.362503;0.363672;0.377748;0.384933;0.390743;0.395829;0.402601;0.403779;0.406684;0.407874;0.897541
12,2,True,66,1.3346568054014761e-12,0.4299030969680808,0.4299030969680808,3.104553454939757e-12,6.468994440814166e-07,1.2937988881628332e-06,0,,96,18,6.49285166467703e-07,0.8598061939362396,0.000001;0.001511;0.014594;0.019044;0.039314;0.090638;0.275606;0.333484;0.350629;0.358511;0.372008;0.373005;0.382585;0.385705;0.389761;0.390314;0.390682;0.859806
12,3,True,66,5.098204004977743e-12,0.4486232281963765,0.4486232281963761,1.136411061876987e-11,1.190094009525929e-06,2.380188019051858e-06,1,0.0,96,18,1.7754026699605002e-06,0.8972464563941823,0.000002;0.006497;0.015558;0.030387;0.050047;0.069683;0.315548;0.343967;0.359524;0.376913;0.382915;0.392540;0.394789;0.401504;0.403257;0.407100;0.407685;0.897246
12,4,True,66,4.1112655988207527e-13,0.4484223799319432,0.44842237993194284,9.168295442958077e-13,9.116600133064528e-11,1.8233200266129056e-10,0,,94,18,8.242098398255755e-07,0.896844759862711,0.000001;0.008218;0.012697;0.018467;0.032198;0.070047;0.321189;0.343899;0.361566;0.371313;0.386692;0.388868;0.395036;0.399019;0.405286;0.407038;0.407627;0.896845
13,0,True,78,1.4472124168149433e-11,0.4500381432494793,0.4500381432494794,3.2157548909389746e-11,2.3890894674162075e-09,4.778178934832415e-09,0,,116,20,1.1577504427749303e-06,0.9000762865000395,0.000001;0.000634;0.004363;0.006998;0.011606;0.015982;0.039056;0.335537;0.355833;0.357796;0.378544;0.391179;0.394954;0.402489;0.405216;0.408043;0.410890;0.411887;0.412458;0.900076
13,1,True,78,1.8910800950236914e-11,0.4557650504336439,0.45576505043364424,4.149243492285579e-11,4.403747006692828e-09,8.807494013385656e-09,0,,116,20,1.1379634912399894e-06,0.9115301008686543,0.000001;0.000943;0.002667;0.009965;0.015732;0.021985;0.036440;0.359902;0.362491;0.370493;0.374724;0.376630;0.401745;0.407548;0.408978;0.413084;0.416277;0.416990;0.417499;0.911530
13,2,True,78,2.440193789932467e-13,0.44688456304030105,0.44688456304030116,5.460474079262585e-13,1.7320813813791601e-09,3.4641627627583202e-09,0,,116,20,7.880836259554671e-07,0.8937691260816247,0.000001;0.000542;0.004114;0.014749;0.018644;0.025390;0.040169;0.330367;0.352136;0.366830;0.380797;0.390715;0.391543;0.395072;0.395952;0.403909;0.406646;0.408786;0.409103;0.893769
13,3,True,78,1.680201543308102e-11,0.4495542756570143,0.44955427565701417,3.7374835509998234e-11,1.8406769821855403e-09,3.6813539643710806e-09,0,,114,21,2.3553988328709908e-09,0.8991085513144053,0.000000;0.000001;0.000665;0.001385;0.006965;0.010734;0.015234;0.024974;0.354486;0.361116;0.369465;0.378953;0.380455;0.387079;0.393615;0.404230;0.405375;0.407366;0.411028;0.411780;0.899109
13,4,True,78,1.853655496832841e-12,0.44946179092561145,0.4494617909256116,4.124166894171705e-12,1.0348596374124865e-06,2.069719274824973e-06,1,0.0,118,19,0.0007926502477636749,0.8989235818518435,0.000793;0.006584;0.010031;0.016245;0.035600;0.040132;0.345812;0.353584;0.366963;0.380475;0.384915;0.387842;0.395644;0.404146;0.406839;0.409619;0.411632;0.411863;0.898924
14,0,True,91,4.675972782182896e-14,0.44794101959724364,0.4479410195972432,1.0438813543772348e-13,7.542776715943846e-07,1.5085553431887693e-06,0,,140,21,8.560621523206809e-07,0.8958820391951223,0.000001;0.001517;0.005458;0.014153;0.021095;0.025077;0.047033;0.352428;0.359875;0.371417;0.380508;0.389331;0.394464;0.398186;0.404097;0.405621;0.406994;0.408876;0.411456;0.413361;0.895882
