N,seed,M,parent_residual,sigma_max,phi,relative_equilibrium_defect,mu_G_max,lambda_G,lambda_f_pred,n_unstable,mu_top4,lambda_DF_max
8,2,28,4.0017113190506705e-12,0.41170072103039995,0.020861225172043883,2.0281624576293497e-13,1.0003451174382376,0.00034505789891284315,0.0006901157978256863,10,"1.000345, 1.000345, 1.000141, 1.000141",4.867357419016579e-05
8,3,28,1.1890214873035095e-11,0.40916509453745387,0.020732742824261855,6.023917017650827e-13,1.0001441270313813,0.00014411664607860504,0.0002882332921572101,11,"1.000144, 1.000144, 1.000132, 1.000132",4.886323805355153e-05
8,4,28,7.813149457366806e-12,0.38512613327666534,0.01951466824205498,3.958740441610089e-13,1.0025063314939748,0.002503195883356271,0.005006391766712542,11,"1.002506, 1.002506, 1.000115, 1.000115",4.3942721829866516e-05
9,0,36,6.1130681319692285e-12,0.4067947334785481,0.020612634616374578,3.0993519485335785e-13,1.0003292530005354,0.0003291988086611521,0.0006583976173223042,11,"1.000329, 1.000329, 1.000141, 1.000141",4.985754713910417e-05
9,1,36,1.7673084835555553e-11,0.4256382804247745,0.02156745314304944,8.956157540914327e-13,1.0002996358479537,0.000299590966098234,0.000599181932196468,13,"1.000300, 1.000300, 1.000143, 1.000143",5.584763825630933e-05
9,2,36,7.80363053251142e-12,0.4247542468475297,0.02152265841092357,3.9526651196454424e-13,1.0001794929939576,0.00017947688701750608,0.00035895377403501216,13,"1.000179, 1.000179, 1.000133, 1.000133",5.4741147350341845e-05
9,3,36,1.171913828500228e-11,0.4250428456226278,0.0215372819559507,5.937632267789699e-13,1.000149213913996,0.00014920278270724358,0.00029840556541448716,12,"1.000149, 1.000149, 1.000142, 1.000142",5.475284715862697e-05
9,4,36,3.0396707267965132e-12,0.4187401702460368,0.021217920042062664,1.5405793929587825e-13,1.0001511623135346,0.0001511508896633333,0.0003023017793266666,11,"1.000151, 1.000151, 1.000135, 1.000135",5.1509350767007526e-05
10,0,45,4.6571130364497224e-12,0.4414879934095264,0.02237057156037849,2.359255500911223e-13,1.0001690207532288,0.000169006470830591,0.000338012941661182,14,"1.000169, 1.000169, 1.000145, 1.000145",5.9802051401720216e-05
10,1,45,1.5468697707508425e-11,0.4417262937959948,0.022382646443337803,7.839100656101019e-13,1.000307747126839,0.00030769978240501874,0.0006153995648100375,12,"1.000308, 1.000308, 1.000145, 1.000145",5.9043041276480786e-05
10,2,45,9.887202859138572e-12,0.4290668661884021,0.021741182495423794,5.010486928036029e-13,1.0001959287784399,0.00019590958690351144,0.0003918191738070229,13,"1.000196, 1.000196, 1.000147, 1.000147",5.694021630965756e-05
10,3,45,1.2128162439397445e-11,0.4344349573360378,0.022013188232733717,6.14385860709722e-13,1.0007916769406189,0.0007913637297267183,0.0015827274594534366,15,"1.000792, 1.000792, 1.000139, 1.000139",5.725646117726729e-05
10,4,45,2.095146429757379e-12,0.427361113161293,0.021654750540926908,1.0642499399288377e-13,1.0001856841024672,0.00018566686530801076,0.0003713337306160215,13,"1.000186, 1.000186, 1.000139, 1.000139",5.674672757030943e-05
11,0,55,2.048079656818064e-12,0.44312825531732714,0.022453685024241617,1.0381885991843567e-13,1.000159271568872,0.00015925888650236087,0.00031851777300472174,15,"1.000159, 1.000159, 1.000153, 1.000153",6.05445125835134e-05
11,1,55,1.0412724404769308e-12,0.43119412111796024,0.021848972309278913,5.289560263552547e-14,1.0002090288386958,0.00020900699521196858,0.00041801399042393716,13,"1.000209, 1.000209, 1.000137, 1.000137",5.745797164259147e-05
11,2,55,1.3728508141679948e-11,0.4311519737916668,0.021846836668461933,6.957034759315714e-13,1.0001726899930703,0.00017267508386986478,0.00034535016773972957,17,"1.000173, 1.000173, 1.000139, 1.000139",5.789550008660623e-05
11,3,55,3.313575723155163e-12,0.436331081025278,0.02210926643035337,1.6791274493555074e-13,1.0001709500116083,0.00017093540132010076,0.0003418708026402015,15,"1.000171, 1.000171, 1.000152, 1.000152",5.910878807920862e-05
11,4,55,1.0999478049645224e-11,0.4426187144548629,0.022427866156012184,5.574110331866616e-13,1.000193594219359,0.00019357548241625798,0.00038715096483251597,16,"1.000194, 1.000194, 1.000151, 1.000151",6.155114970512455e-05
12,0,66,8.146813264348911e-12,0.44122747241085447,0.022357370740128068,4.127370140863062e-13,1.0001983253159583,0.00019830565209269123,0.00039661130418538245,16,"1.000198, 1.000198, 1.000144, 1.000144",6.110160998610606e-05
12,1,66,6.105431496031595e-12,0.448770445114132,0.022739579572883372,3.091555833201368e-13,1.000256460712533,0.0002564278321060817,0.0005128556642121633,17,"1.000256, 1.000256, 1.000144, 1.000144",6.274955234765042e-05
12,2,66,1.3346568054014761e-12,0.4299030969680808,0.02178355501920038,6.762744845220866e-14,1.0002010286716279,0.0002010084680720655,0.000402016936144131,18,"1.000201, 1.000201, 1.000138, 1.000138",5.799825470684047e-05
12,3,66,5.098204004977743e-12,0.4486232281963765,0.02273211996663684,2.5844898154820244e-13,1.000178464726848,0.00017844880391296668,0.00035689760782593337,15,"1.000178, 1.000178, 1.000154, 1.000154",6.219893258489939e-05
12,4,66,4.1112655988207527e-13,0.4484223799319432,0.022721942814507148,2.0955627657519286e-14,1.000173625128953,0.00017361005785477922,0.00034722011570955844,16,"1.000174, 1.000174, 1.000149, 1.000149",6.31960013687818e-05
13,0,78,1.4472124168149433e-11,0.4500381432494793,0.022803814913995923,7.33233404909097e-13,1.000155389381729,0.00015537731004953482,0.00031075462009906964,20,"1.000155, 1.000155, 1.000146, 1.000146",6.418217293413651e-05
13,1,78,1.8910800950236914e-11,0.4557650504336439,0.023094002164601786,9.583696401228884e-13,1.0001518440797053,0.0001518325525598548,0.0003036651051197096,19,"1.000152, 1.000152, 1.000151, 1.000151",6.546249558278719e-05
13,2,78,2.440193789932467e-13,0.44688456304030105,0.022644020326614486,1.2291975980317934e-14,1.0001494853116946,0.000149474139878692,0.000298948279757384,18,"1.000149, 1.000149, 1.000147, 1.000147",6.211247373608434e-05
13,3,78,1.680201543308102e-11,0.4495542756570143,0.022779296932160655,8.514175385487848e-13,1.000145352598884,0.00014534203621845696,0.0002906840724369139,22,"1.000145, 1.000145, 1.000145, 1.000145",6.386567269722954e-05
13,4,78,1.853655496832841e-12,0.44946179092561145,0.022774610652277545,9.388291044145134e-14,1.0001531656740252,0.00015315394536098925,0.0003063078907219785,19,"1.000153, 1.000153, 1.000149, 1.000149",6.375840171556173e-05
14,0,91,4.675972782182896e-14,0.44794101959724364,0.022697551877552024,2.7910353339345137e-15,1.0001537279775599,0.0001537161626251583,0.0003074323252503166,21,"1.000154, 1.000154, 1.000146, 1.000146",6.254522139382363e-05
14,1,91,2.730649999657811e-12,0.4554224073917062,0.023076640150676817,1.383774718796823e-13,1.0001628558861535,0.00016284262657325472,0.00032568525314650943,18,"1.000163, 1.000163, 1.000146, 1.000146",6.477639306757302e-05
14,2,91,1.0660048092395246e-13,0.44567399182508277,0.022582679655060042,5.755369488889114e-15,1.0001631260584876,0.0001631127548788399,0.0003262255097576798,21,"1.000163, 1.000163, 1.000148, 1.000148",6.205368609519083e-05
14,3,91,6.371795742010302e-13,0.45509363740315256,0.02305998109614837,3.2175699734536194e-14,1.000158564344076,0.0001585517740791628,0.0003171035481583256,20,"1.000159, 1.000159, 1.000151, 1.000151",6.536646354247281e-05
14,4,91,2.6936985325871226e-13,0.45055956095556543,0.022830235591978214,1.3568358983262377e-14,1.0001762831911518,0.0001762676550958781,0.0003525353101917562,19,"1.000176, 1.000176, 1.000148, 1.000148",6.4454793246235e-05
15,0,105,1.3315551948431286e-11,0.4479003696035777,0.022695492107851063,6.746499941845094e-13,1.000161153783629,0.00016114079975294612,0.00032228159950589225,24,"1.000161, 1.000161, 1.000147, 1.000147",6.283332957371866e-05
15,1,105,8.867121753850996e-12,0.4521239375946784,0.022909503884831275,4.4926482528341614e-13,1.0001571971129637,0.00015718475879220614,0.0003143695175844123,17,"1.000157, 1.000157, 1.000146, 1.000146",6.444672985396092e-05
15,2,105,9.798742407473774e-13,0.4516817787295029,0.022887099319628647,4.969779603685235e-14,1.0001539328564681,0.000153921010021681,0.000307842020043362,24,"1.000154, 1.000154, 1.000147, 1.000147",6.436356782743772e-05
15,3,105,1.980281953066624e-11,0.4482060328448428,0.022710980323870932,1.003420129053062e-12,1.0001659120679296,0.00016589830604460848,0.00033179661208921696,20,"1.000166, 1.000166, 1.000148, 1.000148",6.309540495465192e-05
15,4,105,2.4684709159454805e-11,0.4560542776488431,0.023108657553222663,1.2506744347985482e-12,1.0001563933207118,0.0001563810925513597,0.0003127621851027194,23,"1.000156, 1.000156, 1.000150, 1.000150",6.58260694409422e-05
