t,H,Q2_re,Q2_im,generator_norm
139,np.float64(522.7794514075873),np.float64(-42.368804753527755),np.float64(71.58935334594082),np.float64(22.867437844864433)
140,np.float64(522.7794514075854),np.float64(-42.36880475352791),np.float64(71.58935334594072),np.float64(22.86874442014029)
141,np.float64(522.7794514075863),np.float64(-42.368804753527726),np.float64(71.58935334594076),np.float64(22.867065132636867)
142,np.float64(522.7794514075863),np.float64(-42.36880475352736),np.float64(71.58935334594071),np.float64(22.866945601697502)
143,np.float64(522.7794514075867),np.float64(-42.36880475352767),np.float64(71.58935334594055),np.float64(22.86934578547348)
144,np.float64(522.7794514075879),np.float64(-42.368804753527854),np.float64(71.58935334594084),np.float64(22.869446012906288)
145,np.float64(522.7794514075895),np.float64(-42.368804753527925),np.float64(71.58935334594094),np.float64(22.87432123302136)
146,np.float64(522.7794514075904),np.float64(-42.368804753527854),np.float64(71.58935334594112),np.float64(22.883126687942063)
147,np.float64(522.7794514075922),np.float64(-42.36880475352797),np.float64(71.58935334594119),np.float64(22.88210593522482)
148,np.float64(522.7794514075904),np.float64(-42.36880475352787),np.float64(71.58935334594099),np.float64(22.870053699209166)
149,np.float64(522.7794514075903),np.float64(-42.36880475352817),np.float64(71.58935334594092),np.float64(22.860500775396346)
150,np.float64(522.7794514075892),np.float64(-42.3688047535281),np.float64(71.58935334594094),np.float64(22.8628832120475)
151,np.float64(522.7794514075902),np.float64(-42.36880475352817),np.float64(71.58935334594132),np.float64(22.868545962100686)
152,np.float64(522.7794514075908),np.float64(-42.36880475352857),np.float64(71.58935334594116),np.float64(22.870277743667245)
153,np.float64(522.7794514075924),np.float64(-42.368804753528806),np.float64(71.58935334594143),np.float64(22.873151949702752)
154,np.float64(522.7794514075911),np.float64(-42.368804753528714),np.float64(71.58935334594153),np.float64(22.87644650257183)
155,np.float64(522.7794514075899),np.float64(-42.36880475352842),np.float64(71.5893533459415),np.float64(22.874430616774358)
156,np.float64(522.7794514075925),np.float64(-42.36880475352855),np.float64(71.58935334594196),np.float64(22.874392598162363)
157,np.float64(522.779451407591),np.float64(-42.36880475352868),np.float64(71.58935334594204),np.float64(22.876089658232715)
158,np.float64(522.7794514075912),np.float64(-42.36880475352888),np.float64(71.58935334594193),np.float64(22.870062230279974)
159,np.float64(522.7794514075928),np.float64(-42.36880475352919),np.float64(71.58935334594233),np.float64(22.860803351936603)
160,np.float64(522.7794514075905),np.float64(-42.36880475352844),np.float64(71.58935334594226),np.float64(22.861067583457956)
161,np.float64(522.7794514075922),np.float64(-42.36880475352859),np.float64(71.58935334594226),np.float64(22.870603797870682)
162,np.float64(522.7794514075913),np.float64(-42.368804753528316),np.float64(71.58935334594219),np.float64(22.876298071139267)
163,np.float64(522.7794514075902),np.float64(-42.368804753528195),np.float64(71.58935334594199),np.float64(22.874091718231853)
164,np.float64(522.7794514075888),np.float64(-42.368804753527606),np.float64(71.58935334594216),np.float64(22.874199629891887)
165,np.float64(522.7794514075874),np.float64(-42.36880475352742),np.float64(71.58935334594187),np.float64(22.87327698659336)
166,np.float64(522.7794514075866),np.float64(-42.368804753527364),np.float64(71.58935334594179),np.float64(22.86865253970731)
167,np.float64(522.7794514075883),np.float64(-42.3688047535274),np.float64(71.58935334594193),np.float64(22.868828931951747)
