強度順位,DFTビン,波数k,状態内の役割,全強度比,直流を除く強度比,数値誤差床より上
60,115,-29,逆回転・第29枝,7.066901991828948e-06,7.261914104378848e-06,はい
61,31,31,同方向・第31高調波,6.998466822104304e-06,7.191590456925753e-06,はい
62,114,-30,逆回転・第30枝,6.683033417251563e-06,6.8674526247694684e-06,はい
63,32,32,同方向・第32高調波,6.6211471699194605e-06,6.803858618104639e-06,はい
64,113,-31,逆回転・第31枝,6.335489541290044e-06,6.51031822872809e-06,はい
65,33,33,同方向・第33高調波,6.2793646631243984e-06,6.452644576988063e-06,はい
66,112,-32,逆回転・第32枝,6.019956991395783e-06,6.186078515609508e-06,はい
67,34,34,同方向・第34高調波,5.9689220208260405e-06,6.133635228151229e-06,はい
68,111,-33,逆回転・第33枝,5.732750539243859e-06,5.890946562716684e-06,はい
69,35,35,同方向・第35高調波,5.686230147448289e-06,5.843142434442075e-06,はい
70,110,-34,逆回転・第34枝,5.4707068567439205e-06,5.621671749494435e-06,はい
71,36,36,同方向・第36高調波,5.428205827115465e-06,5.577997898227449e-06,はい
72,109,-35,逆回転・第35枝,5.2310985387771216e-06,5.375451407712213e-06,はい
73,37,37,同方向・第37高調波,5.192188818653837e-06,5.335467968620032e-06,はい
