N,series,denominator,onset_gt_0.05,initial,step1,final,max
22,124,124,190,1.2523658574651707e-31,5.2649748742821684e-30,0.05103933281001869,0.05104261831636628
23,N-2,21,196,6.894111540749919e-32,3.790045286418401e-29,0.10022812655379151,0.10024330102647366
23,N-1,22,235,6.894111540749919e-32,3.6701688192093985e-29,0.24380950894637193,0.24380950894637193
23,N,23,197,6.894111540749919e-32,3.974577436491842e-29,0.08924937768061829,0.10343874442788568
23,N+1,24,160,6.894111540749919e-32,4.6063754445559834e-29,0.08046626939373469,0.08634093327683243
23,N+2,25,135,6.894111540749919e-32,5.434512079874127e-29,0.07529401835739467,0.0758857729595925
23,124,124,125,6.894111540749919e-32,4.0723132654180795e-29,0.060843522690357414,0.060843522690357414
24,N-2,22,190,3.4430627985094887e-32,7.585222122895631e-29,0.125337524433957,0.12569340906280374
24,N-1,23,232,3.4430627985094887e-32,6.929711812389811e-29,0.271822019325787,0.271822019325787
24,N,24,163,3.4430627985094887e-32,8.041637727986573e-29,0.1232834697405085,0.12334915245135313
24,N+1,25,128,3.4430627985094887e-32,1.0456752975468495e-28,0.07717785593740585,0.07765041187234759
24,N+2,26,108,3.4430627985094887e-32,1.378225921970746e-28,0.06971195125848546,0.06971715921174698
24,124,124,106,3.4430627985094887e-32,1.7768620338193398e-28,0.06532511143641734,0.06532511143641734
25,N-2,23,236,1.8130836005959277e-32,2.2132171526095514e-28,0.10042357867598839,0.10042357867598839
25,N-1,24,298,1.8130836005959277e-32,1.6744840779022375e-28,0.19064614371701608,0.19064614371701608
25,N,25,239,1.8130836005959277e-32,2.325354498853136e-28,0.08392859751417424,0.08403810597491698
25,N+1,26,197,1.8130836005959277e-32,3.8685862292296e-28,0.06668704487649414,0.0687459291963358
25,N+2,27,171,1.8130836005959277e-32,6.04595559639444e-28,0.06504959494721105,0.06542696400022174
25,124,124,154,1.8130836005959277e-32,1.253797086192027e-27,0.05025831800897038,0.05025831800897038
26,N-2,24,281,6.612213723782715e-32,1.4061017417078494e-29,0.071175854326617,0.07117665830572159
26,N-1,25,347,6.612213723782715e-32,1.4007373262180978e-29,0.18652065802217688,0.18652065802217688
26,N,26,262,6.612213723782715e-32,1.4399802788307515e-29,0.0868172675729324,0.08686265926927533
26,N+1,27,223,6.612213723782715e-32,1.5459629247325274e-29,0.05192408807033718,0.05221645211193704
26,N+2,28,-1,6.612213723782715e-32,1.6885338009109926e-29,0.04815131829824116,0.048202029104563705
26,124,124,-1,6.612213723782715e-32,1.2231590104599976e-29,0.0382359114660093,0.0382359114660093
27,N-2,25,198,4.95005599639499e-33,4.770918698755801e-29,0.17940967431824645,0.1794213887255236
27,N-1,26,223,4.95005599639499e-33,4.253255309982777e-29,0.37548654211651417,0.37548654211651417
27,N,27,167,4.95005599639499e-33,5.306965789442634e-29,0.14364300329526597,0.14373329683370162
27,N+1,28,129,4.95005599639499e-33,7.524569473195432e-29,0.10233348176943229,0.10308314941393071
27,N+2,29,110,4.95005599639499e-33,1.0609383826340802e-28,0.09028951724611681,0.09028951724611681
27,124,124,95,4.95005599639499e-33,2.351665003981591e-28,0.07400564306034942,0.07400564306034942
28,N-2,26,243,3.0545985332461465e-32,4.8143572211034703e-29,0.11241365483674098,0.11249006012537485
28,N-1,27,330,3.0545985332461465e-32,4.2832119818263703e-29,0.26064557974235014,0.26064557974235014
28,N,28,206,3.0545985332461465e-32,5.17202091875924e-29,0.10253574559107288,0.10264242254446024
28,N+1,29,152,3.0545985332461465e-32,7.142436986059561e-29,0.07256215855945732,0.07284193552021503
28,N+2,30,131,3.0545985332461465e-32,9.8971123401833e-29,0.06304831603978273,0.06304831604053537
28,124,124,131,3.0545985332461465e-32,2.3489427095283812e-28,0.05195934579954744,0.05195934579954744
29,N-2,27,274,1.6458248955720896e-32,1.365225157576082e-29,0.08843068078258343,0.08843068078258343
29,N-1,28,333,1.6458248955720896e-32,1.2939131503757847e-29,0.15976257234142008,0.15976257234142008
29,N,29,271,1.6458248955720896e-32,1.3525745061804416e-29,0.09602433899848067,0.09602433899848067
29,N+1,30,211,1.6458248955720896e-32,1.5202355099410495e-29,0.05472827018397665,0.057359368242054815
29,N+2,31,-1,1.6458248955720896e-32,1.7446289179536985e-29,0.04810980327689296,0.048190551210666094
29,124,124,-1,1.6458248955720896e-32,2.7240385859175796e-29,0.03857026928478974,0.03857700636948032
30,N-2,28,286,1.078904058864182e-31,7.542660914299886e-29,0.07259430299983417,0.07479969950318552
30,N-1,29,400,1.078904058864182e-31,6.31057925695849e-29,0.16068585751819195,0.16068585751819195
30,N,30,289,1.078904058864182e-31,7.84010804244778e-29,0.08906679937288868,0.08906679937288868
30,N+1,31,222,1.078904058864182e-31,1.1557612801352665e-28,0.061799965934544766,0.06232456437964547
30,N+2,32,194,1.078904058864182e-31,1.6919264769713138e-28,0.05222774476142835,0.05244925250803234
30,124,124,-1,1.078904058864182e-31,5.868778303825558e-28,0.04530699843334237,0.04530699843334237
31,N-2,29,196,1.5380766890181772e-32,7.592136192588107e-29,0.1661597357499196,0.1661657729189655
31,N-1,30,224,1.5380766890181772e-32,6.740311126767561e-29,0.3814497483406304,0.3814497483406304
31,N,31,181,1.5380766890181772e-32,8.564219860023203e-29,0.16919529688498003,0.16919529688498003
31,N+1,32,141,1.5380766890181772e-32,1.2463610496118939e-28,0.11034939230134835,0.11106632338604883
31,N+2,33,118,1.5380766890181772e-32,1.7976841953204362e-28,0.08691042794983429,0.0873170800543548
31,124,124,89,1.5380766890181772e-32,6.1987935538549045e-28,0.06765998246431638,0.06765998246431638
32,N-2,30,336,4.379944681767514e-32,7.932724132682348e-30,0.10587303010787649,0.10587303010787649
32,N-1,31,474,4.379944681767514e-32,7.863728691594876e-30,0.08880420787262432,0.08880420787262432
32,N,32,350,4.379944681767514e-32,7.875990449492453e-30,0.08087631213746013,0.08099382870747049
32,N+1,33,256,4.379944681767514e-32,7.860252743044549e-30,0.06038490309326621,0.06089060291817274
32,N+2,34,232,4.379944681767514e-32,7.893240311873256e-30,0.052747378979597345,0.052812175748752646
32,124,124,-1,4.379944681767514e-32,5.8232142931179015e-30,0.041955746908212486,0.041955746908212486
33,N-2,31,263,1.207937612203679e-31,1.7230997182296797e-28,0.11103090038857395,0.1110346061516189
33,N-1,32,372,1.207937612203679e-31,1.6325574294864067e-28,0.22782923823824966,0.22782923823824966
33,N,33,251,1.207937612203679e-31,1.8037771248446935e-28,0.11854248216339969,0.11854248216339969
33,N+1,34,186,1.207937612203679e-31,2.179476266815522e-28,0.07476460909169841,0.07757869088945717
33,N+2,35,153,1.207937612203679e-31,2.7207001142527575e-28,0.061875711818530556,0.06420136132968912
33,124,124,120,1.207937612203679e-31,8.140265921459193e-28,0.05319009879487482,0.05319009879487482
34,N-2,32,335,2.0459217773873216e-32,1.8644769240934738e-28,0.09797367715113794,0.09797367715113794
34,N-1,33,481,2.0459217773873216e-32,1.8613375550757186e-28,0.08363035676517924,0.08363035676517924
34,N,34,322,2.0459217773873216e-32,1.841811275238998e-28,0.08568590888482636,0.08568590888482636
34,N+1,35,244,2.0459217773873216e-32,1.8107935490620422e-28,0.05969299122406209,0.06000387447682283
34,N+2,36,216,2.0459217773873216e-32,1.7707405256764178e-28,0.05667530347228584,0.05673920080788571
34,124,124,-1,2.0459217773873216e-32,1.0223821270199116e-28,0.04808150438508823,0.04808437281544314
35,N-2,33,312,7.461503099855058e-32,3.273573468056925e-29,0.13826681923358172,0.13826681923358172
35,N-1,34,379,7.461503099855058e-32,3.2450151707583235e-29,0.15869532916044962,0.15869532916044962
35,N,35,285,7.461503099855058e-32,3.230604598020244e-29,0.12957300674094602,0.12957300674094602
35,N+1,36,220,7.461503099855058e-32,3.251218687617281e-29,0.0700272377813721,0.07008586956225257
35,N+2,37,187,7.461503099855058e-32,3.268497213252334e-29,0.059368713956224846,0.06041481002190412
35,124,124,-1,7.461503099855058e-32,1.9788416158409042e-29,0.04560454457139918,0.04561228089218367
36,N-2,34,320,3.269911667861058e-32,3.892575439584125e-29,0.11454499808032809,0.11454499808032809
36,N-1,35,399,3.269911667861058e-32,3.532846347807705e-29,0.13659222393979323,0.13659222393979323
36,N,36,267,3.269911667861058e-32,4.1173937182749353e-29,0.09580631813763901,0.09580631813763901
36,N+1,37,191,3.269911667861058e-32,5.471548991642542e-29,0.0600468507253639,0.06028963392186327
36,N+2,38,209,3.269911667861058e-32,7.452121405365603e-29,0.05005914643196573,0.05011054749160123
36,124,124,-1,3.269911667861058e-32,3.804295362447542e-28,0.04272577335677817,0.04272577335677817
37,N-2,35,269,7.306629368345647e-32,5.650480715172456e-29,0.12717722831346634,0.12717722831346634
37,N-1,36,330,7.306629368345647e-32,5.54857685011542e-29,0.2944246592199623,0.2944246592199623
37,N,37,241,7.306629368345647e-32,5.845698329887808e-29,0.14587178183601512,0.14587178183601512
37,N+1,38,187,7.306629368345647e-32,6.487641794595025e-29,0.0805291902006333,0.08057872100330381
37,N+2,39,156,7.306629368345647e-32,7.427674056902407e-29,0.06280489868492874,0.06339644612397045
37,124,124,103,7.306629368345647e-32,2.2317758461355937e-28,0.056344555883806755,0.05634512461358051
38,N-2,36,286,3.9151235609868787e-32,5.215955518530826e-29,0.12693831300031,0.12693831300031
38,N-1,37,307,3.9151235609868787e-32,5.236482310333774e-29,0.22635312967128132,0.22635312967128132
38,N,38,264,3.9151235609868787e-32,5.268029993503891e-29,0.14853741098019224,0.14853741098019224
38,N+1,39,223,3.9151235609868787e-32,5.320195724454401e-29,0.09623690029277368,0.09648981000432048
38,N+2,40,194,3.9151235609868787e-32,5.422435144953329e-29,0.08045897047677508,0.0805328268037836
38,124,124,137,3.9151235609868787e-32,6.432272888558301e-29,0.05933680189589549,0.05933680189589549
39,N-2,37,409,1.904702395229329e-32,1.9097751349278447e-29,0.07447820785295409,0.07447820785295409
39,N-1,38,-1,1.904702395229329e-32,1.8991647873136856e-29,0.025138608987243325,0.025138608987243325
39,N,39,385,1.904702395229329e-32,1.943457486745571e-29,0.06871452371761048,0.06871452371761048
39,N+1,40,-1,1.904702395229329e-32,2.0210211555269526e-29,0.04825223706400837,0.04833228899674997
39,N+2,41,-1,1.904702395229329e-32,2.1453752170755827e-29,0.04167455174901633,0.04188804561187964
39,124,124,-1,1.904702395229329e-32,3.724485803563445e-29,0.03056373229797187,0.030576011377126983
40,N-2,38,376,3.550210783994378e-32,4.5536661274018273e-29,0.07381014743665154,0.07381014743665154
40,N-1,39,456,3.550210783994378e-32,4.0082671521204555e-29,0.09723779770255409,0.09723779770255409
40,N,40,358,3.550210783994378e-32,4.7393511647187346e-29,0.10051543764762647,0.10051543764762647
40,N+1,41,276,3.550210783994378e-32,6.505664737292556e-29,0.05678336656387379,0.057243215010703806
40,N+2,42,-1,3.550210783994378e-32,9.135621457347721e-29,0.04507979021453612,0.04516895453658197
40,124,124,-1,3.550210783994378e-32,7.129289407122435e-28,0.03803885859429406,0.038038859198164236
