label,step,C_memory,delta_C_memory_forward,actual_Ra,predicted_Ra_from_delta_C,level_only_predictor,slope_predictor,balance_error
linear_increase_C,38,2.1000000000000002e-06,4.999999999999952e-08,3.0487804878050425e-11,3.0487804878048487e-11,2.1000000000000002e-06,4.999999999999952e-08,1.9387045606711586e-24
linear_increase_C,39,2.1499999999999997e-06,5.000000000000037e-08,3.0487804878047117e-11,3.0487804878049004e-11,2.1499999999999997e-06,5.000000000000037e-08,-1.8870057723865944e-24
linear_increase_C,40,2.2e-06,4.999999999999952e-08,3.0487804878050425e-11,3.0487804878048487e-11,2.2e-06,4.999999999999952e-08,1.9387045606711586e-24
linear_increase_C,41,2.2499999999999996e-06,5.000000000000037e-08,3.0487804878050425e-11,3.0487804878049004e-11,2.2499999999999996e-06,5.000000000000037e-08,1.4217166778255163e-24
linear_increase_C,42,2.3e-06,4.999999999999952e-08,3.048780487804381e-11,3.0487804878048487e-11,2.3e-06,4.999999999999952e-08,-4.678740339753063e-24
linear_increase_C,43,2.3499999999999995e-06,5.000000000000037e-08,3.0487804878050425e-11,3.0487804878049004e-11,2.3499999999999995e-06,5.000000000000037e-08,1.4217166778255163e-24
linear_increase_C,44,2.4e-06,5.000000000000037e-08,3.0487804878050425e-11,3.0487804878049004e-11,2.4e-06,5.000000000000037e-08,1.4217166778255163e-24
linear_increase_C,45,2.4500000000000003e-06,4.999999999999952e-08,3.0487804878050425e-11,3.0487804878048487e-11,2.4500000000000003e-06,4.999999999999952e-08,1.9387045606711586e-24
linear_increase_C,46,2.4999999999999998e-06,5.000000000000037e-08,3.048780487804381e-11,3.0487804878049004e-11,2.4999999999999998e-06,5.000000000000037e-08,-5.195728222598705e-24
linear_decrease_C,1,2.75e-06,-4.9999999999999945e-08,-3.048780487804836e-11,-3.0487804878048745e-11,2.75e-06,-4.9999999999999945e-08,3.877409121342317e-25
linear_decrease_C,2,2.7e-06,-4.9999999999999945e-08,-3.048780487804877e-11,-3.0487804878048745e-11,2.7e-06,-4.9999999999999945e-08,-2.5849394142282115e-26
linear_decrease_C,3,2.65e-06,-5.000000000000037e-08,-3.048780487804877e-11,-3.0487804878049004e-11,2.65e-06,-5.000000000000037e-08,2.3264454728053903e-25
linear_decrease_C,4,2.5999999999999997e-06,-4.9999999999999945e-08,-3.04878048780496e-11,-3.0487804878048745e-11,2.5999999999999997e-06,-4.9999999999999945e-08,-8.530300066953098e-25
linear_decrease_C,5,2.5499999999999997e-06,-4.9999999999999945e-08,-3.048780487804877e-11,-3.0487804878048745e-11,2.5499999999999997e-06,-4.9999999999999945e-08,-2.5849394142282115e-26
linear_decrease_C,6,2.4999999999999998e-06,-4.9999999999999945e-08,-3.048780487804877e-11,-3.0487804878048745e-11,2.4999999999999998e-06,-4.9999999999999945e-08,-2.5849394142282115e-26
linear_decrease_C,7,2.45e-06,-4.9999999999999945e-08,-3.048780487804877e-11,-3.0487804878048745e-11,2.45e-06,-4.9999999999999945e-08,-2.5849394142282115e-26
linear_decrease_C,8,2.4e-06,-4.9999999999999945e-08,-3.0487804878047117e-11,-3.0487804878048745e-11,2.4e-06,-4.9999999999999945e-08,1.6285118309637732e-24
linear_decrease_C,9,2.35e-06,-4.9999999999999945e-08,-3.0487804878050425e-11,-3.0487804878048745e-11,2.35e-06,-4.9999999999999945e-08,-1.6802106192483375e-24
linear_decrease_C,10,2.3e-06,-5.000000000000037e-08,-3.0487804878047117e-11,-3.0487804878049004e-11,2.3e-06,-5.000000000000037e-08,1.8870057723865944e-24
