label,mode,step,particle,actual_Ra,predicted_minus_partial_chi_E,partial_chi_E_read,g1_balance_error,C_memory,delta_C_memory_forward,sign_match,sweep_case,blind_window_length
C_decay_0_97,combined_minus_R2_R3_residual,20,A,8.050390624172446e-11,9.404533751356433e-11,-9.404533751356433e-11,-1.3541431271839872e-11,4.6047189442711186e-06,1.542343535222455e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,21,A,7.719145444097086e-11,9.122580924870546e-11,-9.122580924870546e-11,-1.40343548077346e-11,4.758953297793364e-06,1.4961032716787695e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,22,A,7.399277969033589e-11,8.849088681849523e-11,-8.849088681849523e-11,-1.4498107128159346e-11,4.908563624961241e-06,1.4512505438233218e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,23,A,7.090444218563262e-11,8.583803004717601e-11,-8.583803004717601e-11,-1.493358786154339e-11,5.053688679343573e-06,1.4077436927736864e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,24,A,6.792296621186528e-11,8.32647751644655e-11,-8.32647751644655e-11,-1.5341808952600224e-11,5.194463048620942e-06,1.3655423126972344e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,25,A,6.504486961658772e-11,8.076873249335527e-11,-8.076873249335527e-11,-1.572386287676755e-11,5.331017279890665e-06,1.3246072128910265e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,26,A,6.226668805198632e-11,7.834758420930815e-11,-7.834758420930815e-11,-1.6080896157321828e-11,5.463478001179768e-06,1.2849003810326537e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,27,A,5.958499378578772e-11,7.599908216844783e-11,-7.599908216844783e-11,-1.6414088382660116e-11,5.591968039283033e-06,1.2463849475625444e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,28,A,5.69964125538263e-11,7.372104580254916e-11,-7.372104580254916e-11,-1.6724633248722858e-11,5.716606534039288e-06,1.2090251511618062e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,29,A,5.449763554047824e-11,7.151136007862931e-11,-7.151136007862931e-11,-1.7013724538151072e-11,5.837509049155468e-06,1.1727863052895207e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,30,A,5.208542961759573e-11,6.936797352106643e-11,-6.936797352106643e-11,-1.7282543903470697e-11,5.9547876796844204e-06,1.1376347657454895e-07,True,C_decay_0_97,46
