N,series,denominator,onset_gt_0.05,initial,step1,final,max
18,N-2,16,340,1.848008231519872e-32,1.9466698133453536e-30,0.9740175120718263,0.9928257703635189
18,N-1,17,384,1.848008231519872e-32,2.0739364950813002e-30,0.8641572364112505,0.9932157761171431
18,N,18,426,1.848008231519872e-32,2.077874552744377e-30,0.25273399845559225,0.25273399845559225
18,N+1,19,490,1.848008231519872e-32,2.0376094418001648e-30,0.14821178696630963,0.14821178696630963
18,N+2,20,-1,1.848008231519872e-32,1.981583405992318e-30,0.002041125414853413,0.002041125414853413
18,124,124,-1,1.848008231519872e-32,2.031029849826386e-30,1.6171805610732377e-27,1.6171805610732377e-27
19,N-2,17,379,5.022436000044584e-32,2.1715964526376575e-30,0.9686524069771789,0.9889052463993475
19,N-1,18,417,5.022436000044584e-32,2.213562500230322e-30,0.5796883527942459,0.5796883527942459
19,N,19,467,5.022436000044584e-32,2.153612375834288e-30,0.1858635975551431,0.1858635975551431
19,N+1,20,-1,5.022436000044584e-32,2.2227137803621996e-30,0.025932918965904054,0.025932918965904054
19,N+2,21,-1,5.022436000044584e-32,2.1867398831446107e-30,2.0892797756921845e-05,2.0892797756921845e-05
19,124,124,-1,5.022436000044584e-32,2.104133077166617e-30,2.378983137123725e-27,2.405557801891912e-27
20,N-2,18,436,3.092148717807918e-32,2.1882295166626332e-30,0.1888815513066802,0.19103270801213657
20,N-1,19,464,3.092148717807918e-32,2.200394491303527e-30,0.15477952301479972,0.1834577162306477
20,N,20,-1,3.092148717807918e-32,2.1547091946961773e-30,0.031508449586167046,0.031508449586167046
20,N+1,21,-1,3.092148717807918e-32,2.123867802845068e-30,1.706164498572908e-05,1.706164498572908e-05
20,N+2,22,-1,3.092148717807918e-32,2.155322091595186e-30,5.684520133091318e-08,5.684520133091318e-08
20,124,124,-1,3.092148717807918e-32,2.2000838904972386e-30,2.35413018748793e-27,2.35413018748793e-27
21,N-2,19,458,5.050151540619311e-32,2.1719424903879545e-30,0.144831722739565,0.1741360259876881
21,N-1,20,-1,5.050151540619311e-32,2.1816824670458316e-30,0.001362728931595877,0.001362728931595877
21,N,21,-1,5.050151540619311e-32,2.1157399496225736e-30,1.7414246486292934e-05,1.7414246486292934e-05
21,N+1,22,-1,5.050151540619311e-32,2.1476320455870917e-30,6.87047981064163e-08,6.87047981064163e-08
21,N+2,23,-1,5.050151540619311e-32,2.215140119443358e-30,1.9251994844798799e-10,1.9251994844798799e-10
21,124,124,-1,5.050151540619311e-32,2.1759326296965547e-30,2.0429229911850268e-27,2.0429229911850268e-27
22,N-2,20,497,4.275896941212783e-31,2.4646624690864907e-30,0.07306140982978422,0.07306140982978422
22,N-1,21,-1,4.275896941212783e-31,2.39153466637562e-30,4.253618731319851e-05,4.253618731319851e-05
22,N,22,-1,4.275896941212783e-31,2.366790157015086e-30,4.0241355392519666e-07,4.0241355392519666e-07
22,N+1,23,-1,4.275896941212783e-31,2.4124287442752537e-30,1.16671967744524e-09,1.16671967744524e-09
22,N+2,24,-1,4.275896941212783e-31,2.4076220217162698e-30,6.160761794136116e-11,6.160761794136116e-11
22,124,124,-1,4.275896941212783e-31,2.3463135406525963e-30,2.593321839531575e-27,2.593321839531575e-27
23,N-2,21,-1,3.494209961272059e-32,2.4063819651489567e-30,6.631734990250208e-05,6.631734990250208e-05
23,N-1,22,-1,3.494209961272059e-32,2.3092885764642543e-30,9.169306303520447e-08,9.169306303520447e-08
23,N,23,-1,3.494209961272059e-32,2.2599326492767495e-30,2.734028238025828e-10,2.734028238025828e-10
23,N+1,24,-1,3.494209961272059e-32,2.325512036396657e-30,6.7517832844352886e-12,6.7517832844352886e-12
23,N+2,25,-1,3.494209961272059e-32,2.3479773868165104e-30,1.8937390184851745e-13,1.8937390184851745e-13
23,124,124,-1,3.494209961272059e-32,2.3695139116314043e-30,3.566220206276472e-27,3.566220206276472e-27
24,N-2,22,-1,1.2210815545169223e-31,2.9630230599424964e-30,1.1754520118508163e-06,1.1754520118508163e-06
24,N-1,23,-1,1.2210815545169223e-31,3.049391623558816e-30,1.5042521295872877e-08,1.5042521295872877e-08
24,N,24,-1,1.2210815545169223e-31,3.0010163340031937e-30,1.2309249220607266e-10,1.2309249220607266e-10
24,N+1,25,-1,1.2210815545169223e-31,3.023001196182031e-30,8.487894971089606e-13,8.487894971089606e-13
24,N+2,26,-1,1.2210815545169223e-31,3.0465300199743007e-30,1.3717396888703496e-13,1.3717396888703496e-13
24,124,124,-1,1.2210815545169223e-31,3.045498639894872e-30,3.2173223918632145e-27,3.2173223918632145e-27
