step,time,N,condition,initial_seed_enabled,metastable_seed_enabled,initial_seed_amplitude,metastable_seed_amplitude,parent_plane_occupation,f_outside_parent,q1,q2,q3,q4,rank_Q,dominant_plane_occupation,non_dominant_occupation,kernel_occupation,residual_occupation,norm_Z,dagger_norm_error,zero_square_real,zero_square_imag,zero_square_abs,projection_closure_error,crossing_detected,metastable_start_detected
1125,1125,5,B,1,0,1.0000000000e-15,0.0000000000e+00,9.9176214982e-01,8.2378501816e-03,1.4142129136e+00,1.4103054816e+00,1.0506402155e-01,1.3546551064e-03,4,9.9746501696e-01,1.9978126872e-05,8.2178720547e-03,0.0000000000e+00,1.0000000000e+00,1.6653345369e-15,-7.7715611724e-16,-1.9934081719e-16,8.0231439720e-16,0.0000000000e+00,0,0
1150,1150,5,B,1,0,1.0000000000e-15,0.0000000000e+00,9.7419496100e-01,2.5805039000e-02,1.4142105122e+00,1.4021954229e+00,1.8397824846e-01,2.9372273199e-03,4,9.9315196829e-01,1.9804352825e-04,2.5606995472e-02,0.0000000000e+00,1.0000000000e+00,1.7763568394e-15,-8.3266726847e-16,-1.8704424103e-16,8.5341685481e-16,0.0000000000e+00,0,0
1175,1175,5,B,1,0,1.0000000000e-15,0.0000000000e+00,9.3172432647e-01,6.8275673526e-02,1.4142131909e+00,1.3838109270e+00,2.9166302167e-01,1.0250043122e-03,4,9.8820413975e-01,1.4424242771e-03,6.6833249249e-02,0.0000000000e+00,1.0000000000e+00,1.3322676296e-15,-1.1102230246e-15,-7.5855021473e-17,1.1128113716e-15,0.0000000000e+00,1,0
1200,1200,5,B,1,0,1.0000000000e-15,0.0000000000e+00,8.6667895573e-01,1.3332104427e-01,1.4140427454e+00,1.3578862460e+00,3.9515179738e-01,2.1979856049e-02,4,9.9038343504e-01,6.2574933957e-03,1.2706355087e-01,0.0000000000e+00,1.0000000000e+00,1.5543122345e-15,-1.4432899320e-15,-2.1490201900e-16,1.4592013931e-15,0.0000000000e+00,1,0
1225,1225,5,B,1,0,1.0000000000e-15,0.0000000000e+00,8.0716757467e-01,1.9283242533e-01,1.4126454165e+00,1.3337452671e+00,4.7023777242e-01,6.6580232604e-02,4,9.9248158821e-01,1.7347425508e-02,1.7548499982e-01,0.0000000000e+00,1.0000000000e+00,1.3322676296e-15,-1.6098233857e-15,-1.3793456367e-16,1.6157219058e-15,0.0000000000e+00,1,0
1250,1250,5,B,1,0,1.0000000000e-15,0.0000000000e+00,7.5653975435e-01,2.4346024565e-01,1.4089546437e+00,1.3119476878e+00,5.2800877303e-01,1.2184749530e-01,4,9.8632059494e-01,3.9533625913e-02,2.0392661974e-01,0.0000000000e+00,1.0000000000e+00,1.3322676296e-15,-1.3322676296e-15,-1.8880716851e-16,1.3455798689e-15,0.0000000000e+00,1,0
1275,1275,5,B,1,0,1.0000000000e-15,0.0000000000e+00,6.9316558454e-01,3.0683441546e-01,1.4037487387e+00,1.2860560898e+00,5.8826841992e-01,1.7172500836e-01,4,9.7879462308e-01,7.6109796769e-02,2.3072461869e-01,0.0000000000e+00,1.0000000000e+00,1.2212453271e-15,-1.2212453271e-15,-1.2477693615e-16,1.2276031251e-15,0.0000000000e+00,1,0
1300,1300,5,B,1,0,1.0000000000e-15,0.0000000000e+00,6.1660929103e-01,3.8339070897e-01,1.3979657903e+00,1.2521651497e+00,6.5732977870e-01,2.1375605071e-01,4,9.7631803831e-01,1.1617425692e-01,2.6721645205e-01,0.0000000000e+00,1.0000000000e+00,1.1102230246e-15,-8.3266726847e-16,-9.2706154511e-17,8.3781215739e-16,0.0000000000e+00,1,0
1325,1325,5,B,1,0,1.0000000000e-15,0.0000000000e+00,5.4204176074e-01,4.5795823926e-01,1.3907234280e+00,1.2065366283e+00,7.3774613825e-01,2.5668725482e-01,4,9.8325312667e-01,1.5025868087e-01,3.0769955839e-01,0.0000000000e+00,1.0000000000e+00,1.1102230246e-15,-7.2164496601e-16,-3.1758228138e-17,7.2234343772e-16,0.0000000000e+00,1,0
1350,1350,5,B,1,0,1.0000000000e-15,0.0000000000e+00,4.8049443369e-01,5.1950556631e-01,1.3831744012e+00,1.1635855053e+00,8.0378403314e-01,2.9466688960e-01,4,9.8939803293e-01,1.7549973795e-01,3.4400582836e-01,0.0000000000e+00,1.0000000000e+00,1.3322676296e-15,-7.2164496601e-16,-5.5714315887e-17,7.2379247161e-16,0.0000000000e+00,1,0
