族ID,分解能N,基底波長,利用可能な奇数倍音次数,利用可能な偶数倍音次数,選択する奇数倍音数,選択する偶数倍音数,波長・倍音構成数,各構成の位相数,位相込み波形数,反射率R（等振幅）,theta/pi,有限位数閉鎖,実回転周期,閉鎖住所,共役住所,住所電荷量sin2(pi*m/n),粒子・反粒子,巻数・被覆から読むスピン,共役方向を区別した候補状態数
N300-F120,300,75lambda0,"75,25,15,5,3",なし,2,0,10,8,80,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,160
N300-F121,300,75lambda0,"75,25,15,5,3",なし,3,0,10,16,160,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,320
N300-F122,300,75lambda0,"75,25,15,5,3",なし,4,0,5,32,160,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,320
N300-F123,300,75lambda0,"75,25,15,5,3",なし,5,0,1,64,64,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,128
N300-F124,300,100lambda0,"25,5","100,50,20,10,4,2",0,0,1,2,2,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,内部倍音なし（スピン型未分類）,2
N300-F125,300,100lambda0,"25,5","100,50,20,10,4,2",0,1,6,4,24,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,24
N300-F126,300,100lambda0,"25,5","100,50,20,10,4,2",0,2,15,8,120,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,120
N300-F127,300,100lambda0,"25,5","100,50,20,10,4,2",0,3,20,16,320,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,320
N300-F128,300,100lambda0,"25,5","100,50,20,10,4,2",0,4,15,32,480,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,480
N300-F129,300,100lambda0,"25,5","100,50,20,10,4,2",0,5,6,64,384,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,384
N300-F130,300,100lambda0,"25,5","100,50,20,10,4,2",0,6,1,128,128,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,128
N300-F131,300,100lambda0,"25,5","100,50,20,10,4,2",1,0,2,4,8,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,16
N300-F132,300,100lambda0,"25,5","100,50,20,10,4,2",1,1,12,8,96,1/4,1/6,成立,12,+1/3,-1/3 (=2/3),0.75,粒子・反粒子の共役方向対（+住所 / -住所）,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,192
N300-F133,300,100lambda0,"25,5","100,50,20,10,4,2",1,2,30,16,480,1/6,0.133860236401（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,480
N300-F134,300,100lambda0,"25,5","100,50,20,10,4,2",1,3,40,32,1280,1/8,0.115026728081（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,1280
N300-F135,300,100lambda0,"25,5","100,50,20,10,4,2",1,4,30,64,1920,1/10,0.10241638235（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,1920
N300-F136,300,100lambda0,"25,5","100,50,20,10,4,2",1,5,12,128,1536,1/12,0.0932147493387（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,1536
N300-F137,300,100lambda0,"25,5","100,50,20,10,4,2",1,6,2,256,512,1/14,0.0861186642608（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,512
N300-F138,300,100lambda0,"25,5","100,50,20,10,4,2",2,0,1,8,8,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,16
N300-F139,300,100lambda0,"25,5","100,50,20,10,4,2",2,1,6,16,96,1/3,0.195913276015（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,96
N300-F140,300,100lambda0,"25,5","100,50,20,10,4,2",2,2,15,32,480,1/4,1/6,成立,12,+1/3,-1/3 (=2/3),0.75,粒子・反粒子の共役方向対（+住所 / -住所）,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,960
N300-F141,300,100lambda0,"25,5","100,50,20,10,4,2",2,3,20,64,1280,1/5,0.14758361765（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,1280
N300-F142,300,100lambda0,"25,5","100,50,20,10,4,2",2,4,15,128,1920,1/6,0.133860236401（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,1920
N300-F143,300,100lambda0,"25,5","100,50,20,10,4,2",2,5,6,256,1536,1/7,0.123375857214（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,1536
N300-F144,300,100lambda0,"25,5","100,50,20,10,4,2",2,6,1,512,512,1/8,0.115026728081（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,512
N300-F145,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",0,0,1,2,2,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,内部倍音なし（スピン型未分類）,2
N300-F146,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",0,1,6,4,24,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,24
N300-F147,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",0,2,15,8,120,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,120
N300-F148,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",0,3,20,16,320,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,320
N300-F149,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",0,4,15,32,480,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,480
N300-F150,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",0,5,6,64,384,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,384
N300-F151,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",0,6,1,128,128,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,128
N300-F152,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",1,0,5,4,20,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,40
N300-F153,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",1,1,30,8,240,1/4,1/6,成立,12,+1/3,-1/3 (=2/3),0.75,粒子・反粒子の共役方向対（+住所 / -住所）,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,480
N300-F154,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",1,2,75,16,1200,1/6,0.133860236401（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,1200
N300-F155,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",1,3,100,32,3200,1/8,0.115026728081（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,3200
N300-F156,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",1,4,75,64,4800,1/10,0.10241638235（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,4800
N300-F157,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",1,5,30,128,3840,1/12,0.0932147493387（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,3840
N300-F158,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",1,6,5,256,1280,1/14,0.0861186642608（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,1280
N300-F159,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",2,0,10,8,80,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,160
N300-F160,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",2,1,60,16,960,1/3,0.195913276015（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,960
N300-F161,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",2,2,150,32,4800,1/4,1/6,成立,12,+1/3,-1/3 (=2/3),0.75,粒子・反粒子の共役方向対（+住所 / -住所）,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,9600
N300-F162,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",2,3,200,64,12800,1/5,0.14758361765（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,12800
N300-F163,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",2,4,150,128,19200,1/6,0.133860236401（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,19200
N300-F164,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",2,5,60,256,15360,1/7,0.123375857214（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,15360
N300-F165,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",2,6,10,512,5120,1/8,0.115026728081（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,5120
N300-F166,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",3,0,10,16,160,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,320
N300-F167,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",3,1,60,32,1920,3/8,0.209784688372（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,1920
N300-F168,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",3,2,150,64,9600,3/10,0.184505059783（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,9600
N300-F169,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",3,3,200,128,25600,1/4,1/6,成立,12,+1/3,-1/3 (=2/3),0.75,粒子・反粒子の共役方向対（+住所 / -住所）,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,51200
N300-F170,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",3,4,150,256,38400,3/14,0.153194709503（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,38400
N300-F171,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",3,5,60,512,30720,3/16,0.142549479296（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,30720
N300-F172,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",3,6,10,1024,10240,1/6,0.133860236401（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,10240
N300-F173,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",4,0,5,32,160,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,320
N300-F174,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",4,1,30,64,1920,2/5,0.217952891576（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,1920
N300-F175,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",4,2,75,128,9600,1/3,0.195913276015（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,9600
N300-F176,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",4,3,100,256,25600,2/7,0.179508517986（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,25600
N300-F177,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",4,4,75,512,38400,1/4,1/6,成立,12,+1/3,-1/3 (=2/3),0.75,粒子・反粒子の共役方向対（+住所 / -住所）,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,76800
N300-F178,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",4,5,30,1024,30720,2/9,0.156252809456（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,30720
N300-F179,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",4,6,5,2048,10240,1/5,0.14758361765（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,10240
N300-F180,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",5,0,1,64,64,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,128
N300-F181,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",5,1,6,128,768,5/12,0.223349810481（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,768
N300-F182,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",5,2,15,256,3840,5/14,0.203884584447（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,3840
N300-F183,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",5,3,20,512,10240,5/16,0.18882135323（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,10240
N300-F184,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",5,4,15,1024,15360,5/18,0.176700555663（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,15360
N300-F185,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",5,5,6,2048,12288,1/4,1/6,成立,12,+1/3,-1/3 (=2/3),0.75,粒子・反粒子の共役方向対（+住所 / -住所）,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,24576
N300-F186,300,150lambda0,"75,25,15,5,3","150,50,30,10,6,2",5,6,1,4096,4096,5/22,0.158178524581（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,4096
N300-F187,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",0,0,1,2,2,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,内部倍音なし（スピン型未分類）,2
N300-F188,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",0,1,12,4,48,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,48
N300-F189,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",0,2,66,8,528,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,528
N300-F190,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",0,3,220,16,3520,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,3520
N300-F191,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",0,4,495,32,15840,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,15840
N300-F192,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",0,5,792,64,50688,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,50688
N300-F193,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",0,6,924,128,118272,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,118272
N300-F194,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",0,7,792,256,202752,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,202752
N300-F195,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",0,8,495,512,253440,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,253440
N300-F196,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",0,9,220,1024,225280,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,225280
N300-F197,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",0,10,66,2048,135168,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,135168
N300-F198,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",0,11,12,4096,49152,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,49152
N300-F199,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",0,12,1,8192,8192,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,8192
N300-F200,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",1,0,5,4,20,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,40
N300-F201,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",1,1,60,8,480,1/4,1/6,成立,12,+1/3,-1/3 (=2/3),0.75,粒子・反粒子の共役方向対（+住所 / -住所）,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,960
N300-F202,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",1,2,330,16,5280,1/6,0.133860236401（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,5280
N300-F203,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",1,3,1100,32,35200,1/8,0.115026728081（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,35200
N300-F204,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",1,4,2475,64,158400,1/10,0.10241638235（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,158400
N300-F205,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",1,5,3960,128,506880,1/12,0.0932147493387（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,506880
N300-F206,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",1,6,4620,256,1182720,1/14,0.0861186642608（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,1182720
N300-F207,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",1,7,3960,512,2027520,1/16,0.0804306232552（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,2027520
N300-F208,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",1,8,2475,1024,2534400,1/18,0.0757390123631（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,2534400
N300-F209,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",1,9,1100,2048,2252800,1/20,0.0717831465644（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,2252800
N300-F210,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",1,10,330,4096,1351680,1/22,0.0683888259129（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,1351680
N300-F211,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",1,11,60,8192,491520,1/24,0.0654346230808（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,491520
N300-F212,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",1,12,5,16384,81920,1/26,0.062832958189（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,81920
N300-F213,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",2,0,10,8,80,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,160
N300-F214,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",2,1,120,16,1920,1/3,0.195913276015（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,1920
N300-F215,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",2,2,660,32,21120,1/4,1/6,成立,12,+1/3,-1/3 (=2/3),0.75,粒子・反粒子の共役方向対（+住所 / -住所）,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,42240
N300-F216,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",2,3,2200,64,140800,1/5,0.14758361765（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,140800
N300-F217,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",2,4,4950,128,633600,1/6,0.133860236401（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,633600
N300-F218,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",2,5,7920,256,2027520,1/7,0.123375857214（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,2027520
N300-F219,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",2,6,9240,512,4730880,1/8,0.115026728081（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,4730880
N300-F220,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",2,7,7920,1024,8110080,1/9,0.108173447969（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,8110080
N300-F221,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",2,8,4950,2048,10137600,1/10,0.10241638235（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,10137600
N300-F222,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",2,9,2200,4096,9011200,1/11,0.0974911145211（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,9011200
N300-F223,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",2,10,660,8192,5406720,1/12,0.0932147493387（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,5406720
N300-F224,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",2,11,120,16384,1966080,1/13,0.089456187511（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,1966080
N300-F225,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",2,12,10,32768,327680,1/14,0.0861186642608（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,327680
