protocol,step,particle,C_memory,delta_C_memory_forward,actual_Ra,predicted_Ra_from_delta_C,balance_error
ramp_duration_2,43,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,44,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,44,B,3.8e-06,0.0,1.0339757656912846e-23,-0.0,1.0339757656912846e-23
ramp_duration_2,45,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,45,B,3.8e-06,0.0,-1.0339757656912846e-23,-0.0,-1.0339757656912846e-23
ramp_duration_2,46,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,46,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,1,A,0.0,0.0,0.0,0.0,0.0
ramp_duration_4,1,B,0.0,0.0,0.0,-0.0,0.0
ramp_duration_4,2,A,0.0,0.0,0.0,0.0,0.0
ramp_duration_4,2,B,0.0,0.0,0.0,-0.0,0.0
ramp_duration_4,3,A,0.0,0.0,0.0,0.0,0.0
ramp_duration_4,3,B,0.0,0.0,0.0,-0.0,0.0
ramp_duration_4,4,A,0.0,9.5e-07,5.792682926829269e-10,5.792682926829269e-10,0.0
ramp_duration_4,4,B,0.0,9.5e-07,-5.792682926829269e-10,-5.792682926829269e-10,0.0
ramp_duration_4,5,A,9.5e-07,9.5e-07,5.792682926829269e-10,5.792682926829269e-10,0.0
ramp_duration_4,5,B,9.5e-07,9.5e-07,-5.792682926829269e-10,-5.792682926829269e-10,0.0
ramp_duration_4,6,A,1.9e-06,9.499999999999998e-07,5.792682926829264e-10,5.792682926829268e-10,-3.101927297073854e-25
ramp_duration_4,6,B,1.9e-06,9.499999999999998e-07,-5.792682926829269e-10,-5.792682926829268e-10,-1.0339757656912846e-25
ramp_duration_4,7,A,2.85e-06,9.500000000000002e-07,5.792682926829273e-10,5.79268292682927e-10,3.101927297073854e-25
ramp_duration_4,7,B,2.85e-06,9.500000000000002e-07,-5.792682926829269e-10,-5.79268292682927e-10,1.0339757656912846e-25
ramp_duration_4,8,A,3.8e-06,0.0,8.271806125530277e-25,0.0,8.271806125530277e-25
ramp_duration_4,8,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,9,A,3.8e-06,0.0,-1.6543612251060553e-24,0.0,-1.6543612251060553e-24
ramp_duration_4,9,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,10,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,10,B,3.8e-06,0.0,1.2924697071141057e-24,-0.0,1.2924697071141057e-24
ramp_duration_4,11,A,3.8e-06,0.0,0.0,0.0,0.0
