candidate,fit_valid,loglog_slope,power_candidate_alpha,loglog_intercept,log_rmse,case_count,min_value,max_value,frequency_ratio,amplitude_ratio,phase_shift_deg,readout_mode,filter,candidate_kind,alpha_near_positive_2
native_max_epsilon_c,True,5.699103839527372e-17,-5.699103839527372e-17,0.0027591623512343076,2.0429453263453612e-16,7,1.002762972342997,1.0027629723429974,0.75,0.75,15.0,readout_off,area_valid,native,False
max_abs_A_chi_tau,True,2.0,-2.0,0.8505002502459277,5.878493502530302e-16,7,0.0007130538033801999,2.5669936921687206,0.75,0.75,15.0,readout_off,area_valid,area,False
inv_A_chi_tau_constructed_control,True,-2.0,2.0,-0.8505002502459277,5.878493502530302e-16,7,0.3895607546877731,1402.4187168759838,0.75,0.75,15.0,readout_off,area_valid,constructed_reciprocal_control,True
derived_f_AB_over_A,True,-0.9999999999999987,0.9999999999999987,-6.303799486645597,2.0001629267689283e-15,7,0.0017468919758537379,0.10481351855122432,0.75,0.75,15.0,readout_off,area_valid,derived_ratio,False
derived_Q_raw_over_A,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_off,area_valid,derived_ratio,False
derived_envelope_over_A,True,-1.0807189503103756e-16,1.0807189503103756e-16,-0.8505002502459273,1.9229626863835638e-16,7,0.4272011709953487,0.427201170995349,0.75,0.75,15.0,readout_off,area_valid,derived_ratio,False
native_max_f_AB,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_off,c1_surface_like,native,False
native_max_Q_raw,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_off,c1_surface_like,native,False
native_max_closure_relaxation,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_off,c1_surface_like,native,False
native_max_envelope_V_AB,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_off,c1_surface_like,native,False
native_max_V_AB,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_off,c1_surface_like,native,False
native_max_epsilon_c,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_off,c1_surface_like,native,False
max_abs_A_chi_tau,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_off,c1_surface_like,area,False
inv_A_chi_tau_constructed_control,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_off,c1_surface_like,constructed_reciprocal_control,False
derived_f_AB_over_A,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_off,c1_surface_like,derived_ratio,False
derived_Q_raw_over_A,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_off,c1_surface_like,derived_ratio,False
derived_envelope_over_A,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_off,c1_surface_like,derived_ratio,False
native_max_f_AB,True,1.0000000000000002,-1.0000000000000002,-5.453299236399671,6.713997766802521e-16,7,7.473767804861164e-05,0.004484260682916698,0.75,0.75,15.0,readout_normal,area_valid,native,False
native_max_Q_raw,True,2.0000000000000018,-2.0000000000000018,-9.680344001221915,2.5121479338940403e-15,7,1.9038588736669286e-08,6.853891945200942e-05,0.75,0.75,15.0,readout_normal,area_valid,native,False
native_max_closure_relaxation,True,2.0000000000000018,-2.0000000000000018,-9.680344001221915,2.5121479338940403e-15,7,1.9038588736669286e-08,6.853891945200942e-05,0.75,0.75,15.0,readout_normal,area_valid,native,False
native_max_envelope_V_AB,True,2.0000000000000004,-2.0000000000000004,0.0,1.0780485463549486e-15,7,0.00030461741978670857,1.0966227112321507,0.75,0.75,15.0,readout_normal,area_valid,native,False
native_max_V_AB,True,2.0000000000000004,-2.0000000000000004,0.0,1.0780485463549486e-15,7,0.00030461741978670857,1.0966227112321507,0.75,0.75,15.0,readout_normal,area_valid,native,False
native_max_epsilon_c,True,1.1820363519019733e-17,-1.1820363519019733e-17,0.0035080961474322466,2.1853495766510382e-16,7,1.003514256718574,1.0035142567185744,0.75,0.75,15.0,readout_normal,area_valid,native,False
max_abs_A_chi_tau,True,1.9999999999999998,-1.9999999999999998,0.8310572908000319,1.1072452194645388e-15,7,0.0006993238353284225,2.5175658071823217,0.75,0.75,15.0,readout_normal,area_valid,area,False
