deviation_deg,deviation_rad,frequency_ratio,amplitude_ratio,phase_shift_deg,readout_mode,per_step_leak,max_abs_A_chi_tau,inv_A_chi_tau_constructed_control,rank_chi_tau,max_epsilon_c_abs,area_valid,c1_like,c1_surface_like,native_max_f_AB,native_max_Q_raw,native_max_closure_relaxation,native_max_envelope_V_AB,native_max_V_AB,native_max_epsilon_c,derived_f_AB_over_A,derived_Q_raw_over_A,derived_envelope_over_A,decay_rate_envelope,tau_is_step_used,external_c_used,absolute_background_axis_used,f_A_or_f_B_used
10.0,0.17453292519943295,1.0,0.75,15.0,readout_off,0.0,0.06927867003664305,14.434457235842972,2,0.33333333333333637,True,False,False,0.0007473767804861164,0.0,0.0,0.030461741978670867,0.030461741978670857,0.33333333333333637,0.010787978176988847,0.0,0.4396987119204073,-4.4544900995234305e-18,False,False,False,False
10.0,0.17453292519943295,1.0,0.75,15.0,readout_normal,5e-05,0.06894718570241608,14.50385523081557,2,0.33431830779996874,True,False,False,0.0007473767804861164,1.9038588736669286e-06,1.9038588736669286e-06,0.030461741978670857,0.030461741978670857,0.33431830779996874,0.01083984462704366,2.7613293483568724e-05,0.4418126957370996,-0.00010000250008333112,False,False,False,False
10.0,0.17453292519943295,1.0,0.75,15.0,readout_strong,0.0002,0.06796525316758112,14.713400648038666,2,0.33727786262908266,True,False,False,0.0007473767804861164,7.6154354946677146e-06,7.6154354946677146e-06,0.030461741978670857,0.030461741978670857,0.33727786262908266,0.010996454006333476,0.00011204895354234061,0.4481958141693624,-0.0004000400053340933,False,False,False,False
10.0,0.17453292519943295,1.0,0.75,30.0,readout_off,0.0,0.06211355629927806,16.099545084518414,2,0.3333333333333359,True,False,False,0.0007473767804861164,0.0,0.0,0.030461741978670867,0.030461741978670857,0.3333333333333359,0.012032426172558454,0.0,0.49042018833857887,-4.4544900995234305e-18,False,False,False,False
10.0,0.17453292519943295,1.0,0.75,30.0,readout_normal,5e-05,0.06181635557580217,16.17694849017348,2,0.3342164033981283,True,False,False,0.0007473767804861164,1.9038588736669286e-06,1.9038588736669286e-06,0.030461741978670857,0.030461741978670857,0.3342164033981283,0.012090275680675597,3.0798626931869604e-05,0.4927780309099137,-0.00010000250008333112,False,False,False,False
10.0,0.17453292519943295,1.0,0.75,30.0,readout_strong,0.0002,0.06093597894974534,16.410666034014362,2,0.3368693510865266,True,False,False,0.0007473767804861164,7.6154354946677146e-06,7.6154354946677146e-06,0.030461741978670857,0.030461741978670857,0.3368693510865266,0.012264950746134519,0.00012497436860657083,0.4998974744262833,-0.0004000400053340933,False,False,False,False
10.0,0.17453292519943295,1.0,0.75,45.0,readout_off,0.0,0.05071550634762251,19.717835274001537,2,0.3333333333333355,True,False,False,0.0007473767804861164,0.0,0.0,0.030461741978670867,0.030461741978670857,0.3333333333333355,0.01473665224523885,0.0,0.6006396104945698,-4.4544900995234305e-18,False,False,False,False
10.0,0.17453292519943295,1.0,0.75,45.0,readout_normal,5e-05,0.05047284297305499,19.812634698105903,2,0.3340543130962508,True,False,False,0.0007473767804861164,1.9038588736669286e-06,1.9038588736669286e-06,0.030461741978670857,0.030461741978670857,0.3340543130962508,0.01480750313361791,3.7720460380710217e-05,0.6035273660913634,-0.00010000250008333112,False,False,False,False
10.0,0.17453292519943295,1.0,0.75,45.0,readout_strong,0.0002,0.04975401846795097,20.098879061279234,2,0.33621977010355897,True,False,False,0.0007473767804861164,7.6154354946677146e-06,7.6154354946677146e-06,0.030461741978670857,0.030461741978670857,0.33621977010355897,0.015021435524198691,0.0001530617170062996,0.6122468680251983,-0.0004000400053340933,False,False,False,False
10.0,0.17453292519943295,1.0,0.75,60.0,readout_off,0.0,0.03586127844971332,27.88523006513155,2,0.3333333333333348,True,False,False,0.0007473767804861164,0.0,0.0,0.030461741978670867,0.030461741978670857,0.3333333333333348,0.020840773469192678,0.0,0.8494326832599127,-4.4544900995234305e-18,False,False,False,False
10.0,0.17453292519943295,1.0,0.75,60.0,readout_normal,5e-05,0.03568968953201107,28.019296696405057,2,0.3338431025787967,True,False,False,0.0007473767804861164,1.9038588736669286e-06,1.9038588736669286e-06,0.030461741978670857,0.030461741978670857,0.3338431025787967,0.02094097175644449,5.334478664935723e-05,0.8535165863897156,-0.00010000250008333112,False,False,False,False
10.0,0.17453292519943295,1.0,0.75,60.0,readout_strong,0.0002,0.03518140384996882,28.42410735695774,2,0.3353737012558584,True,False,False,0.0007473767804861164,7.6154354946677146e-06,7.6154354946677146e-06,0.030461741978670857,0.030461741978670857,0.3353737012558584,0.02124351784463481,0.00021646195607042168,0.8658478242816867,-0.0004000400053340933,False,False,False,False
10.0,0.17453292519943295,1.0,0.75,75.0,readout_off,0.0,0.01856316368902089,53.87012778384571,2,0.3333333333333346,True,False,False,0.0007473767804861164,0.0,0.0,0.030461741978670867,0.030461741978670857,0.3333333333333346,0.04026128266746629,0.0,1.6409779329095366,-4.4544900995234305e-18,False,False,False,False
10.0,0.17453292519943295,1.0,0.75,75.0,readout_normal,5e-05,0.018474342729360993,54.12912462702747,2,0.3335971849597825,True,False,False,0.0007473767804861164,1.9038588736669286e-06,1.9038588736669286e-06,0.030461741978670857,0.030461741978670857,0.3335971849597825,0.04045485089427955,0.00010305421424498932,1.6488674279198292,-0.00010000250008333112,False,False,False,False
10.0,0.17453292519943295,1.0,0.75,75.0,readout_strong,0.0002,0.01821123469963004,54.91115877059752,2,0.3343891143879947,True,False,False,0.0007473767804861164,7.6154354946677146e-06,7.6154354946677146e-06,0.030461741978670857,0.030461741978670857,0.3343891143879947,0.041039325054731145,0.00041817238755494275,1.6726895502197707,-0.0004000400053340933,False,False,False,False
