eigen_index,mu,sigma,sigma_over_sigma1,abs_sigma_over_eps_normK,pair_id,cluster_id,solver_residual
720,1.03365034712667623e-14,1.03365034712667623e-14,2.65688035179335835e-16,1.19655253623045699e+00,59,-1,1.57293337480679010e-14
719,1.02624659397147475e-14,1.02624659397147475e-14,2.63784984854604266e-16,1.18798195949712859e+00,60,-1,1.72564445774377230e-14
63,-1.01190051645733371e-14,1.01190051645733371e-14,2.60097489215621584e-16,1.17137495551147586e+00,63,-1,1.46552953489538921e-14
718,1.00960374836385148e-14,1.00960374836385148e-14,2.59507131166871144e-16,1.16871621922310820e+00,61,-1,1.74832271697717916e-14
64,-1.00412196364860258e-14,1.00412196364860258e-14,2.58098100913730724e-16,1.16237051110011125e+00,64,-1,1.48535427333063392e-14
65,-1.00410547054117594e-14,1.00410547054117594e-14,2.58093861548534957e-16,1.16235141869659531e+00,65,-1,1.89050704623830282e-14
66,-9.95804617468159214e-15,9.95804617468159214e-15,2.55960221919415907e-16,1.15274236005795183e+00,66,-1,1.56083554574688817e-14
717,9.71403204405539687e-15,9.71403204405539687e-15,2.49688116937079719e-16,1.12449531039667394e+00,62,-1,1.58012894979524462e-14
67,-9.69491387613331750e-15,9.69491387613331750e-15,2.49196706230783731e-16,1.12228219332291346e+00,67,-1,1.41690119037010884e-14
68,-9.66008128703857942e-15,9.66008128703857942e-15,2.48301374247147697e-16,1.11824997653503733e+00,68,-1,1.46567986032827718e-14
716,9.64842436427060255e-15,9.64842436427060255e-15,2.48001746339599431e-16,1.11690057240225316e+00,63,-1,1.60800216992825360e-14
715,9.49193501217373885e-15,9.49193501217373885e-15,2.43979365986254699e-16,1.09878538174178741e+00,64,-1,1.66996913700798843e-14
69,-9.44523046513373062e-15,9.44523046513373062e-15,2.42778878861039250e-16,1.09337886837200404e+00,69,-1,1.54588441211202813e-14
70,-9.24604740622445659e-15,9.24604740622445659e-15,2.37659105457032495e-16,1.07032145877749785e+00,70,-1,1.43440047549064801e-14
714,9.23478702451676518e-15,9.23478702451676518e-15,2.37369670185269466e-16,1.06901795819543777e+00,65,-1,1.58769860213690720e-14
713,9.20610403684166156e-15,9.20610403684166156e-15,2.36632406693832987e-16,1.06569761861013057e+00,66,-1,1.92016880636529673e-14
712,9.14547367148413768e-15,9.14547367148413768e-15,2.35073972288153688e-16,1.05867905400143192e+00,67,-1,1.57971062065771971e-14
71,-9.08329870687949990e-15,9.08329870687949990e-15,2.33475835720109123e-16,1.05148168674909925e+00,71,-1,1.49324400194571960e-14
72,-9.00688939908728243e-15,9.00688939908728243e-15,2.31511821591621645e-16,1.04263655345189288e+00,72,-1,1.61103877868182888e-14
73,-8.90763353625273410e-15,8.90763353625273410e-15,2.28960562817332389e-16,1.03114670538667808e+00,73,-1,1.44304659281551079e-14
711,8.87419076295729813e-15,8.87419076295729813e-15,2.28100954464032690e-16,1.02727537352707277e+00,68,-1,1.47577480082456727e-14
710,8.85731235051410768e-15,8.85731235051410768e-15,2.27667114118364207e-16,1.02532153030798212e+00,69,-1,1.51894655596338371e-14
709,8.78045515396368209e-15,8.78045515396368209e-15,2.25691587520067424e-16,1.01642454945603200e+00,70,-1,1.62053679766801819e-14
74,-8.77848601919818552e-15,8.77848601919818552e-15,2.25640973156293202e-16,1.01619660262619904e+00,74,-1,1.30599008579701462e-14
75,-8.63331927615658345e-15,8.63331927615658345e-15,2.21909627557723993e-16,9.99392115978891993e-01,75,-1,1.35198537824405052e-14
76,-8.45834677368504900e-15,8.45834677368504900e-15,2.17412158900039074e-16,9.79137317808031815e-01,76,-1,1.40660488068442535e-14
708,8.45307453070918427e-15,8.45307453070918427e-15,2.17276641906198823e-16,9.78527003525070382e-01,71,-1,1.51364619441249334e-14
