case_id,candidate_kind,base_phase,epsilon,phi,phi_over_pi,s0,stability_gain,pre_steps,C_mode,C_g,C_gain,S_start,Q_start,C_A_start,C_B_start,C_sign_start,g_D,D_visibility,D_backaction_scale,D_gain,baseline_outcome,baseline_phase_after,baseline_S_mean_after,baseline_S_amp_after,D_outcome,phase_after_D,S_mean_after_D,S_amp_after_D,S_drift_after_D,S_final_after_D,D_A_mean_tail,D_B_mean_tail,Q_max_error_after_D,D_induced_selection,D_vs_C_agreement
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,record_only,1.0,0.0,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,1.0,0.9803921568627451,0.02,0.02,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,unresolved,unstable_or_drifting,-0.851183439909813,0.0,0.0,-0.851183439909813,0.519860340573544,0.4801396594264559,6.661338147750939e-16,False,D_selected_from_small_S
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,record_only,1.0,0.0,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,1.0,0.9803921568627451,0.05,0.05,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,unresolved,unstable_or_drifting,0.9061059725968597,0.0,0.0,0.9061059725968597,0.9441695944102251,0.0558304055897747,6.661338147750939e-16,False,D_selected_from_small_S
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,record_only,1.0,0.0,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,1.0,0.9803921568627451,0.1,0.1,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,white_selected,natural_selection,0.9841557721757919,0.0,0.0,0.9841557721757919,0.9824293000861725,0.017570699913827533,6.661338147750939e-16,True,D_selected_from_small_S
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,record_only,1.0,0.0,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,1.0,0.9803921568627451,0.2,0.2,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,white_selected,natural_selection,0.9974665558537763,0.0,0.0,0.9974665558537763,0.9889541940459684,0.011045805954031263,4.440892098500626e-16,True,D_selected_from_small_S
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,record_only,1.0,0.0,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,1.0,0.9803921568627451,0.5,0.5,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,white_selected,natural_selection,0.9999946542329294,0.0,0.0,0.9999946542329294,0.9901934579573182,0.009806542042681665,4.440892098500626e-16,True,D_selected_from_small_S
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,record_only,1.0,0.0,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,1.0,0.9803921568627451,1.0,1.0,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,white_selected,natural_selection,0.9999999999989999,0.0,0.0,0.9999999999989999,0.9901960784308823,0.00980392156911769,4.440892098500626e-16,True,D_selected_from_small_S
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,weak_C_window,1.0,1e-05,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,0.0,0.0,0.0,0.0,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,0.0,-0.0198578545264938,0.5,0.5,4.440892098500626e-16,False,gray_kept
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,weak_C_window,1.0,1e-05,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,0.0,0.0,0.02,0.0,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,0.0,-0.0198578545264938,0.5,0.5,4.440892098500626e-16,False,gray_kept
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,weak_C_window,1.0,1e-05,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,0.0,0.0,0.05,0.0,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,0.0,-0.0198578545264938,0.5,0.5,4.440892098500626e-16,False,gray_kept
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,weak_C_window,1.0,1e-05,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,0.0,0.0,0.1,0.0,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,0.0,-0.0198578545264938,0.5,0.5,4.440892098500626e-16,False,gray_kept
