phase_model,correction,delta_max,closure_global_abs,closure_pair_rms,closure_pair_max,transmission_leakage,reflection_rate,max_remaining_delta,rms_remaining_delta
mixed_smooth,cubic,0.04,9.343297206760868e-08,6.114132872097918e-06,1.5347191541404266e-05,2.335877551290235e-08,0.9999999766412242,0.0007658449790122271,0.0003056715616865987
mixed_smooth,full,0.04,1.2130688578843068e-17,1.010478022208332e-18,1.7329555112632954e-18,0.0,0.9999999999999998,0.0,0.0
rippled_random_like,none,0.04,0.013039912637259692,0.00036234110716791405,0.0008001359128125258,8.20379239697346e-05,0.99991796207603,0.04,0.01811576464047877
rippled_random_like,constant,0.04,0.000200161956566047,0.00025143898195437625,0.0005393109613301919,3.9514231119720606e-05,0.9999604857688802,0.026957043372692037,0.012572279464257242
rippled_random_like,linear,0.04,0.00016658136956887177,0.00020589818761173343,0.00044395600374213406,2.6484642124839394e-05,0.9999735153578749,0.022189932669929364,0.010292764227581923
rippled_random_like,affine,0.04,0.00010586416854258519,0.00020583061539781555,0.0004443196852070567,2.6467589615432046e-05,0.9999735324103844,0.022208113286004277,0.010289449670412797
rippled_random_like,quadratic,0.04,9.895480289323005e-05,0.00019897488168668862,0.00041094991883997803,2.474021270713577e-05,0.9999752597872927,0.020539971975940194,0.009948001342483479
rippled_random_like,cubic,0.04,4.93829185267112e-05,0.00014057562848958683,0.0002732658901142679,1.2346221803751467e-05,0.999987653778196,0.013636747498151632,0.007027467951331418
rippled_random_like,full,0.04,1.2130688578843068e-17,1.010478022208332e-18,1.7329555112632954e-18,0.0,0.9999999999999998,0.0,0.0
linear,none,0.08,0.04040665927898453,0.0009339545593488154,0.0016046095907674817,0.0005448158356800459,0.9994551841643199,0.08,0.046690205798339435
linear,constant,0.08,0.0008158133584270807,0.0004665650687483301,0.0007940156680967132,0.00013602990292028053,0.9998639700970798,0.03963708360269281,0.023327322891338837
linear,linear,0.08,6.924764586266563e-18,7.742122171537621e-19,1.7311911465666407e-18,0.0,1.0000000000000002,0.0,0.0
linear,affine,0.08,1.5447208185156006e-17,8.598646047223688e-19,1.8524989932862318e-18,8.869677653209528e-35,1.0000000000000002,3.426078865054194e-17,1.8835793217392814e-17
linear,quadratic,0.08,2.5013142029455576e-17,9.918529315784345e-19,2.0706841367898983e-18,2.382439259103891e-34,1.0000000000000002,5.551115123125783e-17,3.087030456023323e-17
linear,cubic,0.08,8.255478604024462e-18,7.874061322915868e-19,1.752196418088122e-18,1.3718494658548463e-35,1.0000000000000002,1.3877787807814457e-17,7.407697255840971e-18
linear,full,0.08,6.924764586266563e-18,7.742122171537621e-19,1.7311911465666407e-18,0.0,1.0000000000000002,0.0,0.0
quadratic_area,none,0.08,0.027225195455797446,0.0007311955339957979,0.0016046095907674817,0.0003336871485585416,0.9996663128514416,0.08,0.036539844894962786
quadratic_area,constant,0.08,0.0008670602721616993,0.0004870531682039476,0.001058683921696665,0.00014813801821856226,0.9998518619817816,0.05275030853135888,0.024343676382416145
quadratic_area,linear,0.08,0.00340373527782268,0.00018254235240666025,0.00038901453051578633,2.0814799266612392e-05,0.9999791852007335,0.019375381101330504,0.009124705339248834
quadratic_area,affine,0.08,3.694864524277875e-05,0.00012159002600903509,0.0002565969424383119,9.237597187594272e-06,0.9999907624028124,0.01281219508773518,0.006078703091207231
quadratic_area,quadratic,0.08,7.639563692487986e-18,8.026875267047369e-19,1.7721272553365248e-18,2.934918598069649e-35,1.0000000000000002,2.045923380798037e-17,1.083497779982894e-17
quadratic_area,cubic,0.08,1.4626443988958783e-17,8.444365276622943e-19,1.8306182490469513e-18,6.730420666946613e-35,1.0000000000000002,4.163336342344337e-17,1.6407828213321364e-17
quadratic_area,full,0.08,6.924764586266563e-18,7.742122171537621e-19,1.7311911465666407e-18,0.0,1.0000000000000002,0.0,0.0
cubic_high,none,0.08,0.020632148850345082,0.0006243463446681644,0.0016046095907674817,0.00024319303318644605,0.9997568069668136,0.08,0.031194045876416863
cubic_high,constant,0.08,0.0007961597628189089,0.0004678721399723244,0.0011909904456568888,0.000136643213922291,0.9998633567860777,0.05934997299509133,0.023380438037738784
cubic_high,linear,0.08,0.004129770336393038,0.0002493814335827072,0.0006224052150527481,3.883095628942759e-05,0.9999611690437106,0.03100273827010345,0.012463086946152143
cubic_high,affine,0.08,8.72749512246494e-05,0.00018692204509563711,0.0004619338661977541,2.1821149765848384e-05,0.9999781788502342,0.023007815032511585,0.009342701151340827
cubic_high,quadratic,0.08,2.414246392922068e-06,3.108371996468089e-05,7.307927213155185e-05,6.037127076489232e-07,0.9999993962872923,0.0036496965755256853,0.0015539793935667122
cubic_high,cubic,0.08,7.373920674232783e-18,8.154019517205227e-19,1.761985637300211e-18,4.170725016893796e-35,1.0000000000000002,2.7755575615628914e-17,1.2916230126308211e-17
cubic_high,full,0.08,6.924764586266563e-18,7.742122171537621e-19,1.7311911465666407e-18,0.0,1.0000000000000002,0.0,0.0
quartic_edge,none,0.08,0.01667538084913478,0.0005561803417382332,0.0016046095907674817,0.00019294140729251912,0.9998070585927076,0.08,0.027784908530340813
quartic_edge,constant,0.08,0.0007174908486496283,0.00044458734472504867,0.001270364357623677,0.00012334632661510135,0.999876653673385,0.06331049668815078,0.0222139960665158
quartic_edge,linear,0.08,0.0041750041277999516,0.00027769113525342515,0.0007779565625247347,4.813203634220298e-05,0.9999518679636579,0.03875442723655566,0.013875784012952579
quartic_edge,affine,0.08,0.00012309345838952304,0.00022203391574498457,0.0006159061639806641,3.07781603460794e-05,0.999969221839654,0.030678910728740932,0.01109577326598123
quartic_edge,quadratic,0.08,1.0012790663230082e-05,6.331243789894595e-05,0.00016706283037811668,2.503685845004339e-06,0.999997496314155,0.008320359720802611,0.0031646111323252075
quartic_edge,cubic,0.08,1.554184146033039e-07,7.886050873588044e-06,1.94011041999649e-05,3.8858590020054014e-08,0.99999996114141,0.0009690723271976267,0.00039425165174694
quartic_edge,full,0.08,6.924764586266563e-18,7.742122171537621e-19,1.7311911465666407e-18,0.0,1.0000000000000002,0.0,0.0
alternating_linear,none,0.08,0.0023144547469334913,0.0009339545593488153,0.0016046095907674817,0.0005448158356800459,0.9994551841643199,0.08,0.046690205798339435
alternating_linear,constant,0.08,0.002160068549186951,0.0009338130416133735,0.001588369631756124,0.0005446514337690408,0.999455348566231,0.07919520911245785,0.046683155367134604
