tau,f
537,1.1652658379734776e-19
538,1.2075856778053333e-19
539,1.2514425405139745e-19
540,1.2968922762589234e-19
541,1.343992708896478e-19
542,1.3928038322393163e-19
543,1.4433877500053925e-19
544,1.4958088880792953e-19
545,1.5501339476284398e-19
546,1.6064320778405058e-19
547,1.66477495113693e-19
548,1.7252368295865417e-19
549,1.7878947399952608e-19
550,1.852828342423198e-19
551,1.9201203772514482e-19
552,1.989856477696492e-19
553,2.062125431103116e-19
554,2.1370191924744992e-19
555,2.214633118213119e-19
556,2.295066067632967e-19
557,2.378420391118939e-19
558,2.464802199234571e-19
559,2.5543214565813565e-19
560,2.6470920987188117e-19
561,2.7432322681737766e-19
562,2.8428643753921114e-19
563,2.9461151942763475e-19
564,3.053116181004291e-19
565,3.1640036008208746e-19
566,3.278918538873485e-19
567,3.398007373731115e-19
568,3.5214217087723803e-19
569,3.6493185888135305e-19
570,3.7818609028177124e-19
571,3.9192173883546354e-19
572,4.061562870116131e-19
573,4.209078596996791e-19
574,4.3619523210849335e-19
575,4.520378691811349e-19
576,4.684559425344842e-19
577,4.854703529583147e-19
578,5.03102762987798e-19
579,5.213756216781676e-19
580,5.403121871193451e-19
581,5.599365709550176e-19
582,5.802737592823066e-19
583,6.0134964121729875e-19
584,6.23191054075986e-19
585,6.458257997437149e-19
586,6.69282700400508e-19
587,6.935916179985864e-19
588,7.18783494129622e-19
589,7.448904133977177e-19
590,7.719456070145172e-19
591,7.999835262995952e-19
592,8.290398657069501e-19
593,8.591516242128877e-19
594,8.903571325485727e-19
595,9.226961193370357e-19
596,9.56209775249779e-19
597,9.909407446277812e-19
598,1.0269332640422678e-18
599,1.0642331538984033e-18
600,1.102887906069666e-18
601,1.142946735132226e-18
602,1.1844606537767636e-18
603,1.2274825031730833e-18
604,1.27206706415594e-18
605,1.3182711119623997e-18
606,1.366153469971671e-18
607,1.4157750979978503e-18
608,1.4671991903786649e-18
609,1.5204912124771251e-18
610,1.5757190228151443e-18
611,1.6329529344495583e-18
612,1.6922658339047057e-18
613,1.7537332315683775e-18
614,1.8174333951774227e-18
615,1.8834474382239106e-18
616,1.951859404782732e-18
617,2.0227564028485796e-18
618,2.096228711141108e-18
619,2.1723698885817038e-18
620,2.2512768711495272e-18
621,2.333050139746327e-18
622,2.4177938153832804e-18
623,2.5056158165618622e-18
624,2.596627933179944e-18
625,2.6909460952127675e-18
626,2.788690372520684e-18
627,2.8899852253456203e-18
628,2.9949596528131826e-18
629,3.1037473105607654e-18
630,3.2164867116018034e-18
631,3.333321437728441e-18
632,3.454400252105417e-18
633,3.579877312910792e-18
634,3.7099124263601256e-18
635,3.844671157708294e-18
636,3.984325107439452e-18
637,4.129052112205067e-18
638,4.279036442767727e-18
639,4.4344691039242555e-18
640,4.5955480246952694e-18
641,4.762478312440023e-18
642,4.9354725339508924e-18
643,5.114750994117378e-18
644,5.3005419582070004e-18
645,5.493082034694746e-18
646,5.692616404210092e-18
647,5.899399172149123e-18
648,6.113693630630597e-18
649,6.335772662747695e-18
650,6.5659191156929905e-18
651,6.804425999038123e-18
652,7.051597071230356e-18
653,7.307747089209003e-18
654,7.573202253297186e-18
655,7.848300594295131e-18
656,8.133392422669582e-18
657,8.428840827941074e-18
658,8.735022040953292e-18
659,9.052325953781446e-18
660,9.38115664484017e-18
661,9.721932872642151e-18
662,1.0075088599897022e-17
663,1.0441073586950943e-17
664,1.0820353920316192e-17
665,1.1213412530198902e-17
666,1.1620750061791702e-17
667,1.2042885223593019e-17
668,1.2480355600349542e-17
669,1.293371830451222e-17
670,1.3403550721488192e-17
671,1.3890451183969986e-17
672,1.4395039738900217e-17
673,1.4917959029563093e-17
674,1.5459874993150025e-17
675,1.6021477743372814e-17
676,1.6603482549930528e-17
677,1.7206630578836285e-17
678,1.7831689976066585e-17
679,1.8479456762985406e-17
680,1.9150755952298713e-17
681,1.984644242176099e-17
682,2.0567402190538794e-17
683,2.131455342894449e-17
684,2.2088847724644385e-17
685,2.2891271149951055e-17
686,2.3722845648062046e-17
687,2.458463035071788e-17
688,2.547772276288628e-17
689,2.6403260292371776e-17
690,2.736242173726524e-17
691,2.8356428644311654e-17
692,2.938654702201128e-17
693,3.045408874651111e-17
694,3.1560413540106313e-17
695,3.270693033784352e-17
696,3.389509936263327e-17
697,3.512643396145273e-17
698,3.6402502306029355e-17
699,3.7724929691134066e-17
700,3.90954003119782e-17
701,4.0515659722504195e-17
702,4.198751678593018e-17
703,4.351284610301935e-17
704,4.509359039430534e-17
705,4.6731762977121694e-17
706,4.842945028843692e-17
707,5.0188814620943645e-17
708,5.201209684488155e-17
709,5.3901619116939257e-17
710,5.585978810975705e-17
711,5.788909790250696e-17
712,5.999213307854783e-17
713,6.217157228440082e-17
714,6.44301914245477e-17
715,6.677086720864857e-17
716,6.91965810706387e-17
717,7.17104225054849e-17
718,7.431559337851381e-17
719,7.701541194301446e-17
720,7.981331694923994e-17
721,8.271287207931582e-17
722,8.571777056843842e-17
723,8.883183981305446e-17
724,9.205904617804695e-17
725,9.540350033384393e-17
726,9.886946218095354e-17
727,1.0246134633039429e-16
728,1.0618372785602536e-16
729,1.1004134820856059e-16
730,1.1403912102512961e-16
731,1.1818213839886868e-16
732,1.2247567739940706e-16
733,1.2692520701856292e-16
734,1.3153639479764911e-16
735,1.3631511441266304e-16
736,1.4126745272253445e-16
737,1.463997178619498e-16
738,1.517184471522012e-16
739,1.5723041552678434e-16
740,1.6294264397248445e-16
741,1.6886240851201073e-16
742,1.7499724975949446e-16
743,1.8135498214918667e-16
744,1.8794370424641037e-16
745,1.9477180863753154e-16
746,2.0184799283453474e-16
747,2.091812709066341e-16
748,2.1678098364554886e-16
749,2.246568117914767e-16
750,2.328187876807337e-16
751,2.4127730816716125e-16
752,2.500431479258877e-16
753,2.591274731299276e-16
754,2.6854185559602246e-16
755,2.7829828779818727e-16
756,2.8840919779886546e-16
757,2.9888746513248083e-16
758,3.097464377422511e-16
759,3.209999482180462e-16
760,3.326623315575164e-16
761,3.4474844429592613e-16
762,3.5727368227349803e-16
763,3.7025400106133723e-16
764,3.8370593577874053e-16
765,3.9764662226926808e-16
766,4.1209381944911916e-16
767,4.270659310563574e-16
768,4.425820298767287e-16
769,4.586618817775189e-16
770,4.753259703097571e-16
771,4.92595523914342e-16
772,5.104925423361382e-16
773,5.290398244377018e-16
774,5.482609975238695e-16
775,5.681805475671538e-16
776,5.888238505031145e-16
777,6.102172038142809e-16
778,6.32387860952959e-16
779,6.553640657490546e-16
780,6.791750877103121e-16
781,7.038512606214364e-16
782,7.2942402019628e-16
783,7.559259443815852e-16
784,7.833907951490196e-16
785,8.118535609298769e-16
786,8.413505017646062e-16
787,8.719191950587574e-16
788,9.03598584384967e-16
