sweep_region,R,case_id,case_group,group_label,condition_kind,condition_id,readout_mode,tau_mode,condition_error,stability_depth,terrain_score,log10_terrain_score,depth,depth_plot
coarse,0.7481,near_pi_02deg,c1|near_pi_02deg,c1 near_pi_02deg,c1,near_pi_02deg|tau_disabled_control|readout_weak,readout_weak,tau_disabled_control,0.0,300.0,0.0,-300.0,300.0,6.0
coarse,0.7481,near_pi_02deg,c1|near_pi_02deg,c1 near_pi_02deg,c1,near_pi_02deg|tau_disabled_control|readout_normal,readout_normal,tau_disabled_control,0.0,300.0,0.0,-300.0,300.0,6.0
coarse,0.7481,near_pi_02deg,c1|near_pi_02deg,c1 near_pi_02deg,c1,near_pi_02deg|tau_disabled_control|readout_strong,readout_strong,tau_disabled_control,0.0,300.0,0.0,-300.0,300.0,6.0
coarse,0.7481,near_pi_02deg,c1|near_pi_02deg,c1 near_pi_02deg,c1,near_pi_02deg|tau_locked_0deg|readout_off,readout_off,tau_locked_0deg,0.0,300.0,0.0,-300.0,300.0,6.0
coarse,0.7481,near_pi_02deg,c1|near_pi_02deg,c1 near_pi_02deg,c1,near_pi_02deg|tau_locked_0deg|readout_weak,readout_weak,tau_locked_0deg,0.0,300.0,0.0,-300.0,300.0,6.0
coarse,0.7481,near_pi_02deg,c1|near_pi_02deg,c1 near_pi_02deg,c1,near_pi_02deg|tau_locked_0deg|readout_normal,readout_normal,tau_locked_0deg,0.0,300.0,0.0,-300.0,300.0,6.0
coarse,0.7481,near_pi_02deg,c1|near_pi_02deg,c1 near_pi_02deg,c1,near_pi_02deg|tau_locked_0deg|readout_strong,readout_strong,tau_locked_0deg,0.0,300.0,0.0,-300.0,300.0,6.0
coarse,0.7481,near_pi_02deg,c1|near_pi_02deg,c1 near_pi_02deg,c1,near_pi_02deg|tau_independent_c1|readout_off,readout_off,tau_independent_c1,0.0002220446049250313,3.653559774527022,7.197694027670476e-13,-12.14280661904997,12.14280661904997,6.0
coarse,0.7481,near_pi_02deg,c1|near_pi_02deg,c1 near_pi_02deg,c1,near_pi_02deg|tau_independent_c1|readout_weak,readout_weak,tau_independent_c1,15174110.03821856,-7.181103229116334,0.04918768516540887,-1.3081436154066148,1.3081436154066148,1.3081436154066148
coarse,0.7481,near_pi_02deg,c1|near_pi_02deg,c1 near_pi_02deg,c1,near_pi_02deg|tau_independent_c1|readout_normal,readout_normal,tau_independent_c1,75883885.74037986,-7.8801495614416845,0.24598165371969752,-0.609097283081264,0.609097283081264,0.609097283081264
coarse,0.7481,near_pi_02deg,c1|near_pi_02deg,c1 near_pi_02deg,c1,near_pi_02deg|tau_independent_c1|readout_strong,readout_strong,tau_independent_c1,303732085.73526436,-8.48249067246397,0.9845637187387299,-0.006756172058978537,0.006756172058978537,0.006756172058978537
coarse,0.7481,near_pi_05deg,c1|near_pi_05deg,c1 near_pi_05deg,c1,near_pi_05deg|tau_disabled_control|readout_off,readout_off,tau_disabled_control,0.0,300.0,0.0,-300.0,300.0,6.0
coarse,0.7481,near_pi_05deg,c1|near_pi_05deg,c1 near_pi_05deg,c1,near_pi_05deg|tau_disabled_control|readout_weak,readout_weak,tau_disabled_control,0.0,300.0,0.0,-300.0,300.0,6.0
coarse,0.7481,near_pi_05deg,c1|near_pi_05deg,c1 near_pi_05deg,c1,near_pi_05deg|tau_disabled_control|readout_normal,readout_normal,tau_disabled_control,0.0,300.0,0.0,-300.0,300.0,6.0
coarse,0.7481,near_pi_05deg,c1|near_pi_05deg,c1 near_pi_05deg,c1,near_pi_05deg|tau_disabled_control|readout_strong,readout_strong,tau_disabled_control,0.0,300.0,0.0,-300.0,300.0,6.0
coarse,0.7481,near_pi_05deg,c1|near_pi_05deg,c1 near_pi_05deg,c1,near_pi_05deg|tau_locked_0deg|readout_off,readout_off,tau_locked_0deg,0.0,300.0,0.0,-300.0,300.0,6.0
coarse,0.7481,near_pi_05deg,c1|near_pi_05deg,c1 near_pi_05deg,c1,near_pi_05deg|tau_locked_0deg|readout_weak,readout_weak,tau_locked_0deg,0.0,300.0,0.0,-300.0,300.0,6.0
coarse,0.7481,near_pi_05deg,c1|near_pi_05deg,c1 near_pi_05deg,c1,near_pi_05deg|tau_locked_0deg|readout_normal,readout_normal,tau_locked_0deg,0.0,300.0,0.0,-300.0,300.0,6.0
coarse,0.7481,near_pi_05deg,c1|near_pi_05deg,c1 near_pi_05deg,c1,near_pi_05deg|tau_locked_0deg|readout_strong,readout_strong,tau_locked_0deg,0.0,300.0,0.0,-300.0,300.0,6.0
coarse,0.7481,near_pi_05deg,c1|near_pi_05deg,c1 near_pi_05deg,c1,near_pi_05deg|tau_independent_c1|readout_off,readout_off,tau_independent_c1,0.0002220446049250313,3.653559774527022,7.197694027670476e-13,-12.14280661904997,12.14280661904997,6.0
coarse,0.7481,near_pi_05deg,c1|near_pi_05deg,c1 near_pi_05deg,c1,near_pi_05deg|tau_independent_c1|readout_weak,readout_weak,tau_independent_c1,15174110.038262967,-7.181103229117605,0.049187685165552816,-1.3081436154053439,1.3081436154053439,1.3081436154053439
coarse,0.7481,near_pi_05deg,c1|near_pi_05deg,c1 near_pi_05deg,c1,near_pi_05deg|tau_independent_c1|readout_normal,readout_normal,tau_independent_c1,75883885.74042426,-7.880149561441939,0.24598165371984146,-0.6090972830810099,0.6090972830810099,0.6090972830810099
coarse,0.7481,near_pi_05deg,c1|near_pi_05deg,c1 near_pi_05deg,c1,near_pi_05deg|tau_independent_c1|readout_strong,readout_strong,tau_independent_c1,303732085.73530877,-8.482490672464033,0.9845637187388739,-0.00675617205891502,0.00675617205891502,0.00675617205891502
coarse,0.7481,near_pi_10deg,c1|near_pi_10deg,c1 near_pi_10deg,c1,near_pi_10deg|tau_disabled_control|readout_off,readout_off,tau_disabled_control,0.0,300.0,0.0,-300.0,300.0,6.0
coarse,0.7481,near_pi_10deg,c1|near_pi_10deg,c1 near_pi_10deg,c1,near_pi_10deg|tau_disabled_control|readout_weak,readout_weak,tau_disabled_control,0.0,300.0,0.0,-300.0,300.0,6.0
coarse,0.7481,near_pi_10deg,c1|near_pi_10deg,c1 near_pi_10deg,c1,near_pi_10deg|tau_disabled_control|readout_normal,readout_normal,tau_disabled_control,0.0,300.0,0.0,-300.0,300.0,6.0
coarse,0.7481,near_pi_10deg,c1|near_pi_10deg,c1 near_pi_10deg,c1,near_pi_10deg|tau_disabled_control|readout_strong,readout_strong,tau_disabled_control,0.0,300.0,0.0,-300.0,300.0,6.0
coarse,0.7481,near_pi_10deg,c1|near_pi_10deg,c1 near_pi_10deg,c1,near_pi_10deg|tau_locked_0deg|readout_off,readout_off,tau_locked_0deg,0.0,300.0,0.0,-300.0,300.0,6.0
coarse,0.7481,near_pi_10deg,c1|near_pi_10deg,c1 near_pi_10deg,c1,near_pi_10deg|tau_locked_0deg|readout_weak,readout_weak,tau_locked_0deg,0.0,300.0,0.0,-300.0,300.0,6.0
coarse,0.7481,near_pi_10deg,c1|near_pi_10deg,c1 near_pi_10deg,c1,near_pi_10deg|tau_locked_0deg|readout_normal,readout_normal,tau_locked_0deg,0.0,300.0,0.0,-300.0,300.0,6.0
coarse,0.7481,near_pi_10deg,c1|near_pi_10deg,c1 near_pi_10deg,c1,near_pi_10deg|tau_locked_0deg|readout_strong,readout_strong,tau_locked_0deg,0.0,300.0,0.0,-300.0,300.0,6.0
coarse,0.7481,near_pi_10deg,c1|near_pi_10deg,c1 near_pi_10deg,c1,near_pi_10deg|tau_independent_c1|readout_off,readout_off,tau_independent_c1,0.0002220446049250313,3.653559774527022,7.197694027670476e-13,-12.14280661904997,12.14280661904997,6.0
