tag,N,method,star_vertex,star_frac,amp_uniformity,n_plus,n_minus,z2_alignment,mu_final_over_r2,star_mu_pred,mu_dev,residual_new_over_r2,landed
ne_N7,7,ne,6,0.9999999969540174,2.3745667367718193e-09,5,1,0.9999999999999999,17.499999916994692,17.5,4.743160429500547e-09,0.0008179326864640499,False
ne_N8,8,ne,2,0.9999999972802223,1.9216896665386216e-09,6,1,0.9999999999999999,23.999999881383093,24.0,4.942371104969349e-09,0.0012059350778834182,False
ne_N9,9,ne,4,0.9999998962266319,8.133184386235747e-08,4,4,0.9999999999999998,31.49999315161007,31.5,2.1740920412109213e-07,0.011007305524620809,False
rb_N10,10,rb,8,0.9999999999325418,1.4681440036266327e-11,5,4,1.0,39.99999999524907,40.0,1.187732578955547e-10,0.00029807763792875745,False
rb_N11,11,rb,2,0.9999999998267503,6.887757354001436e-11,4,6,0.9999999999999998,49.499999984061716,49.5,3.219855269054104e-10,0.0006208089512316175,False
rb_N12,12,rb,5,0.9999999995873747,1.1996625934418747e-10,2,9,1.0000000000000002,59.99999995135835,60.0,8.106942080606435e-10,0.0012216650023889144,False
rb_N13,13,rb,0,0.9999999997698129,8.133918914505887e-11,5,7,1.0000000000000002,71.49999996739211,71.5,4.560543520138371e-10,0.0010925159445435064,False
rb_N14,14,rb,11,0.9999999996401537,7.958249769895348e-11,5,8,1.0000000000000002,83.99999993918814,84.0,7.239506771838933e-10,0.001624700564016241,False
rb_N15,15,rb,3,0.9999999994319566,1.2297767890992462e-10,8,6,1.0000000000000002,97.49999989600342,97.5,1.0666316286052536e-09,0.002206244548335672,False
rb_N16,16,rb,11,0.9999999997008806,4.031429881064154e-11,8,7,1.0000000000000002,111.99999993649969,112.0,5.669670447413669e-10,0.001853768338100907,False
rb_N5,5,rb,0,0.9999999133374331,0.00019626428329366248,2,2,0.9999999945058794,7.499999327824563,7.5,8.962339161181868e-08,0.0015358978399296359,False
rb_N6,6,rb,4,0.999999999809297,1.759435515597925e-10,2,3,1.0,11.999999996966608,12.0,2.5278268367401324e-10,0.00012571717218175026,False
rb_N7,7,rb,6,0.9999999987366442,2.0522261735433346e-09,1,5,1.0,17.499999958191793,17.5,2.3890403813961062e-09,0.0006376874641233115,False
rb_N8,8,rb,1,0.9999999995299619,2.5527651361377165e-10,1,6,1.0000000000000002,23.999999979708747,24.0,8.454688800914786e-10,0.0004963170081672744,False
rb_N9,9,rb,5,0.9999999986818741,8.903433288537696e-10,3,5,1.0000000000000002,31.49999991930634,31.5,2.5617034842590716e-09,0.0011578895449175011,False
